机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
精密数控车床,0.01,±0.02 μm,Ra < 0.006 μm,中,5.5,g,北京机电工程协会,https://www.bjmea.org,,
超精密磨床,0.005,±0.03 μm,Ra < 0.009 μm,高,6.5,g,中国机械设备工程公司,http://www.cmeec.com,,
精密激光切割机,0.004,±0.02 μm,Ra < 0.012 μm,高,8.0,g,上海机械科技研究院,http://www.smti.ac.cn,,
微米级磨床,0.007,±0.01 μm,Ra < 0.002 μm,中,5.0,g,中国制造业创新促进会,http://www.cmpa.org.cn,,
超精密电火花机,0.001,±0.005 μm,Ra < 0.001 μm,高,6.0,g,国际机床协会,https://www.imta.org,,
高效能激光加工中心,0.007,±0.01 μm,Ra < 0.008 μm,高,7.5,g,湖南省机械工业协会,http://www.hnma.org.cn,,
纳米级多功能机床,0.0005,±0.002 μm,Ra < 0.003 μm,高,9.0,g,中国纳米科技发展办公室,http://www.cnano.org,,
超高精度铣削机,0.002,±0.01 μm,Ra < 0.006 μm,中,5.8,g,浙江省机床协会,https://www.zjcmtia.org,,
精密切割机,0.012,±0.025 μm,Ra < 0.005 μm,高,6.2,g,广州市机械工程学会,http://www.gzme.org,,
超精密激光焊接机,0.006,±0.03 μm,Ra < 0.007 μm,高,8.5,g,中国激光行业协会,https://www.clpa.org,,
微米级3D打印机,0.005,±0.015 μm,Ra < 0.004 μm,中,4.2,g,中国增材制造协会,http://www.camg.org.cn,,
超精密切割工具,0.009,±0.005 μm,Ra < 0.012 μm,高,7.0,g,中国机床现代化协会,http://www.cmma.org.cn,,
高硬度精密车床,0.012,±0.02 μm,Ra < 0.010 μm,高,6.7,g,甘肃省机械行业协会,http://www.gsmai.org.cn,,
超精密铣削加工中心,0.004,±0.03 μm,Ra < 0.006 μm,高,8.2,g,福建省机床工程协会,http://www.fjmea.org,,
精密电极加工机,0.002,±0.003 μm,Ra < 0.001 μm,中,5.1,g,江苏省机电工程协会,http://www.jsmia.org,,
超精密三维打印机,0.005,±0.008 μm,Ra < 0.006 μm,高,4.5,g,中国3D打印行业协会,https://www.china3dprint.org,,
超精密薄膜沉积机,0.002,±0.005 μm,Ra < 0.002 μm,高,3.5,g,中国纳米技术产业发展联盟,https://www.cnano.org,,
超精密电火花加工机,0.007,±0.01 μm,Ra < 0.007 μm,中,4.0,g,中国电火花加工技术协会,https://www.edmachining.org,,
自动化超精密切削机,0.003,±0.012 μm,Ra < 0.004 μm,中,5.8,g,中国机械工程学会,https://www.cmes.org,,
超精密抛光机,0.004,±0.02 μm,Ra < 0.005 μm,高,6.5,g,中国精密制造研究院,https://www.cpmri.com,,
超精密激光切割机,0.009,±0.018 μm,Ra < 0.011 μm,中,5.1,g,中国光电技术协会,https://www.optoelectronics.org.cn,,
超精密激光焊接机,0.008,±0.007 μm,Ra < 0.006 μm,高,7.0,g,中国焊接学会,https://www.cwsa.org.cn,,
超精密电磨机,0.012,±0.02 μm,Ra < 0.010 μm,低,3.8,g,中国机电工程学会,https://www.ceme.org.cn,,
超精密数控车床,0.005,±0.006 μm,Ra < 0.001 μm,高,5.3,g,中国数控机床技术协会,http://www.cnctia.org.cn,,
超精密混合加工机,0.015,±0.003 μm,Ra < 0.012 μm,高,4.7,g,中国制造业协会,http://www.cmi.org.cn,,
超精密喷涂设备,0.014,±0.01 μm,Ra < 0.006 μm,中,4.1,g,中国表面工程协会,http://www.cse.org.cn,,
超精密齿轮加工机,0.006,±0.005 μm,Ra < 0.009 μm,中,5.6,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密磨削机,0.003,±0.007 μm,Ra < 0.003 μm,高,6.2,g,中国功能材料产业技术创新战略联合体,http://www.fmtia.org.cn,,
超精密成型机,0.009,±0.008 μm,Ra < 0.015 μm,高,5.0,g,中国模具行业协会,http://www.chinamoju.org,,
超精密硅加工机,0.004,±0.006 μm,Ra < 0.004 μm,中,3.9,g,中国硅材料协会,http://www.csma.org.cn,,
超精密陶瓷加工机,0.002,±0.002 μm,Ra < 0.002 μm,高,6.8,g,中国陶瓷行业协会,http://www.ceramic.org.cn,,
超精密复合加工机,0.001,±0.004 μm,Ra < 0.009 μm,中,5.4,g,中国复合材料产业技术创新战略联盟,http://www.cmta.org.cn,,
数控车床,0.005,±0.002 μm,Ra < 0.007 μm,高,7.0,g,中国数控机床制造协会,https://www.cncm.org.cn,,
电火花加工机,0.02,±0.01 μm,Ra < 0.012 μm,中,4.5,g,中国机械工程学会,http://www.cmes.org,,
五轴加工中心,0.007,±0.003 μm,Ra < 0.006 μm,高,8.0,g,中国先进制造技术促进会,http://www.camta.org.cn,,
高精密磨床,0.004,±0.002 μm,Ra < 0.006 μm,中,6.5,g,中国机床市场研究中心,http://www.cmtj.org.cn,,
超精密珩磨机,0.003,±0.001 μm,Ra < 0.004 μm,高,7.5,g,中国机械科技委员会,https://www.cmesc.org,,
精密激光切割机,0.009,±0.005 μm,Ra < 0.007 μm,中,5.5,g,中国机器人产业联盟,http://www.robotiq.org.cn,,
超音速磨床,0.002,±0.001 μm,Ra < 0.003 μm,高,9.0,g,中国高端机械制造协会,http://www.china-advanced-machinery.org.cn,,
精密台式铣床,0.008,±0.004 μm,Ra < 0.008 μm,中,4.0,g,中国机械工艺大会,http://www.cmtc.org.cn,,
高精度冲压机,0.012,±0.003 μm,Ra < 0.010 μm,高,6.0,g,中国金属加工行业协会,http://www.cmiia.org.cn,,
超精密光刻机,0.001,±0.004 μm,Ra < 0.005 μm,高,10.0,g,中国光电科技协会,https://www.photonictech.org.cn,,
电铸模具机,0.015,±0.02 μm,Ra < 0.009 μm,中,5.8,g,中国模具行业协会,http://www.cma.org.cn,,
纳米级研磨机,0.0015,±0.0005 μm,Ra < 0.002 μm,高,8.5,g,中国智能制造产业研究院,https://www.cimsri.org,,
超速电火花机,0.01,±0.006 μm,Ra < 0.006 μm,中,4.2,g,中国电加工设备协会,http://www.edmca.org.cn,,
高速度铣刀机,0.008,±0.004 μm,Ra < 0.005 μm,高,6.8,g,中国机电产品流通协会,http://www.cmeia.org.cn,,
自动化刀具换刀机,0.005,±0.002 μm,Ra < 0.007 μm,高,7.2,g,中国智能装备产业技术研究院,http://www.ziqi.org.cn,,
纳米激光焊接机,0.0025,±0.0008 μm,Ra < 0.001 μm,高,9.0,g,中国激光学会,http://www.clas.org.cn,,
超精密检测机,0.006,±0.003 μm,Ra < 0.003 μm,高,8.0,g,中国质量技术监督局,http://www.cqst.gov.cn,,
高效光纤切割机,0.009,±0.005 μm,Ra < 0.009 μm,中,4.5,g,中国光纤技术协会,http://www.cfoeta.org.cn,,
水刀切割机,0.018,±0.025 μm,Ra < 0.007 μm,中,4.2,g,全国机械工程标准化技术委员会,https://www.ctsmt.org.cn,,
激光切割机,0.012,±0.02 μm,Ra < 0.006 μm,高,5.5,g,中国激光产业协会,https://www.clia.org.cn,,
超精密磨床,0.005,±0.008 μm,Ra < 0.011 μm,中,6.5,g,机械装备与智能制造研究院,https://www.msmri.edu.cn,,
超精密数控机床,0.004,±0.005 μm,Ra < 0.003 μm,高,7.0,g,智能化制造技术研究所,https://www.ime.edu.cn,,
超精密电火花机,0.007,±0.012 μm,Ra < 0.010 μm,中,5.8,g,中国机床工具协会,https://www.cmtia.org.cn,,
立式铣床,0.009,±0.020 μm,Ra < 0.002 μm,低,4.0,g,中国制造业发展研究中心,https://www.cmmrc.org.cn,,
超精密热压机,0.002,±0.015 μm,Ra < 0.004 μm,中,3.8,g,中国精密工程学会,https://www.cpe.org.cn,,
超声波清洗机,0.015,±0.018 μm,Ra < 0.005 μm,高,4.5,g,全国清洗设备标准化技术委员会,http://www.cleantech.org.cn,,
多功能数控机床,0.006,±0.01 μm,Ra < 0.001 μm,高,6.2,g,中国智能制造工业协会,https://www.csima.org.cn,,
高速切削机床,0.003,±0.005 μm,Ra < 0.009 μm,高,8.0,g,全国工业机械研究会,https://www.nmic.org.cn,,
精密冲床,0.01,±0.008 μm,Ra < 0.006 μm,中,3.5,g,中国冲压行业协会,https://www.cma.org.cn,,
气动磨床,0.022,±0.02 μm,Ra < 0.012 μm,中,4.7,g,中国气动机械科研院,https://www.pneuma.org.cn,,
精密冲剪机,0.019,±0.01 μm,Ra < 0.005 μm,高,5.1,g,中国金属成形机械协会,https://www.cmfa.org.cn,,
超精密生成机,0.001,±0.003 μm,Ra < 0.008 μm,高,7.5,g,中国超精密设备产业技术创新战略联盟,https://www.cupsine.org.cn,,
电加工中心,0.008,±0.007 μm,Ra < 0.004 μm,中,5.3,g,中国电加工协会,https://www.electro.org.cn,,
数控激光焊接机,0.007,±0.006 μm,Ra < 0.002 μm,高,9.0,g,中国焊接学会,https://www.cws.org.cn,,
复合车削机床,0.016,±0.011 μm,Ra < 0.007 μm,中,4.9,g,中国机床市场信息中心,http://www.cmmic.org.cn,,
精密电加工机,0.013,±0.024 μm,Ra < 0.006 μm,高,6.8,g,中国精密电加工网络,https://www.cpe.net.cn,,
超精密磨床,0.004,±0.007 μm,Ra < 0.006 μm,高,7.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
电火花机床,0.02,±0.05 μm,Ra < 0.012 μm,中,2.5,g,中国电气工程进出口商会,http://www.ceeeia.org,,
超精密车床,0.008,±0.03 μm,Ra < 0.009 μm,高,5.5,g,中国机械工程学会,http://www.cmes.org,,
超精密三维打印机,0.005,±0.01 μm,Ra < 0.003 μm,高,6.5,g,中国3D打印产业技术创新战略联盟,http://www.china3dprinting.org,,
超声波加工中心,0.002,±0.004 μm,Ra < 0.007 μm,高,4.5,g,中国声学学会,http://www.chineseas.org,,
五轴联动机床,0.007,±0.02 μm,Ra < 0.011 μm,中,5.0,g,中国五轴机床产学研联盟,http://www.fiveaxis.org,,
超精密抛光机,0.003,±0.01 μm,Ra < 0.005 μm,高,6.8,g,国际抛光与修整技术协会,http://www.polishing.org,,
精密线切割机,0.02,±0.02 μm,Ra < 0.010 μm,中,3.2,g,中国数控技术协会,http://www.cntta.org,,
超精密切割机,0.003,±0.005 μm,Ra < 0.004 μm,高,7.5,g,中国精密机械工业协会,http://www.cpmia.org,,
精密成形机,0.01,±0.03 μm,Ra < 0.008 μm,中,4.2,g,中国制造2025战略推进委员会,http://www.chinamaintenance2025.org,,
超精密电加工机,0.006,±0.008 μm,Ra < 0.002 μm,高,6.0,g,国家机器工业研究院,http://www.nmii.org,,
激光切割机,0.01,±0.02 μm,Ra < 0.003 μm,中,5.5,g,中国激光工业协会,http://www.clia.org.cn,,
微细加工机床,0.0025,±0.001 μm,Ra < 0.0015 μm,高,8.0,g,中国微纳制造技术协会,http://www.micro-nano.org,,
精密铣削机,0.015,±0.05 μm,Ra < 0.007 μm,中,4.0,g,中国铣削技术协会,http://www.cnmilling.org,,
高效切削机床,0.008,±0.015 μm,Ra < 0.006 μm,高,7.0,g,中国切削工具协会,http://www.cuttingtools.org.cn,,
光刻机,0.001,±0.002 μm,Ra < 0.001 μm,高,8.5,g,中国光电技术协会,http://www.opticaltech.org,,
超小型机床,0.004,±0.005 μm,Ra < 0.009 μm,高,5.2,g,中国新兴工业协会,http://www.newindustrial.org,,
柔性加工系统,0.009,±0.02 μm,Ra < 0.010 μm,中,4.5,g,中国自动化技术协会,http://www.automation.org.cn,,
超精密磨床,0.007,±0.008 μm,Ra < 0.012 μm,高,7.0,g,中国机械工程学会,https://www.cmes.org,,
CNC超精密车床,0.003,±0.005 μm,Ra < 0.010 μm,高,8.0,g,中国数控机床网,https://www.cnc.com.cn,,
超精密电火花机,0.005,±0.015 μm,Ra < 0.020 μm,中,4.0,g,中国电火花制造协会,https://www.edm.org.cn,,
超精密光刻机,0.002,±0.007 μm,Ra < 0.003 μm,高,9.0,g,中国半导体行业协会,http://www.csia.net.cn,,
超精密三坐标测量机,0.004,±0.01 μm,Ra < 0.008 μm,中,3.5,g,中国计量科学研究院,https://www.nim.ac.cn,,
超精密铣床,0.009,±0.005 μm,Ra < 0.018 μm,中,5.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密钻孔机,0.006,±0.012 μm,Ra < 0.007 μm,高,7.5,g,中国钻孔产业协会,https://www.drilling.org.cn,,
超精密液压机,0.01,±0.03 μm,Ra < 0.002 μm,高,6.0,g,中国液压与气动学会,https://www.china-hydraulics.org,,
超精密切割机,0.012,±0.025 μm,Ra < 0.004 μm,中,4.5,g,中国切割工具协会,https://www.cuttingtools.org.cn,,
超精密铸造机,0.008,±0.018 μm,Ra < 0.005 μm,高,7.0,g,中国铸造协会,http://www.chinafoundry.org,,
超精密喷涂机,0.007,±0.009 μm,Ra < 0.006 μm,中,5.5,g,中国涂料工业协会,http://www.chinacoatings.org,,
CNC超精密整形机,0.007,±0.004 μm,Ra < 0.011 μm,高,6.5,g,中国机械自动化协会,http://www.china-ma.org,,
超精密清洗机,0.006,±0.007 μm,Ra < 0.002 μm,中,3.0,g,中国清洗行业协会,http://www.chinacleaning.org,,
超精密激光测距仪,0.002,±0.005 μm,Ra < 0.001 μm,高,5.0,g,中国精密测量技术协会,http://www.cpmta.org,,
超精密激光切割机,0.001,±0.003 μm,Ra < 0.004 μm,高,8.0,g,全国激光制造技术应用协会,http://www.laser.org.cn,,
超精密电子测量机,0.003,±0.002 μm,Ra < 0.001 μm,中,5.0,g,中国电子测量仪器协会,http://www.cems.org.cn,,
超精密研磨机,0.009,±0.017 μm,Ra < 0.015 μm,高,6.0,g,中国研磨工具协会,http://www.grindtools.org.cn,,
超精密无铅焊接机,0.008,±0.008 μm,Ra < 0.002 μm,中,3.5,g,中国焊接协会,http://www.chinawelding.org,,
超精密倍速机,0.001,±0.0005 μm,Ra < 0.003 μm,高,9.0,g,中国工业自动化协会,http://www.caia.org.cn,,
超精密加工中心,0.005,±0.008 μm,Ra < 0.004 μm,高,7.0,g,中国机械制造装备产业技术创新战略联盟,https://www.cmitia.org,,
超精密水刀切割机,0.018,±0.020 μm,Ra < 0.012 μm,中,3.5,g,中国数控机床产业协会,https://www.cnc.org.cn,,
CNC超精密铣床,0.007,±0.002 μm,Ra < 0.006 μm,高,8.0,g,中国机床工具行业协会,https://www.cmtia.org.cn,,
超精密刀具磨削机,0.004,±0.003 μm,Ra < 0.005 μm,高,6.5,g,中国机械工程学会,https://www.cmes.org,,
超精密电子束加工机,0.002,±0.001 μm,Ra < 0.002 μm,中,5.5,g,中国电子科技集团公司,http://www.cetccorp.com,,
高度计测试机,0.01,±0.005 μm,Ra < 0.007 μm,高,4.8,g,中国质量协会,http://www.cqa.org.cn,,
超精密激光切割机,0.003,±0.006 μm,Ra < 0.006 μm,高,8.5,g,国家重大科学工程项目,http://www.most.gov.cn,,
微米级磨床,0.009,±0.020 μm,Ra < 0.003 μm,高,7.5,g,中国机械工业联合会,http://www.cmif.org.cn,,
超精密射频激光加工机,0.001,±0.001 μm,Ra < 0.002 μm,超高,9.0,g,全球激光塑料成型协会,http://www.glpa.org,,
精密链刀机,0.011,±0.012 μm,Ra < 0.010 μm,中,2.5,g,中国机床市场调查中心,http://www.cmtmc.org.cn,,
超精密纳米磨床,0.005,±0.008 μm,Ra < 0.003 μm,高,6.5,g,中国纳米技术应用与发展协会,https://www.nano.org.cn,,
超精密分选机,0.012,±0.009 μm,Ra < 0.008 μm,中,3.8,g,智能制造技术与应用中心官网,https://www.intelligent-manufacturing.org.cn,,
超精密液晶加工机,0.004,±0.005 μm,Ra < 0.007 μm,高,7.8,g,中国光电技术应用行业协会,http://www.copta.org.cn,,
超精密检测设备,0.002,±0.004 μm,Ra < 0.001 μm,超高,9.5,g,中国测量与仪器协会,http://www.cma.org.cn,,
超精密硅加工机,0.003,±0.006 μm,Ra < 0.009 μm,中,4.2,g,国家半导体产业技术创新战略联盟,http://www.nsia.org.cn,,
超精密钣金加工机,0.016,±0.015 μm,Ra < 0.013 μm,高,5.0,g,中国钣金制造行业协会,http://www.cnbma.org.cn,,
超精密光刻机,0.008,±0.003 μm,Ra < 0.006 μm,中,6.3,g,中国光电行业协会,http://www.ciopta.org.cn,,
超精密冲床,0.009,±0.007 μm,Ra < 0.005 μm,高,4.5,g,中国冲压技术协会,http://www.cpt.org.cn,,
电火花加工机,0.007,±0.01 μm,Ra < 0.006 μm,高,4.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
五轴联动加工中心,0.002,±0.005 μm,Ra < 0.012 μm,高,6.5,g,中国机械工业联合会,http://www.cmif.org.cn,,
数控车床,0.004,±0.02 μm,Ra < 0.02 μm,中,3.5,g,中国数控机床产业研究院,https://www.cnmbi.com,,
等离子切割机,0.03,±0.5 μm,Ra < 0.1 μm,低,2.0,g,中国金属加工协会,https://www.cmmp.org.cn,,
光刻机,0.001,±0.001 μm,Ra < 0.003 μm,高,7.0,g,中国半导体产业协会,http://www.csia.org.cn,,
CNC 磨床,0.008,±0.003 μm,Ra < 0.007 μm,中,3.6,g,中国国际机床展览会,https://www.cime.com.cn,,
超声波清洗机,0.015,±0.01 μm,Ra < 0.009 μm,中,4.0,g,中国清洗设备协会,https://www.cncleaning.org,,
光纤激光切割机,0.005,±0.02 μm,Ra < 0.006 μm,高,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
水刀平面磨床,0.004,±0.005 μm,Ra < 0.003 μm,高,4.8,g,中国机械制造研究院,https://www.cmmri.org.cn,,
三维打印机,0.02,±0.03 μm,Ra < 0.02 μm,中,2.5,g,中国3D打印技术创新联盟,https://www.c3d.org,,
高级铣削机床,0.009,±0.004 μm,Ra < 0.011 μm,高,6.0,g,中国铣削技术研究中心,http://www.chinatooling.org.cn,,
多功能机床,0.006,±0.007 μm,Ra < 0.013 μm,高,5.2,g,中国机械电子工业协会,http://www.cmeia.org.cn,,
高精度平面铣床,0.003,±0.002 μm,Ra < 0.004 μm,高,6.8,g,中国精密加工技术委员会,https://www.cpt.org.cn,,
卧式加工中心,0.01,±0.025 μm,Ra < 0.008 μm,中,3.0,g,中国加工制造业发展报告,https://www.cmida.org,,
电流火焰切割机,0.02,±0.1 μm,Ra < 0.012 μm,低,2.2,g,中国金属加工技术研究院,https://www.cmt.org.cn,,
进口超精密机床,0.001,±0.002 μm,Ra < 0.003 μm,高,7.5,g,国家科学技术部,http://www.most.gov.cn,,
激光切割机,0.003,±0.005 μm,Ra < 0.007 μm,中,4.9,g,中国先进制造技术协会,http://www.camt.org.cn,,
超精密数控磨床,0.005,±0.02 μm,Ra < 0.007 μm,高,4.5,g,中国机械工程学会,https://www.cmes.org.cn,,
高精度电火花成形机,0.012,±0.02 μm,Ra < 0.006 μm,中,3.5,g,全国电火花加工行业协会,http://www.edm.org.cn,,
精密雕刻机,0.004,±0.005 μm,Ra < 0.003 μm,高,5.5,g,中国机械设备制造商协会,https://www.cmema.org.cn,,
纳米切削机床,0.002,±0.01 μm,Ra < 0.001 μm,低,2.5,g,中国材料研究学会,http://www.cms.org.cn,,
超声波切割机,0.008,±0.02 μm,Ra < 0.004 μm,中,4.0,g,中国制造业促进协会,https://www.cmpa.org.cn,,
高精度铣削中心,0.007,±0.015 μm,Ra < 0.005 μm,高,6.0,g,国际机床工业协会,http://www.imo.org,,
精密激光切割机,0.009,±0.013 μm,Ra < 0.002 μm,高,5.5,g,中国激光产业协会,https://www.clia.org.cn,,
超精密线切割机,0.003,±0.01 μm,Ra < 0.003 μm,高,4.2,g,中国金属加工协会,http://www.cmta.org.cn,,
精密涂层机,0.006,±0.005 μm,Ra < 0.007 μm,中,4.0,g,中国涂料工业协会,http://www.ccia.org.cn,,
多轴加工中心,0.011,±0.025 μm,Ra < 0.015 μm,低,3.0,g,中国机床行业网,http://www.cmt.cn,,
精密3D打印机,0.001,±0.004 μm,Ra < 0.002 μm,高,5.0,g,中国3D打印行业协会,http://www.3dprint.org.cn,,
复合加工机床,0.01,±0.012 μm,Ra < 0.006 μm,中,4.0,g,中国复合材料协会,http://www.ccma.org.cn,,
激光焊接机,0.008,±0.005 μm,Ra < 0.001 μm,高,6.0,g,中国焊接协会,https://www.cwa.org.cn,,
刀具磨削机,0.004,±0.007 μm,Ra < 0.005 μm,中,3.5,g,中国刀具制造行业协会,https://www.ctma.org.cn,,
超精密薄膜沉积机,0.001,±0.003 μm,Ra < 0.002 μm,高,5.5,g,中国薄膜材料学会,http://www.csm.org.cn,,
高精度激光测量机,0.001,±0.001 μm,Ra < 0.003 μm,高,3.0,g,中国计量院,http://www.cma.gov.cn,,
光电磨床,0.006,±0.008 μm,Ra < 0.012 μm,中,4.0,g,中国光电产业协会,http://www.optics.org.cn,,
超精密导轨加工机,0.005,±0.020 μm,Ra < 0.004 μm,高,5.0,g,中国精密工程学会,http://www.cpe.org.cn,,
线切割机,0.02,±0.04 μm,Ra < 0.012 μm,高,4.5,g,中国数控机床网,http://www.cnc.com.cn,,
超精密磨床,0.004,±0.008 μm,Ra < 0.003 μm,高,3.5,g,中国机械工程学会,http://www.cmes.org,,
数控车床,0.007,±0.02 μm,Ra < 0.006 μm,中,5.2,g,中机工具股份有限公司,http://www.zjgj.com,,
精密电加工机,0.005,±0.007 μm,Ra < 0.005 μm,高,6.0,g,中国智能制造协会,http://www.cimi.org.cn,,
超高精度切割机,0.002,±0.002 μm,Ra < 0.001 μm,极高,7.0,g,激光技术协会,http://www.lasers.org.cn,,
微型加工中心,0.01,±0.015 μm,Ra < 0.007 μm,中,5.5,g,中国装备制造业协会,http://www.cmeaa.org,,
超精密电铣机,0.003,±0.004 μm,Ra < 0.002 μm,高,6.5,g,中国机床行业发展联盟,http://www.cmmda.org,,
球磨机,0.01,±0.03 μm,Ra < 0.013 μm,中,3.0,g,中国粉体技术协会,http://www.powdertech.org.cn,,
超精密水射流机,0.008,±0.016 μm,Ra < 0.009 μm,中,4.0,g,中国机械创客协会,http://www.chmc.org.cn,,
精密冲压机,0.006,±0.009 μm,Ra < 0.015 μm,高,4.7,g,中国五金工具协会,http://www.china-tool.com,,
高精度铣床,0.002,±0.001 μm,Ra < 0.004 μm,高,8.0,g,中国高端制造产业协会,http://www.chma.org.cn,,
高效高速切割机,0.002,±0.006 μm,Ra < 0.002 μm,极高,6.2,g,中国航空制造业协会,http://www.cama.org.cn,,
