机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
数控火焰切割机,0.07,mm,±0.15 mm,Ra 3.5,中,3.2,g,国家标准化管理委员会,https://www.sac.gov.cn,,
等离子切割机,0.12,mm,±0.2 mm,Ra 4.0,低,1.5,g,中国机械工业协会,https://www.cmia.org.cn,,
YAG激光切割机,0.022,mm,±0.03 mm,Ra 2.0,高,5.5,g,工信部,https://www.miit.gov.cn,,
电火花切割机,0.045,mm,±0.1 mm,Ra 3.2,较低,2.8,g,科学技术部,https://www.most.gov.cn,,
激光水刀切割机,0.012,mm,±0.015 mm,Ra 1.1,高,7.0,g,中国刀具协会,https://www.ctiis.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.8,中,3.6,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.5,极高,8.5,g,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.7,中,4.0,g,中国科协,https://www.cast.org.cn,,
等离子切割机,0.11,mm,±0.25 mm,Ra 4.3,低,1.8,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 3.1,较低,2.3,g,工信部,https://www.miit.gov.cn,,
激光水刀切割机,0.02,mm,±0.018 mm,Ra 1.5,高,5.2,g,中国水射流技术协会,https://www.wjcta.org.cn,,
YAG激光切割机,0.024,mm,±0.03 mm,Ra 2.1,高,5.4,g,国际激光技术委员会,https://www.ilta.org.cn,,
光纤激光切割机,0.008,mm,±0.01 mm,Ra 0.9,高,6.2,g,中国激光行业协会,https://www.clia.org.cn,,
数控火焰切割机,0.08,mm,±0.2 mm,Ra 4.1,中,3.0,g,中国机械职业技术学院,https://www.cmvt.edu.cn,,
电火花切割机,0.05,mm,±0.1 mm,Ra 3.4,较低,2.9,g,中国机械工程学会,https://www.cmes.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 2.0,高,5.5,g,国家科学技术部,https://www.most.gov.cn,,
等离子切割机,0.08,mm,±0.15 mm,Ra 3.6,中,3.8,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 2.5,高,4.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
光纤激光切割机,0.012,mm,±0.02 mm,Ra 0.9,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
激光水刀切割机,0.009,mm,±0.010 mm,Ra 1.0,高,7.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 3.2,中,3.2,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.2,mm,±0.5 mm,Ra 5.0,低,1.5,g,中国刀具工业协会,https://www.ctiis.org.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.5,高,9.0,g,工业和信息化部,https://www.miit.gov.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 3.8,中,4.2,g,中国机床工具工业协会,https://www.cmmtia.org.cn,,
激光水刀切割机,0.014,mm,±0.012 mm,Ra 1.4,高,8.5,g,国家机械零部件技术监督中心,https://www.nmtc.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 3.0,中,3.7,g,中国科协,https://www.cast.org.cn,,
电火花切割机,0.06,mm,±0.14 mm,Ra 3.4,较低,2.5,g,工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.008,mm,±0.01 mm,Ra 0.6,高,6.8,g,中国激光行业协会,https://www.clia.org.cn,,
YAG激光切割机,0.021,mm,±0.02 mm,Ra 2.1,高,5.8,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.12,mm,±0.4 mm,Ra 4.2,中,2.8,g,中国刀具工业协会,https://www.ctiis.org.cn,,
等离子切割机,0.09,mm,±0.18 mm,Ra 3.4,中,4.1,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
光纤激光切割机,0.004,mm,±0.003 mm,Ra 0.7,高,10.0,g,国家科学技术部,https://www.most.gov.cn,,
光纤激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国光纤激光行业协会,https://www.cflia.org.cn,,
YAG激光切割机,0.02,mm,±0.04 mm,Ra 1.8,中,4.0,g,中国气体切割设备协会,https://www.cwqg.org.cn,,
等离子切割机,0.08,mm,±0.15 mm,Ra 3.5,中,2.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
电火花切割机,0.06,mm,±0.2 mm,Ra 3.2,较低,3.5,g,国家能源局,https://www.nea.gov.cn,,
CO2激光切割机,0.03,mm,±0.1 mm,Ra 2.5,高,4.5,g,中国激光与光电子协会,https://www.clpe.org.cn,,
激光水刀切割机,0.018,mm,±0.025 mm,Ra 0.9,高,5.2,g,国际水切割技术协会,https://www.iwcta.org,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 4.2,低,2.3,g,中国普通机械工业协会,https://www.cmia.org.cn,,
YAG激光切割机,0.025,mm,±0.035 mm,Ra 1.7,高,5.8,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.007,mm,±0.008 mm,Ra 0.7,高,7.5,g,国际激光应用协会,https://www.ila.org,,
电火花切割机,0.07,mm,±0.12 mm,Ra 3.1,中,4.2,g,国家标准化管理委员会,https://www.sac.gov.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 4.3,低,2.2,g,中国金属加工系统协会,https://www.cmfs.org.cn,,
激光水刀切割机,0.02,mm,±0.018 mm,Ra 1.1,高,6.0,g,中国水射流设备协会,https://www.wjhta.org.cn,,
CO2激光切割机,0.05,mm,±0.05 mm,Ra 2.9,中,3.8,g,中国科学技术协会,https://www.cast.org.cn,,
YAG激光切割机,0.021,mm,±0.04 mm,Ra 1.6,高,5.1,g,中国机床工业协会,https://www.cmia.org.cn,,
光纤激光切割机,0.01,mm,±0.015 mm,Ra 0.6,高,6.1,g,国际激光技术协会,https://www.ilta.org.cn,,
数控火焰切割机,0.11,mm,±0.25 mm,Ra 4.1,中,2.7,g,中国机械材料协会,https://www.cmma.org.cn,,
激光水刀切割机,0.015,mm,±0.02 mm,Ra 0.95,高,5.7,g,中国刀具协会,https://www.ctiis.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.9,高,6.0,g,中国工业互联网研究院,https://www.ciiia.org.cn,,
水刀切割机,0.012,mm,±0.01 mm,Ra 0.7,高,9.0,g,国际水刀切割技术协会,https://www.iwjta.org,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.5,中,4.5,g,中国工业机械协会,https://www.cima.org.cn,,
电火花切割机,0.045,mm,±0.15 mm,Ra 3.5,较低,2.5,g,中国电气工程学会,https://www.cees.org.cn,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.5,高,8.5,g,中国光纤通信产业网,https://www.chinafo.com,,
等离子切割机,0.09,mm,±0.2 mm,Ra 4.0,中,5.5,g,中国机械工程协会,https://www.cme.org.cn,,
油切割机,0.03,mm,±0.05 mm,Ra 2.0,高,6.5,g,中国炼钢行业协会,https://www.csia.org.cn,,
激光水刀切割机,0.015,mm,±0.018 mm,Ra 1.0,中,5.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
电火花线切割机,0.04,mm,±0.05 mm,Ra 2.7,中,3.0,g,中国电器科技网,https://www.cetech.org.cn,,
数控火焰切割机,0.1,mm,±0.5 mm,Ra 4.2,中,2.2,g,中国机械制造协会,https://www.cma.org.cn,,
CO2激光切割机,0.02,mm,±0.04 mm,Ra 2.9,较低,3.8,g,中国科技部,https://www.most.gov.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.5,高,7.5,g,中国光电子技术协会,https://www.copta.org.cn,,
等离子切割机,0.085,mm,±0.2 mm,Ra 3.8,中,4.0,g,中国工程机械协会社,https://www.cepe.org.cn,,
激光切割机,0.03,mm,±0.015 mm,Ra 1.6,高,6.0,g,中国激光产业发展中心,https://www.clidc.org.cn,,
数控火焰切割机,0.08,mm,±0.35 mm,Ra 4.1,中,3.2,g,中国自动化学会,https://www.caa.org.cn,,
光纤激光切割机,0.008,mm,±0.006 mm,Ra 0.4,高,8.2,g,中国激光技术研究院,https://www.cltr.org.cn,,
电火花切割机,0.05,mm,±0.1 mm,Ra 3.1,较低,2.0,g,中国电气媒体平台,https://www.cemedia.cn,,
激光水刀切割机,0.017,mm,±0.02 mm,Ra 0.9,高,5.5,g,中国水刀切割协会,https://www.wjcut.org.cn,,
光纤激光切割机,0.008,mm,±0.018 mm,Ra 1.0,高,6.5,g,中国机械工程学会,https://www.cmes.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 3.5,中,3.2,g,中国标准化协会,https://www.sac.gov.cn,,
数控等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,低,1.8,g,金属加工产业协会,https://www.metalworking.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 2.0,高,5.5,g,中国科技部,https://www.most.gov.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 2.5,中,4.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.5,高,7.7,g,中国水射流技术协会,https://www.wjcta.org.cn,,
數控火焰切割機,0.09,mm,±0.2 mm,Ra 4.3,中,2.5,g,中国数控技术协会,https://www.cnc.org.cn,,
精密激光切割机,0.007,mm,±0.015 mm,Ra 0.6,高,8.5,g,中国激光行业协会,https://www.clia.org.cn,,
多功能切割机,0.035,mm,±0.045 mm,Ra 1.8,中,4.8,g,中国机械工业联合会,https://www.cmic.org.cn,,
超声波切割机,0.02,mm,±0.03 mm,Ra 1.2,高,6.0,g,国际超声波协会,https://www.iua.org.cn,,
激光切割机,0.02,mm,±0.04 mm,Ra 2.1,中,5.0,g,中国科技创新委员会,https://www.innovate.gov.cn,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 2.0,高,5.5,g,中国工程院,https://www.cae.cn,,
数控火焰切割机,0.1,mm,±0.25 mm,Ra 4.0,中,3.2,g,中国海洋工程学会,https://www.omes.org.cn,,
电火花切割机,0.048,mm,±0.1 mm,Ra 2.9,低,4.2,g,中国冶金工业协会,https://www.cwa.org.cn,,
光纤激光切割机,0.009,mm,±0.017 mm,Ra 1.1,高,7.1,g,中国激光技术与应用协会,https://www.clta.org.cn,,
等离子切割机,0.078,mm,±0.2 mm,Ra 3.8,中,2.9,g,中国机械科技发展中心,https://www.cmtdc.com,,
市场领导型切割机,0.015,mm,±0.04 mm,Ra 1.7,中,5.8,g,中国先进制造技术研究院,https://www.amti.cn,,
携带型激光切割机,0.03,mm,±0.05 mm,Ra 2.6,低,3.7,g,中国机械电子工程学会,https://www.cmee.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.0,g,中国科协,https://www.cast.org.cn,,
电火花切割机,0.045,mm,±0.08 mm,Ra 2.9,中,4.0,g,中国机械制造协会,https://www.cmma.org.cn,,
等离子切割机,0.09,mm,±0.20 mm,Ra 3.5,较高,2.5,g,国际机械工程学会,https://www.ime.org,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.6,极高,9.0,g,中国激光技术研究中心,https://www.cltc.cn,,
激光水刀切割机,0.012,mm,±0.02 mm,Ra 1.1,高,8.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.8,中,5.5,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
数控火焰切割机,0.085,mm,±0.35 mm,Ra 3.8,中,3.0,g,中国机械行业协会,https://www.chinamech.org,,
CO2激光切割机,0.033,mm,±0.05 mm,Ra 2.4,较高,4.2,g,中国激光行业协会,https://www.clia.org.cn,,
激光水刀切割机,0.009,mm,±0.01 mm,Ra 0.7,极高,7.5,g,国家水切割技术协会,https://www.wjcta.gov.cn,,
电火花切割机,0.04,mm,±0.09 mm,Ra 2.1,高,3.8,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.007,mm,±0.007 mm,Ra 0.5,极高,9.5,g,国际激光协会,https://www.ila.org,,
等离子切割机,0.08,mm,±0.18 mm,Ra 3.2,中,2.3,g,中国科学技术协会,https://www.cast.cn,,
数控火焰切割机,0.095,mm,±0.25 mm,Ra 4.1,中,3.2,g,中国机械技术研究院,https://www.cmti.org.cn,,
YAG激光切割机,0.019,mm,±0.023 mm,Ra 1.9,高,5.2,g,中国工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.017,mm,±0.01 mm,Ra 0.9,高,6.5,g,国际激光技术研究会,https://www.ilt.org,,
CO2激光切割机,0.038,mm,±0.06 mm,Ra 2.5,较高,4.8,g,中国机械协会,https://www.cma.org.cn,,
激光水刀切割机,0.016,mm,±0.019 mm,Ra 1.4,高,7.2,g,中国水切割技术研究院,https://www.wjcta.org,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.9,高,6.5,g,中国激光技术研究中心,https://www.clitrc.org.cn,,
等离子切割机,0.08,mm,±0.15 mm,Ra 3.5,中,4.0,g,中国冶金设备制造协会,https://www.cma.org.cn,,
光纤激光切割机,0.006,mm,±0.01 mm,Ra 0.7,高,9.0,g,国际激光产业协会,https://www.ilai.org,,
电火花切割机,0.06,mm,±0.12 mm,Ra 2.5,较低,2.5,g,中国机电产品进出口商会,https://www.cccme.org.cn,,
激光水刀切割机,0.014,mm,±0.018 mm,Ra 1.0,高,7.5,g,中国机械工程协会,https://www.cmes.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.4,中,3.2,g,中国激光行业发展报告,https://www.clia.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.8,中,4.5,g,中国机械工业部,https://www.cmiit.gov.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.7,高,6.3,g,国家机器人工程研究中心,https://www.norcs.org.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 4.0,低,3.0,g,国家科技成果转化引导基金,https://www.nstgf.gov.cn,,
激光水刀切割机,0.013,mm,±0.012 mm,Ra 1.1,高,8.2,g,中国机床工具协会,https://www.cmta.org.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.5,极高,10.0,g,国际工程技术与应用协会,https://www.ietc.org,,
CO2激光切割机,0.045,mm,±0.06 mm,Ra 2.5,中,3.8,g,中国科学院合肥物质科学研究院,https://www.hfcas.ac.cn,,
电火花切割机,0.055,mm,±0.11 mm,Ra 2.9,低,2.7,g,中国机床メーカー协会,https://www.cmca.org.cn,,
数控火焰切割机,0.095,mm,±0.25 mm,Ra 3.4,中,3.6,g,中国工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 0.9,高,8.5,g,全国机械工业信息中心,https://www.cmii.org.cn,,
光纤激光切割机,0.004,mm,±0.003 mm,Ra 0.6,极高,10.5,g,国际激光产业交流会,https://www.ilic.org,,
YAG激光切割机,0.025,mm,±0.02 mm,Ra 1.8,高,7.0,g,中国产品质量监督管理局,https://www.aqsiq.gov.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.6,非常高,9.0,g,中国激光协会,https://www.clia.org.cn,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.6,中,2.5,g,全国机床工具标准化技术委员会,https://www.ctiis.org.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,一般,2.3,g,中国机械研究院,https://www.cami.org.cn,,
CO2激光切割机,0.03,mm,±0.07 mm,Ra 2.5,高,4.0,g,国际激光研究学会,https://www.ilrs.org,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.9,高,6.5,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.8,中,3.0,g,国家标准化管理委员会,https://www.sac.gov.cn,,
激光水刀切割机,0.02,mm,±0.012 mm,Ra 1.1,高,7.5,g,中国水刀协会,https://www.wjcta.org.cn,,
光纤激光切割机,0.007,mm,±0.004 mm,Ra 0.5,极高,10.0,g,中国机械行业协会,https://www.cmii.org.cn,,
等离子切割机,0.11,mm,±0.26 mm,Ra 4.2,中等,2.8,g,中国设备管理协会,https://www.cdmi.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.6,高,6.8,g,国家科技部,https://www.most.gov.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 2.3,较高,4.5,g,中国科学技术协会,https://www.cast.org.cn,,
电火花切割机,0.07,mm,±0.12 mm,Ra 3.2,中等,3.5,g,中国电子科技集团,https://www.cetc.com.cn,,
光纤激光切割机,0.009,mm,±0.006 mm,Ra 0.7,极高,8.5,g,中国光电技术学会,https://www.copt.org.cn,,
激光水刀切割机,0.015,mm,±0.01 mm,Ra 1.0,高,5.8,g,中国刀具工业协会,https://www.ctiis.org.cn,,
数控火焰切割机,0.08,mm,±0.18 mm,Ra 3.5,中,3.7,g,机械工业部,https://www.miit.gov.cn,,
等离子切割机,0.1,mm,±0.2 mm,Ra 4.0,较低,2.4,g,中国机械工程学院,https://www.cmij.edu.cn,,
YAG激光切割机,0.019,mm,±0.022 mm,Ra 1.4,高,5.6,g,中国工程院,https://www.cae.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,4.2,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.012,mm,±0.005 mm,Ra 0.6,高,8.5,g,国际激光技术委员会,https://www.ilta.org.cn,,
等离子切割机,0.15,mm,±0.5 mm,Ra 5.0,低,1.8,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 3.5,较低,2.5,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.5,高,6.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
激光水刀切割机,0.014,mm,±0.01 mm,Ra 1.0,高,7.2,g,中国水射流技术协会,https://www.wjcta.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.8,中,3.2,g,中国机械工程学会,https://www.cmes.org.cn,,
激光切割机,0.02,mm,±0.03 mm,Ra 2.1,高,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
亚光激光切割机,0.007,mm,±0.004 mm,Ra 0.5,高,9.0,g,中国工程院,https://www.cae.cn,,
纳米激光切割机,0.001,mm,±0.001 mm,Ra 0.1,极高,10.0,g,全国科技创新中心,https://www.innovation.gov.cn,,
智能电火花切割机,0.04,mm,±0.06 mm,Ra 2.9,中,4.0,g,中国智能制造协会,https://www.cimi.org.cn,,
气体激光切割机,0.03,mm,±0.07 mm,Ra 2.7,中,3.5,g,中国科技部,https://www.most.gov.cn,,
超声波切割机,0.08,mm,±0.15 mm,Ra 4.0,中,2.3,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
水刀切割机,0.019,mm,±0.018 mm,Ra 1.9,高,6.8,g,中国水利技术协会,https://www.wra.org.cn,,
数控激光切割机,0.0025,mm,±0.004 mm,Ra 0.3,极高,9.5,g,中国数控机床协会,https://www.cnca.org.cn,,
气动激光切割机,0.028,mm,±0.03 mm,Ra 1.7,高,5.8,g,中国应用物理学会,https://www.cops.org.cn,,
光束调制切割机,0.04,mm,±0.05 mm,Ra 2.2,中,4.4,g,中国光电技术协会,https://www.optics.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国科学技术部,https://www.most.gov.cn,,
数控水刀切割机,0.012,mm,±0.009 mm,Ra 0.7,高,7.0,g,中国刀具工业协会,https://www.ctiis.org.cn,,
激光切割机,0.03,mm,±0.05 mm,Ra 2.0,中,4.0,g,中国机械工业协会,https://www.cmii.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 3.5,较低,2.5,g,中国电工技术学会,https://www.csee.org.cn,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.6,高,8.5,g,国际激光技术委员会,https://www.ilta.org.cn,,
电火花切割机,0.055,mm,±0.15 mm,Ra 3.2,中,3.5,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.5,中,3.8,g,中国科协,https://www.cast.org.cn,,
数控火焰切割机,0.06,mm,±0.1 mm,Ra 3.8,中,3.2,g,中国机械工程学会,https://www.cmes.org.cn,,
激光水刀切割机,0.01,mm,±0.015 mm,Ra 0.9,中,5.0,g,中国水射流技术协会,https://www.wjcta.org.cn,,
UV激光切割机,0.03,mm,±0.02 mm,Ra 2.0,高,4.8,g,中国激光行业协会,https://www.clia.org.cn,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 1.7,高,7.2,g,工业和信息化部,https://www.miit.gov.cn,,
电火花切割机,0.048,mm,±0.1 mm,Ra 2.9,较低,2.2,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 4.0,中,3.0,g,中国电器协会,https://www.ceia.org.cn,,
光纤激光切割机,0.004,mm,±0.002 mm,Ra 0.5,高,9.0,g,国际激光技术委员会,https://www.ilta.org.cn,,
新型激光切割机,0.02,mm,±0.015 mm,Ra 1.0,高,6.0,g,中国机器人行业协会,https://www.cria.org.cn,,
CO2激光切割机,0.037,mm,±0.09 mm,Ra 2.1,中,3.9,g,中国科学技术协会,https://www.cast.org.cn,,
多功能激光切割机,0.02,mm,±0.018 mm,Ra 1.8,高,6.8,g,中国机械设计师协会,https://www.cmda.org.cn,,
YAG激光切割机,0.018,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国激光设备行业协会,https://www.clia.org.cn,,
电火花切割机,0.07,mm,±0.12 mm,Ra 3.5,中,4.0,g,中国机械工业联合会,https://www.cmif.org.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,较低,1.8,g,中国电焊切割协会,https://www.cawc.org.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.5,高,8.5,g,国际激光技术协会,https://www.ilta.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.0,高,9.0,g,中国水刀行业协会,https://www.wjcta.org.cn,,
数控火焰切割机,0.09,mm,±0.15 mm,Ra 3.8,中,3.2,g,中国机械工程学会,https://www.cmes.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.1,中,4.5,g,中国科协,https://www.cast.org.cn,,
超声波切割机,0.02,mm,±0.02 mm,Ra 1.8,较高,5.5,g,中国超声波协会,https://www.chinaultrasonics.org,,
多功能激光切割机,0.015,mm,±0.012 mm,Ra 1.4,高,7.0,g,中国激光应用研究中心,https://www.clarc.cn,,
光纤激光切割机,0.006,mm,±0.008 mm,Ra 0.9,极高,10.0,g,中国光电技术协会,https://www.optical.org.cn,,
激光科研切割机,0.02,mm,±0.015 mm,Ra 1.1,高,6.8,g,中国科技研究院,https://www.casti.org.cn,,
激光金属切割机,0.04,mm,±0.06 mm,Ra 2.3,较高,5.2,g,中国金属加工协会,https://www.cmta.org.cn,,
CO2激光切割机,0.038,mm,±0.05 mm,Ra 2.5,高,4.0,g,中国激光工程院,https://www.clie.org.cn,,
数控等离子切割机,0.115,mm,±0.2 mm,Ra 5.2,中,2.5,g,中国数控技术协会,https://www.cnc.org.cn,,
激光模具切割机,0.01,mm,±0.03 mm,Ra 0.7,高,7.2,g,中国模具协会,https://www.cmda.org.cn,,
超高频激光切割机,0.002,mm,±0.002 mm,Ra 0.3,极高,11.0,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国信息产业部,https://www.miit.gov.cn,,
陶瓷激光切割机,0.02,mm,±0.015 mm,Ra 1.5,中,4.0,g,陶瓷行业协会,https://www.ceramic.org.cn,,
水刀切割机,0.02,mm,±0.02 mm,Ra 1.2,高,7.0,g,中国高压水切割技术协会,https://www.highpressurecutting.org.cn,,
超声波切割机,0.03,mm,±0.04 mm,Ra 1.8,中,3.5,g,中国超声波技术协会,https://www.ultrasonics.org.cn,,
激光切割机,0.015,mm,±0.03 mm,Ra 1.1,高,7.5,g,中国机械工程学会,https://www.cmes.org.cn,,
等离子切割机,0.08,mm,±0.1 mm,Ra 3.3,中,4.5,g,中国焊接学会,https://www.cws.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.9,较低,2.5,g,中国激光行业协会,https://www.clia.org.cn,,
数控电火花切割机,0.06,mm,±0.1 mm,Ra 4.2,中,3.0,g,中国数控机床产业技术创新战略联盟,https://www.cncs.org.cn,,
气动切割机,0.05,mm,±0.12 mm,Ra 4.0,中,2.0,g,中国机械工程学会,https://www.cmes.org.cn,,
