试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
新型量子光计算模型研究,20240111,量子光计算系统,理论研究,进行中,第一阶段,基础研究,清华大学,清华大学量子计算研究院,2024-03-15,待定,待定,待定,新项目,清华科技有限公司,实验室数据,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
边缘计算与可见光通信结合研究,20240104,边缘可见光计算系统,应用研究,进行中,第二阶段,技术研究,复旦大学,复旦大学网络研究中心,2024-02-20,2024-02-25,2024-08-20,2024-10-10,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
智能家居与光通信方案测试,20240105,家居智能通信系统,应用开发,准备中,第一阶段,应用研究,电子科技大学,电子科技大学智能实验室,2024-03-01,待定,待定,待定,初步申请,成都光电科技有限公司,市场调研,中国,电子科技大学官网,https://www.uestc.edu.cn/,2024-10-17,,,,,
低功耗可见光通信专业研究,20240106,低功耗VLC系统,基础研究,完成,第三阶段,环境研究,南京航空航天大学,南京航空航天大学光电实验室,2024-01-15,2024-01-20,2024-05-15,2024-10-01,新技术,南京光电有限公司,实验室数据,中国,南京航空航天大学官网,https://www.nuaa.edu.cn/,2024-10-17,,,,,
城市光网络与数据处理整合实验,20240107,城市光网络实验平台,系统集成,进行中,第一阶段,系统测试,华中科技大学,华中科技大学智能通信研究中心,2024-03-05,2024-03-10,2024-09-05,2024-10-05,改进申请,华中光电技术公司,项目报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于AI的光计算过程优化研究,20240108,AI光计算平台,应用研究,进行中,第二阶段,数据优化,浙江大学,浙江大学光电中心,2024-03-12,2024-03-15,2024-11-30,2024-10-03,技术创新,浙江光电技术有限公司,专业文献,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
智能交通系统中的可见光通信研究,20240109,智能交通光通信系统,应用开发,完成,第二阶段,技术开发,西安交通大学,西安交通大学交通研究所,2024-01-22,2024-02-01,2024-10-01,2024-10-11,新申请,西安交通科技有限公司,行业分析,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
高亮度LED在可见光通信中的应用研究,20240110,LED可见光通信平台,基础研究,进行中,第一阶段,材料研究,南方科技大学,南方科技大学光电研究所,2024-03-15,2024-04-01,2024-10-30,2024-09-20,技术改进,深圳光电技术公司,行业标准,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
未来可见光通信技术趋势探讨,20240111,可见光通信技术平台,发展研究,准备中,第二阶段,趋势分析,哈尔滨工业大学,哈尔滨工业大学光通信实验室,2024-03-20,待定,待定,待定,政策申请,黑龙江光电科技公司,研究报告,中国,哈尔滨工业大学官网,https://www.hitsz.edu.cn/,2024-10-17,,,,,
新型可见光通信技术研究,20240104,下一代VLC系统,基础研究,进行中,第一阶段,基础研究,哈尔滨工业大学,哈尔滨光通信研究中心,2024-01-10,2024-01-20,2024-12-20,2024-10-01,新申请,黑龙江光电有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算系统的网络集成研究,20240105,智能光计算平台,应用研究,完成,第三阶段,系统集成,浙江大学,浙江大学网络实验室,2024-02-15,2024-03-01,2024-09-30,2024-10-10,项目申请,浙江光电技术有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光与数据计算融合研究,20240106,数据融合通信平台,实验室测试,准备中,第一阶段,基础研究,东南大学,东南大学光电实验室,2024-03-01,待定,待定,待定,初步申请,江苏光电科技公司,实验室观测,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光的智能交通系统开发,20240107,智能交通VLC系统,应用研究,进行中,第二阶段,应用开发,复旦大学,复旦大学交通研究中心,2024-03-10,2024-04-01,2025-03-15,2024-10-15,项目申请,复旦光电技术有限公司,项目监测,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
绿色建筑中的可见光通信研究,20240108,建筑可见光网络,技术研究,完成,第三阶段,生态研究,武汉大学,武汉大学绿色建筑技术中心,2024-03-20,2024-04-10,2024-06-30,2024-10-05,新技术,武汉光电集团,项目数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
下一代光计算技术挑战与解决方案,20240109,未来光计算系统,技术开发,进行中,第二阶段,技术研究,厦门大学,厦门大学光电技术研究所,2024-04-01,2024-05-01,2025-01-15,2024-10-07,技术改进,厦门光电有限公司,研究报告,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
可见光通信的无线应用开发,20240110,全面覆盖VLC系统,应用研究,完成,第一阶段,产品测试,南京理工大学,南京理工大学无线信号研究所,2024-04-10,2024-05-05,2024-10-10,2024-10-20,产品申请,南京光电技术企业,市场趋势分析,中国,南京理工大学官网,https://www.njtech.edu.cn/,2024-10-17,,,,,
增强现实中的光计算技术实验,20240111,AR光计算平台,技术开发,进行中,第二阶段,系统集成,深圳大学,深圳大学新兴技术研究中心,2024-05-01,2024-06-01,2025-05-01,2024-10-25,新技术,深圳光电集团,实验室研究,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
室外可见光通信实验,20240104,户外VLC系统,系统应用,准备中,第一阶段,现场测试,浙江大学,浙江大学光电研究所,2024-02-01,2024-02-10,2024-04-10,2024-04-11,新项目,浙江光电科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
城市光网络性能评估,20240105,城市光网络系统,系统集成,进行中,第二阶段,综合测试,南京理工大学,南京理工大学光通信实验室,2024-02-10,2024-03-01,2024-07-01,2024-09-15,续期申请,南京光电公司,现场数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
室内光计算系统优化,20240106,高效光计算系统,基础研究,完成,第三阶段,技术验证,同济大学,同济大学光电子中心,2024-02-15,2024-02-25,2024-03-30,2024-05-01,结束申请,同济科技有限公司,实验室数据,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
多通道可见光传输研究,20240107,多通道VLC系统,产品开发,进行中,第一阶段,产品测试,华南理工大学,华南理工大学光电实验室,2024-02-20,2024-03-05,待定,2024-10-01,新申请,华南光电科技有限公司,实验室数据,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
光计算平台云服务开发,20240108,云光计算平台,云计算,完成,第二阶段,技术开发,北京航空航天大学,北航光电技术研究院,2024-02-25,2024-03-15,2024-08-15,2024-09-01,开发申请,北航云科技有限公司,项目数据,中国,北京航空航天大学官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
基于VLC的智能家居系统实验,20240109,智能家居VLC,应用研究,进行中,第一阶段,系统测试,东南大学,东南大学智能系统实验室,2024-03-01,2024-03-15,待定,2024-10-05,新申请,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
光计算与传统计算比较研究,20240110,光计算对比平台,基础研究,准备中,第二阶段,理论研究,重庆大学,重庆大学光电研究所,2024-03-05,2024-03-20,2024-09-20,2024-10-08,新申请,重庆科技公司,研究论文,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
集成光计算系统设计,20240111,集成光计算平台,系统开发,进行中,第一阶段,系统测试,虎丘大学,虎丘大学光电实验室,2024-03-10,2024-03-25,待定,2024-10-12,初步申请,虎丘科技有限公司,项目数据,中国,虎丘大学官网,https://www.hq.edu.cn/,2024-10-17,,,,,
可见光通信信号稳定性测试,20240104,室内可见光通信系统,基础研究,进行中,第一阶段,基础研究,浙江大学,浙江大学光子实验室,2024-01-05,2024-01-12,2024-03-12,2024-10-12,初步申请,浙江光电科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光计算系统性能调优,20240105,高性能光计算平台,应用开发,完成,第三阶段,技术开发,华中科技大学,华中科技大学试验室,2024-02-14,2024-02-20,2024-04-20,2024-10-10,新技术,华中光电科技公司,项目报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光通信与深度学习结合实验,20240106,深度学习优化系统,应用研究,准备中,第一阶段,系统集成,南京大学,南京大学智能系统研究所,2024-01-20,待定,待定,待定,新申请,南京智云科技有限公司,实验室数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
高功率可见光通信系统测试,20240107,高功率VLC系统,实验室测试,进行中,第二阶段,基础研究,武汉大学,武汉大学电子信息学院,2024-01-25,2024-02-05,2024-06-05,2024-10-11,技术改进,武汉光电科技有限公司,实验室数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
光计算系统智能算法研究,20240108,智能光计算框架,技术研究,完成,第一阶段,应用开发,哈尔滨工业大学,哈尔滨工业大学计算机科学学院,2024-02-01,2024-02-10,2024-05-10,2024-10-12,新技术,哈工智能科技有限公司,项目报告,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光802.11通信标准测试,20240109,802.11VLC系统,标准测试,进行中,第一阶段,技术标准,东南大学,东南大学网络实验室,2024-01-30,2024-02-15,待定,2024-10-10,新申请,东南光谱科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
可见光通信中的噪声分析,20240110,噪声抑制系统,基础研究,已完成,第二阶段,基础研究,西安交通大学,西安交通大学电子工程,2024-02-05,2024-02-11,2024-06-01,2024-10-12,技术改进,西安光电技术公司,文献研究,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光通信的大数据处理研究,20240111,数据处理VLC系统,技术转移,进行中,第一阶段,应用开发,天津大学,天津大学智能信息处理中心,2024-03-01,2024-03-10,待定,待定,初步申请,天津光电科技有限公司,文献数据,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
光通信与环境监测系统试验,20240104,智能环境监测系统,应用研究,完成,第三阶段,技术开发,华南理工大学,华南技术研究所,2024-02-20,2024-03-01,2024-07-15,2024-07-16,新项目申请,环境科技股份有限公司,项目报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
基于可见光通信的区域网络研究,20240105,区域网络实验平台,系统集成,进行中,第一阶段,系统研发,南京邮电大学,南京光通信研究中心,2024-02-12,2024-02-15,待定,2024-10-12,技术改进,南京光电设备有限公司,实验室数据,中国,南京邮电大学官网,https://www.njupt.edu.cn/,2024-10-17,,,,,
光信号处理系统的性能评估,20240106,高效光信号处理系统,应用研究,完成,第二阶段,技术测试,西安电子科技大学,信息与通信工程学院,2024-03-05,2024-04-01,2024-08-30,2024-09-01,技术申请,西安光电科技公司,实验室数据,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
可见光在物联网中的应用研究,20240107,物联网可见光通信系统,系统集成,进行中,第一阶段,应用开发,哈尔滨工业大学,智能系统研究所,2024-04-10,2024-05-01,待定,2024-10-12,新技术申请,哈尔滨科技有限公司,项目记录,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
集成光计算与通信系统的研究,20240108,集成系统试验平台,基础研究,准备中,第一阶段,系统测试,浙江大学,光电实验室,2024-05-02,待定,待定,待定,初步申请,浙江光电科技公司,研究计划,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信与AI算法结合的探索,20240109,智能AI支持的光通信系统,应用研究,完成,第二阶段,技术研发,北京航空航天大学,智能系统研究中心,2024-05-10,2024-06-01,2024-09-15,2024-09-16,新技术申请,飞行科技有限公司,项目成果,中国,北京航空航天大学官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位研究,20240110,室内光定位系统,应用研究,进行中,第一阶段,技术开发,同济大学,智能建筑工程实验室,2024-05-20,2024-06-01,待定,2024-10-12,项目申请,同济科技有限公司,研究论文,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
光计算与数据加密研究,20240111,安全光计算平台,基础研究,完成,第二阶段,技术测试,东北大学,信息安全实验室,2024-06-01,2024-07-01,2024-11-30,2024-12-01,新技术申请,东北信息科技公司,实验室数据,中国,东北大学官网,https://www.neu.edu.cn/,2024-10-17,,,,,
高效可见光通信方法的研发,20240112,优化光通信系统,系统原型,进行中,第一阶段,系统开发,华东师范大学,电子信息工程学院,2024-06-15,2024-07-01,待定,待定,新项目申请,华东光电技术有限公司,研究记录,中国,华东师范大学官网,https://www.ecnu.edu.cn/,2024-10-17,,,,,
可见光通信环境适应性研究,20240104,适应性VLC系统,实验室测试,进行中,第三阶段,环境研究,华中科技大学,华中科技大学实验室,2024-02-10,2024-02-20,2024-05-20,2024-10-13,新申请,华中科技有限公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光计算在智能交通中的应用探索,20240105,智能交通光计算系统,应用研究,完成,第一阶段,技术开发,西安交通大学,西安交通大学研究中心,2024-03-01,2024-03-05,2024-07-01,2024-10-14,技术改进,交通科技有限公司,项目报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
