可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
VLC家居网络,室内网络,数据互联,家庭用户,无线配置,产品化完善,智能家居集成,LED调制信号与设备协同,家庭自动化,科技合作,家庭科技,法国电信,VLC家居网络利用LED灯光实现家庭设备连接与控制，提供便捷的智能家居体验。,家庭技术周刊,https://www.hometechweekly.com/,2024-10-16,,,,
LED音乐传输系统,多媒体传输,数据与音频传输,音乐爱好者,硬件+软件,理论研究阶段,实时传输音频,LED光信号与音频信号调制,音乐娱乐,国际学术合作,娱乐科技,东京大学,LED音乐传输系统使音乐爱好者通过光信号实现实时高保真音频传输，兼具享受与实用。,音乐技术研究,https://www.musicaltechresearch.com/,2024-10-16,,,,
VLC教育平台,教育应用,知识传输,学生、教师,在线学习,系统整合中,提升学习效率,基于LED的在线教学,教育科技,教育合作,在线教育,哈佛大学,VLC教育平台利用可见光信号实现信息传输，提升课堂互动与参与度。,教育技术论坛,https://www.edutechforum.com/,2024-10-16,,,,
AeroLight,航空通信系统,飞行数据传输,航空公司、飞行员,无线系统,应用验证,提高飞行安全,LED信息传输,航空安全,行业研究合作,航空技术,伦敦帝国学院,AeroLight系统在航班期间利用LED灯光传输关键飞行数据，提高飞行安全和效率。,航空安全网,https://www.airlinesecuritynet.com/,2024-10-16,,,,
VLC海洋通信,水下通信解决方案,数据传输,海洋研究机构,水下设备,开发阶段,水下智能监测,LED信号传播,海洋科学,科研项目合作,海洋技术,加州大学,VLC海洋通信利用可见光通过水下传输数据，推动海洋研究的智能化与自动化。,海洋科技期刊,https://www.marinetechjournal.com/,2024-10-16,,,,
SmartLiFi,商业应用,高速数据传输,智能家居用户,集成硬件,市场推出,全面覆盖家庭网络,光信号多路复用技术,隐私安全通信,企业联盟,智能家居,华为技术有限公司,SmartLiFi提供全面的家庭网络覆盖，利用LED灯进行高速数据传输，适用于Wi-Fi环境的补充。,技术日报,https://www.techdaily.cn,2024-10-16,,,,
NASA光计算平台,科研系统,空间数据处理,太空科研机构,科研项目,实用测试,优化空间通信效率,光计算与人工智能结合,航天技术,国际合作,航天科技,NASA与MIT,NASA光计算平台在空间任务中运用光计算技术，提高了数据处理效率和精准度。,NASA官网,https://www.nasa.gov,2024-10-16,,,,
GreenVLC,环保系统,绿色通信,环保组织、城市规划者,城市基础设施,实施阶段,降低能耗,高效LED照明与通信整合,城市照明,公私合营,绿色科技,清华大学、地方政府,GreenVLC项目旨在整合城市照明与通信需求，通过绿色技术降低能源消耗。,中国绿色城市网,http://www.chinagreenurban.com,2024-10-16,,,,
VLC-AR通信系统,增强现实应用,实时数据传输,游戏开发者、科研机构,软件开发,原型测试,增强用户体验,结合AR与VLC,虚拟现实、游戏,高校合作,游戏及软件,北京大学,VLC-AR通信系统利用可见光进行实时数据传输，大幅增强增强现实应用的用户体验。,游戏技术论坛,https://www.gametechforum.com,2024-10-16,,,,
LiFi视频传输系统,视频传输,高清视频传输,家庭娱乐用户,无线设备,商业应用,支持4K视频流,利用LED进行高清视频传输,家庭影院,企业合作,消费电子,小米科技,LiFi视频传输系统通过LED灯实现高速4K视频流传输，解决家庭影院的带宽瓶颈。,电子产品评测,https://www.electronicstest.com,2024-10-16,,,,
LED-Driven LiFi Network,无线网络,网络搭建,校园网络用户,网络设备,实施测试,校园全面覆盖,基于LED的无线信号传输,教育行业,高校联盟,网络技术,多所高校,LED-Driven LiFi Network为校园环境提供了基于LED的全覆盖无线网络解决方案。,校园网技术杂志,https://www.campusnettech.com,2024-10-16,,,,
Optical Depth Sensor,传感器技术,环境监测,环境科学研究者,集成传感器,原型开发,精确监测水体深度,光信号反射测量,环境监测,科研合作,环境科技,环境科学研究中心,Optical Depth Sensor使用可见光信号进行水体深度监测，适用于环境科学领域的精密测量。,环境科学期刊,https://www.environmentalsciencejournal.com,2024-10-16,,,,
LiFi室内导航系统,导航技术,定位服务,室内活动者,集成软件,商用化开发,提供精准室内定位,基于光信号的导航算法,物流与零售,企业合作,物流科技,阿里巴巴,LiFi室内导航系统通过LED灯为用户提供精准的室内定位服务，提升物流效率。,商业技术评论,https://www.businesstechnologyreview.com,2024-10-16,,,,
VLC Emergency Response System,应急通信,紧急数据传输,公共安全部门,紧急响应设备,验收测试,提高应急响应速度,光信号快速信号传输,公共安全,政府协调,安全科技,公安部科技局,VLC Emergency Response System利用可见光实现紧急数据传输，支持迅速的公共安全响应。,公共安全领域研究,https://www.publicsafetyresearch.com,2024-10-16,,,,
V-Light 3000,高效能通信,数据同步,大企业,全息投影,商业化产品,极速数据同步,全光网络连接,云计算,产业联盟,信息技术,清华大学、华为,V-Light 3000是一种通过全息投影技术实现的极速数据同步解决方案，专为云计算和大数据企业设计，提升系统效率。,IEEE Spectrum,https://spectrum.ieee.org,2024-10-16,,,,
LiFi云网络,云计算解决方案,数据传输与存储,中小企业,云平台,试点实施,降低延迟,LiFi实现的云数据传输,中小企业信息化,企业合作,云计算,阿里云、UIUC,LiFi云网络通过可见光传输数据，实现中小企业数字化转型，降低网络延迟，提高用户体验。,CNBlog,https://www.cnblogs.com/,2024-10-16,,,,
SmartVLC,智慧城市解决方案,城市管理,市政府,集成系统,全面推广,提升城市管理效率,基于光的城市管理传感,智能交通,政府与企业合作,智能城市,多所大学联合,SmartVLC通过利用可见光通信技术，为智慧城市提供高效的数据传输和传感解决方案，提高管理效率。,城市规划协会,https://www.urbanplanning.org/,2024-10-16,,,,
LightSync定位系统,定位技术,用户定位,公共设施,软件+硬件,产业应用,高精度定位,信号测距技术,公共安全,院校及企业合作,安全服务,数家生技企业,LightSync定位系统使用可见光信号提供公共设施中用户的高精度定位服务，提高公共安全与管理水平。,安全技术期刊,https://www.journalofsecurity.com/,2024-10-16,,,,
VLC无线传输模块,无线模块,简化数据传输,家庭用户,小型硬件,试用阶段,提高家庭网络性能,LED频闪技术,家庭网络,家庭科技公司,家庭科技,多家公司合作,VLC无线传输模块通过LED频闪技术简化家庭数据传输，提高网络性能，适用于家庭用户。,TechCrunch,https://techcrunch.com/,2024-10-16,,,,
BioVLC系统,生物技术,数据处理与分析,生物医药研究机构,集成设备,前沿研究,提升数据处理能力,生物样本光信号提取,医疗健康,跨领域合作,生命科学,多家顶尖院校,BioVLC系统通过光学技术处理生物样本数据，提升数据处理能力，促进生物医药研究进展。,生命科学杂志,https://www.lifesciencejournal.com/,2024-10-16,,,,
VLC热点系统,无线接入系统,网络接入,公共场所,硬件设施,已部署,优化公共网络体验,可见光网络接入节点,公共网络,与政府合作,公共服务,地方政府合作单位,VLC热点系统通过可见光网络接入技术，在公共场所提供稳定的网络接入服务，优化民众的网络体验。,地方科技局,https://www.localtechnology.gov/,2024-10-16,,,,
Future LightCom,未来技术展望,探索与实验,研究者与开发者,多学科合作,理论研究,创新技术探索,未来光通信技术展望,创新技术,科研与产业合作,科研与技术创新,全球多所研究院,Future LightCom项目专注于未来光通信技术的探索，通过多学科合作推动技术创新与应用。,Science Magazine,https://www.sciencemag.org/,2024-10-16,,,,
光网格系统,网络架构,数据管理,科技公司,网络集成,投入使用,优化数据流,网格计算技术,数据中心,国际合作,信息技术,国际科技组织,光网格系统利用网格计算技术优化数据流，提高数据中心的处理能力与效率，适用于现代科技公司。,Tech World,https://www.techworld.com/,2024-10-16,,,,
LumiConnect,可见光通信解决方案,数据传输,智能家居用户,硬件+软件,商用应用,家庭网络集成,LED光信号管理,智能家居、物联网,行业合作,智能家居,北京理工大学,LumiConnect结合智能家居设备，实现家庭网络的高效可见光数据传输，增强家庭物联网的连接性。,科技日报,http://www.stdaily.com,2024-10-16,,,,
VLC-Medical,医疗通信技术,医疗数据传输,医院,定制硬件,临床试验,病人数据安全传输,医疗数据加密传输,远程监控,医院合作,医疗技术,复旦大学附属医院,VLC-Medical通过可见光技术提高医院内部数据传输的安全性和效率，具有实际临床应用价值。,医学研究杂志,https://www.jmedicalresearch.com,2024-10-16,,,,
LightWave,光无线系统,数据同步,无人机用户,软件集成,前沿研究,增强无人机通信,动态光信号调制技术,空中通信,跨行业合作,无人机技术,清华大学无人机研究中心,LightWave采用先进的动态光调制，支持无人机间高效的实时数据传输，促进空中无缝通信。,DroneTech资讯,https://www.dronetechnews.com,2024-10-16,,,,
VLC-Stream,流媒体传输,视频传输,媒体公司,集成方案,商业实施,提升流媒体质量,高带宽光信号解码,视频内容传输,技术合作,媒体与娱乐,斯坦福大学,VLC-Stream系统利用可见光信号进行高清视频传输，显著提升媒体内容的传输质量。,国际广播科技协会,https://www.ibc.org,2024-10-16,,,,
VLC-Transport,交通管理系统,位置服务,交通管理部门,综合系统,研发阶段,智能交通系统优化,LED信号标示与信息传输,城市交通,政府与企业合作,交通与运输,全国交通管理局,VLC-Transport系统通过LED信号与交通管理设备的整合实现高效的城市交通信息传递。,中国交通新闻网,http://www.chinatransportnews.com,2024-10-16,,,,
VLC-Connect,商业通信解决方案,数据传输与交流,大型企业,定制开发,工业应用,提高内部通讯效率,基于LED灯的通信网络,企业通信,商业联盟,企业通讯,中信科技,VLC-Connect提供企业内部独特的光通信网络，提升数据传输及实时交流的效率。,商业通信新闻,https://www.b2bcommnews.com,2024-10-16,,,,
EcoVLC,绿色通信技术,环保数据传输,环保机构,可再生能源集成,应用研究,减少能耗,低功耗LED技术,绿色科技,环保组织与高校,可再生能源与通信,环保科技协会,EcoVLC技术结合可再生能源和LED灯，旨在实现低能耗的高效数据传输。,绿色科技日报,http://www.greentechnews.com,2024-10-16,,,,
VLC-Assist,辅助技术,位置识别,智能导览系统,软件与硬件结合,市场试验,提高导览精度,室内定位算法与LED信号,旅游与博物馆,文化机构合作,旅游与文化,各大博物馆,VLC-Assist系统结合可见光与定位算法，用于提升博物馆与旅游景点的导览体验。,文化旅游评论,https://www.culturetravelreviews.com,2024-10-16,,,,
Community VLC,社区通信平台,信息传递与互动,地方社区,基于LED灯的无线网络,社会试点,提升社区服务,信息发送与接收,社区管理,社区合作组织,社会服务,地方社会服务机构,Community VLC建立在社区内的光通信网络，用于增强居民间的信息传递与互动。,社区服务报,http://www.communityservicejournal.com,2024-10-16,,,,
