可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
中,400 Mbps,36 ms,8 ms,4,140 ms,5%,中国网络信息中心,https://www.cnnic.cn,,
低,10 Mbps,120 ms,50 ms,10,500 ms,30%,信息技术审查,https://www.itrreview.com,,
高,2.5 Gbps,8 ms,2 ms,0,60 ms,1%,未来通信技术论坛,http://www.futurecommforum.com,,
中,553 Mbps,20 ms,7 ms,2,130 ms,3%,IEEE Transactions on Network and Service Management,https://ieeexplore.ieee.org,,
高,1 Gbps,14 ms,5 ms,0,80 ms,2%,通信科技前沿,https://www.front-tech-comm.com,,
低,35 Mbps,100 ms,35 ms,6,350 ms,15%,技术与市场,https://www.techandmarket.com,,
高,900 Mbps,12 ms,4 ms,1,75 ms,2%,通信技术研究所,https://www.ctri.org.cn,,
中,750 Mbps,25 ms,10 ms,3,140 ms,4%,现代网络技术,https://www.modernnetworktech.com,,
高,2 Gbps,9 ms,3 ms,0,80 ms,1%,互联网技术展望,https://www.internettechfuture.com,,
低,5 Mbps,130 ms,60 ms,9,500 ms,35%,全球通信观察,https://www.globalcommswatch.com,,
高,1.2 Gbps,18 ms,6 ms,0,95 ms,1%,先进技术研究中心,https://www.advancedtechresearch.org,,
中,350 Mbps,30 ms,15 ms,2,125 ms,5%,智能网络服务,https://www.smartsnetservice.com,,
高,3 Gbps,7 ms,2 ms,0,50 ms,0%,第五代移动通信技术期刊,https://www.5gtechnologyjournal.com,,
中,450 Mbps,23 ms,15 ms,3,135 ms,6%,网络与通信会议,https://www.netcomconf.com,,
高,1.2 Gbps,16 ms,5 ms,0,110 ms,2%,中国机械工程学会,https://www.cmes.org.cn,,
中,300 Mbps,35 ms,20 ms,2,200 ms,5%,数据通信杂志,https://www.dcnmag.cn,,
低,60 Mbps,95 ms,30 ms,8,350 ms,15%,互联网委员会,https://www.icann.org,,
高,10 Gbps,7 ms,1 ms,0,50 ms,1%,未来网络技术论坛,https://futurenetworkconference.com,,
高,1.5 Gbps,14 ms,4 ms,0,90 ms,1%,国际电信联盟,https://www.itu.int,,
中,500 Mbps,55 ms,15 ms,4,180 ms,8%,通信技术通讯,https://www.ctct.com,,
低,30 Mbps,100 ms,35 ms,10,400 ms,25%,网络研究中心,https://www.networkresearch.org,,
高,2.5 Gbps,11 ms,3 ms,1,70 ms,2%,高新技术研究院,https://www.hizhi.com,,
低,40 Mbps,95 ms,20 ms,6,300 ms,12%,国家光电研究院,https://www.ngs.pl,,
中,450 Mbps,25 ms,10 ms,3,160 ms,4%,电子与通讯学报,https://www.journalofec.com,,
高,3 Gbps,13 ms,3 ms,0,55 ms,1%,网络技术前沿,https://www.networktechfrontier.com,,
低,20 Mbps,120 ms,40 ms,9,500 ms,30%,电信用户调查局,https://www.tud.org,,
中,700 Mbps,20 ms,9 ms,3,150 ms,6%,国家广播电视总局,https://www.nsat.gov.cn,,
高,5 Gbps,12 ms,3 ms,1,80 ms,2%,科技发展论坛,https://www.sciencedevforum.com,,
高,2 Gbps,15 ms,3 ms,1,70 ms,3%,无线电通信研究,https://www.radiocommresearch.com,,
中,800 Mbps,28 ms,7 ms,2,130 ms,5%,软件工程与应用,https://www.seajournal.com,,
高,9 Gbps,8 ms,2 ms,0,55 ms,1%,科技进步与对策,https://www.techprogressconference.com,,
高,1.5 Gbps,20 ms,5 ms,0,90 ms,2%,Asia-Pacific Network Information Centre,https://www.apnic.net,,
中,300 Mbps,35 ms,10 ms,2,150 ms,4%,Informa Telecoms & Media,https://telecoms.com,,
高,750 Mbps,15 ms,7 ms,0,70 ms,1%,科技日报,http://www.stdaily.com,,
低,40 Mbps,120 ms,30 ms,10,400 ms,25%,ResearchGate,https://www.researchgate.net,,
中,200 Mbps,50 ms,15 ms,3,200 ms,5%,国际电信联盟,https://www.itu.int,,
高,1.2 Gbps,14 ms,6 ms,1,85 ms,2%,Next Generation Networks,https://www.ngn.com,,
低,20 Mbps,110 ms,35 ms,6,375 ms,18%,光纤网络联盟,http://www.fiberalliance.com,,
高,2.5 Gbps,8 ms,3 ms,0,50 ms,1%,China Communications Standards Association,https://www.ccsa.org.cn,,
中,500 Mbps,37 ms,11 ms,2,165 ms,3%,Telecom Review,https://www.telecomreview.com,,
高,900 Mbps,25 ms,5 ms,0,85 ms,2%,Network World,https://www.networkworld.com,,
中,350 Mbps,60 ms,20 ms,4,220 ms,5%,Gartner,https://www.gartner.com,,
低,15 Mbps,130 ms,40 ms,8,450 ms,30%,CNET,https://www.cnet.com,,
高,1 Gbps,16 ms,8 ms,1,95 ms,2%,TechCrunch,https://techcrunch.com,,
高,2.2 Gbps,12 ms,4 ms,0,78 ms,1%,The Verge,https://www.theverge.com,,
中,600 Mbps,30 ms,14 ms,3,110 ms,4%,ZDNet,https://www.zdnet.com,,
高,2.8 Gbps,9 ms,2 ms,0,65 ms,1%,Slug Magazine,https://www.slugmag.com,,
低,10 Mbps,140 ms,50 ms,9,500 ms,35%,Wired,https://www.wired.com,,
高,3 Gbps,7 ms,1 ms,0,45 ms,1%,Frost & Sullivan,https://www.frost.com,,
高,1.5 Gbps,11 ms,3 ms,0,70 ms,1%,中国工信部,http://www.miit.gov.cn/,,
中,350 Mbps,35 ms,10 ms,2,120 ms,5%,电信运营商协会,https://www.tca.org/,,
低,20 Mbps,95 ms,30 ms,6,350 ms,25%,信息产业部,http://www.miit.gov.cn/,,
高,2.5 Gbps,9 ms,2 ms,0,60 ms,1%,TechCrunch,https://techcrunch.com/,,
中,450 Mbps,40 ms,15 ms,3,150 ms,4%,IP Networking Journal,https://ipnetworkingjournal.com/,,
高,1 Gbps,17 ms,7 ms,1,100 ms,3%,IEEE Communications Society,https://www.comsoc.org/,,
低,30 Mbps,85 ms,20 ms,8,300 ms,12%,网络世界,https://www.networkworld.com/,,
高,3 Gbps,10 ms,1 ms,0,50 ms,1%,Fast Company,https://www.fastcompany.com/,,
高,800 Mbps,13 ms,3 ms,2,80 ms,2%,波动技术研究中心,https://www.fluctuationtech.org/,,
中,500 Mbps,25 ms,8 ms,4,150 ms,6%,网络通讯评比,https://www.netcommrank.com/,,
低,18 Mbps,100 ms,35 ms,9,400 ms,15%,电信市场报告,https://www.telecommarketreport.com/,,
高,2.8 Gbps,8 ms,1 ms,0,70 ms,1%,科学技术前沿,http://www.frontiersci.com/,,
高,900 Mbps,15 ms,5 ms,0,90 ms,3%,分布式网路技术,https://distrinettech.org/,,
中,550 Mbps,20 ms,10 ms,3,160 ms,4%,数字技术观察站,https://digitaltechwatch.com/,,
低,16 Mbps,110 ms,40 ms,10,500 ms,20%,网络障碍解决,https://netissueissue.com/,,
高,4 Gbps,5 ms,2 ms,1,40 ms,2%,未来网络联盟,https://futurenetworkalliance.org/,,
高,1.2 Gbps,14 ms,6 ms,2,100 ms,3%,通信技术协会,https://www.comtechsociety.org/,,
高,1.5 Gbps,14 ms,7 ms,1,85 ms,2%,网络技术与应用期刊,http://www.networktechjournal.com,,
中,300 Mbps,35 ms,10 ms,2,150 ms,5%,电信和信息技术研究所,http://www.tirsc.org,,
高,1.2 Gbps,20 ms,5 ms,0,90 ms,3%,科技日报,http://www.stdaily.com,,
低,15 Mbps,100 ms,30 ms,10,400 ms,25%,信息产业部,http://www.miit.gov.cn,,
高,500 Mbps,18 ms,3 ms,1,70 ms,1%,中国互联网协会,http://www.chinainternet.org.cn,,
中,350 Mbps,30 ms,15 ms,4,160 ms,4%,信息科学与技术学院,http://www.informatics.edu,,
高,2.5 Gbps,5 ms,1 ms,0,60 ms,1%,ICT Trend Review,http://www.icttrendreview.com,,
低,30 Mbps,120 ms,35 ms,6,350 ms,15%,网络研究,http://www.networkresearch.org,,
高,3 Gbps,8 ms,2 ms,0,50 ms,1%,全球通信合作组织,http://www.gcc.org,,
中,550 Mbps,25 ms,11 ms,3,130 ms,7%,网络和信息技术会议,http://www.nitconference.com,,
高,4 Gbps,7 ms,1 ms,0,40 ms,0%,通信与媒体研究,http://www.cmrjournal.com,,
低,20 Mbps,115 ms,29 ms,8,375 ms,18%,信息技术政策研究会,http://www.itpolicy.org,,
中,400 Mbps,40 ms,13 ms,2,180 ms,6%,电子通信协会,http://www.ecta.org,,
高,700 Mbps,12 ms,5 ms,1,100 ms,3%,科学技术研究院,http://www.sci-tech.edu.cn,,
中,250 Mbps,50 ms,10 ms,3,200 ms,8%,新兴技术论坛,http://www.emergingtechforum.com,,
高,1.8 Gbps,9 ms,4 ms,0,70 ms,1%,国际宽带论坛,http://www.internationalbroadbandforum.org,,
低,10 Mbps,150 ms,40 ms,9,450 ms,30%,中国网络观察,http://www.chinanetworkwatch.com,,
高,1.5 Gbps,14 ms,5 ms,0,120 ms,2%,国际电信联盟,https://www.itu.int,,
中,300 Mbps,40 ms,10 ms,2,200 ms,4%,通信行业协会,https://www.tiaonline.org,,
高,4 Gbps,9 ms,3 ms,1,70 ms,1%,光纤通信技术期刊,https://www.oftjournal.org,,
低,75 Mbps,110 ms,30 ms,8,500 ms,25%,网络与技术研究中心,https://www.ntrcenter.org,,
高,500 Mbps,18 ms,5 ms,1,100 ms,2%,Infosys科技新闻,https://www.infosys.com,,
中,450 Mbps,32 ms,15 ms,4,150 ms,5%,科技日报,http://www.stdaily.com,,
高,1.2 Gbps,8 ms,2 ms,0,60 ms,1%,CNET科技新闻,https://www.cnet.com,,
低,20 Mbps,95 ms,20 ms,6,350 ms,15%,信息与通信技术部,https://www.miit.gov.cn,,
高,2.5 Gbps,11 ms,4 ms,1,80 ms,3%,网络战略研究所,https://www.networkstrategy.org,,
中,900 Mbps,35 ms,11 ms,3,220 ms,7%,电子科技大学,http://www.uestc.edu.cn,,
高,6 Gbps,7 ms,1 ms,0,50 ms,0%,人工智能实验室,https://www.aiexperiments.com,,
低,10 Mbps,120 ms,35 ms,10,600 ms,30%,乡村信息化报告,https://www.ruralitreport.org,,
高,1 Gbps,20 ms,8 ms,1,140 ms,2%,高校网络研究院,http://www.universitynetresearch.org,,
中,700 Mbps,25 ms,10 ms,3,170 ms,5%,亚洲通信联盟,http://www.asiatelecom.org,,
高,3.5 Gbps,10 ms,3 ms,1,80 ms,1%,信息技术与传播协会,https://www.itcom.org,,
低,30 Mbps,100 ms,27 ms,9,400 ms,18%,数字时代观察,http://www.digitalageobserver.com,,
高,5 Gbps,13 ms,4 ms,0,75 ms,1%,未来网络研究基金,http://www.futureinternetfund.org,,
高,1.5 Gbps,14 ms,5 ms,0,150 ms,1%,中国通信标准化协会,https://www.csta.org.cn,,
中,300 Mbps,48 ms,15 ms,2,200 ms,4%,光纤通讯前沿,https://www.fiberfrontier.com,,
高,750 Mbps,20 ms,7 ms,0,70 ms,2%,向日葵科技,https://www.sunflowertech.com,,
低,100 Mbps,150 ms,35 ms,10,500 ms,15%,网络研究进展,https://www.networkresearch.org,,
高,3 Gbps,8 ms,3 ms,1,60 ms,1%,中国网络安全技术中心,https://www.cncsecurity.org,,
中,500 Mbps,32 ms,10 ms,3,120 ms,5%,科技动态,https://www.technews.org,,
高,1.2 Gbps,18 ms,4 ms,0,100 ms,2%,国际电信联盟,https://www.itu.int,,
低,20 Mbps,95 ms,20 ms,8,350 ms,18%,网络安全与隐私,https://www.networksafetyandprivacy.com,,
高,6 Gbps,11 ms,3 ms,2,70 ms,2%,中国信息安全技术中心,https://www.cisti.org.cn,,
中,400 Mbps,36 ms,14 ms,4,160 ms,5%,网络与通信杂志,https://www.networkandcommunicationjournal.com,,
中,350 Mbps,24 ms,8 ms,2,110 ms,6%,通信世界,https://www.telecomworld.com,,
高,4 Gbps,12 ms,2 ms,1,50 ms,1%,科技与社会,https://www.techandsociety.com,,
低,15 Mbps,120 ms,30 ms,12,400 ms,20%,现代计算机,https://www.moderncomputing.com,,
高,5 Gbps,9 ms,1 ms,1,40 ms,1%,前沿科技,https://www.frontiertech.com,,
中,650 Mbps,30 ms,10 ms,5,150 ms,3%,科技前沿,https://www.techfrontier.com,,
高,2.5 Gbps,13 ms,6 ms,0,70 ms,2%,中国电子技术标准化研究院,http://www.cesi.cn,,
低,45 Mbps,85 ms,20 ms,6,300 ms,12%,信息技术与应用,http://www.ita.com,,
中,800 Mbps,29 ms,12 ms,3,135 ms,4%,数据通信,https://www.datacom.org,,
高,1.5 Gbps,14 ms,5 ms,1,100 ms,2%,国家互联网信息办公室,https://www.cac.gov.cn,,
中,300 Mbps,32 ms,15 ms,4,200 ms,5%,TechCrunch,https://techcrunch.com,,
低,30 Mbps,95 ms,28 ms,6,300 ms,15%,光纤通信技术论坛,http://www.fft.org,,
高,10 Gbps,8 ms,2 ms,0,50 ms,1%,International Journal of Network Management,https://www.internationaljournalofnetworkmanagement.com,,
中,700 Mbps,20 ms,10 ms,2,150 ms,4%,网络通信技术,https://www.networktech.cn,,
低,15 Mbps,100 ms,35 ms,8,320 ms,25%,网络科技观察,https://www.networktechnologyobservation.com,,
高,500 Mbps,18 ms,7 ms,1,85 ms,2%,新华网,http://www.xinhuanet.com,,
高,2.5 Gbps,11 ms,3 ms,0,70 ms,2%,Gartner Research,https://www.gartner.com,,
中,400 Mbps,34 ms,12 ms,2,150 ms,8%,网络安全与管理,https://www.networksecurityandmanagement.com,,
高,3 Gbps,14 ms,4 ms,0,60 ms,1%,Future Network Technologies,https://www.futuretechnologies.com,,
低,20 Mbps,88 ms,30 ms,6,350 ms,18%,科技日报,https://www.stdaily.com,,
中,250 Mbps,28 ms,5 ms,3,180 ms,6%,网络经济学,https://www.neteconomics.com,,
高,1.2 Gbps,16 ms,8 ms,0,90 ms,3%,ITU-T,https://www.itu.int,,
中,600 Mbps,27 ms,15 ms,3,140 ms,7%,Electronic Communications Research,https://www.electroniccommunicationsresearch.com,,
低,35 Mbps,92 ms,25 ms,5,300 ms,22%,无线电与传播,http://www.radioandcommunication.com,,
高,7 Gbps,9 ms,2 ms,1,70 ms,1%,科技部,http://www.most.gov.cn,,
高,4 Gbps,10 ms,3 ms,0,55 ms,2%,信息产业部,http://www.mii.gov.cn,,
高,1.5 Gbps,14 ms,5 ms,0,90 ms,2%,中国电信研究院,https://www.chinaunicom.com,,
中,300 Mbps,35 ms,15 ms,2,100 ms,5%,IEEE Transactions on Networking,https://ieeexplore.ieee.org/Xplore/home.jsp,,
低,100 Mbps,70 ms,40 ms,8,350 ms,15%,网络通信与技术杂志,http://www.networktechjournal.com,,
高,2.5 Gbps,8 ms,3 ms,1,50 ms,1%,通信工程学会,http://www.cce.org.cn,,
高,900 Mbps,12 ms,4 ms,0,80 ms,0%,清华大学研究报告,https://www.tsinghua.edu.cn,,
中,450 Mbps,25 ms,10 ms,3,120 ms,4%,通信政策研究中心,http://www.tprcweb.com/,,
低,30 Mbps,85 ms,32 ms,9,300 ms,20%,电子通信学报,http://www.journalofelectronics.com,,
高,700 Mbps,20 ms,6 ms,0,60 ms,1%,中国移动研究院,https://www.chinamobile.com,,
高,3 Gbps,9 ms,3 ms,2,70 ms,1%,数字通信论坛,https://www.digicomforum.com,,
中,400 Mbps,30 ms,15 ms,4,110 ms,7%,亚洲网络科技大会,https://www.asiantc.com,,
低,60 Mbps,90 ms,35 ms,6,320 ms,12%,网络技术发展研究所,http://www.nternettech.org,,
高,1.2 Gbps,10 ms,5 ms,1,75 ms,3%,全球互联网联盟,https://www.internationalevent.org,,
高,1 Gbps,15 ms,5 ms,0,70 ms,1%,科技日报,http://www.stdaily.com,,
低,20 Mbps,95 ms,32 ms,8,350 ms,18%,信息网络团队,http://www.inetworkteam.com,,
中,200 Mbps,50 ms,20 ms,3,150 ms,9%,现代通信技术,https://www.moderncommtech.com,,
高,1.8 Gbps,10 ms,4 ms,0,80 ms,2%,网络世界,https://www.networkworld.com,,
高,4 Gbps,6 ms,2 ms,0,50 ms,1%,科技前沿,https://www.techfrontier.com,,
高,1.2 Gbps,20 ms,5 ms,0,80 ms,2%,网络技术研究所,https://www.ntrc.org.cn,,
中,400 Mbps,35 ms,10 ms,2,150 ms,4%,网络技术与应用,https://www.networktechapp.com,,
低,30 Mbps,95 ms,30 ms,10,350 ms,15%,科技日报,http://www.stdaily.com,,
高,3 Gbps,10 ms,3 ms,1,60 ms,1%,电信技术协会,https://www.itu.int,,
中,350 Mbps,40 ms,15 ms,3,200 ms,5%,移动通信研究院,https://www.comtech.org.cn,,
低,20 Mbps,100 ms,20 ms,8,400 ms,25%,数字通信杂志,https://www.digitalcomms.com,,
高,1.5 Gbps,15 ms,4 ms,1,70 ms,2%,全球互联网技术论坛,https://www.globalitforum.org,,
中,550 Mbps,25 ms,8 ms,2,120 ms,3%,智能网络技术,https://www.smartnetworktech.com,,
低,45 Mbps,110 ms,35 ms,6,400 ms,18%,网络安全工程师,https://www.networksecengineer.com,,
高,7 Gbps,8 ms,2 ms,0,50 ms,0.5%,科技部技术报告,http://www.most.gov.cn,,
高,1.8 Gbps,12 ms,5 ms,1,85 ms,1%,电子技术应用,http://www.electronicsjournal.com,,
低,80 Mbps,95 ms,28 ms,9,350 ms,20%,宽带国际,http://www.broadbandinternational.com,,
中,200 Mbps,60 ms,8 ms,2,300 ms,5%,中国信息产业部,http://www.miit.gov.cn,,
中,1 Gbps,22 ms,9 ms,1,140 ms,3%,网络与信息安全,https://www.nis.org.cn,,
低,35 Mbps,90 ms,20 ms,7,320 ms,10%,新技术动态,https://www.newtechdynamic.com,,
高,2.5 Gbps,11 ms,3 ms,1,75 ms,2%,光纤通信技术,https://www.fiberoptics.com,,
中,750 Mbps,30 ms,12 ms,4,200 ms,6%,网络与通信技术,https://www.netcomtech.com,,
低,12 Mbps,120 ms,20 ms,5,400 ms,25%,信息产业部,http://www.miit.gov.cn,,
高,2.2 Gbps,14 ms,4 ms,0,90 ms,1%,数字技术前沿,https://www.digitaltechfrontier.com,,
高,1.5 Gbps,15 ms,5 ms,2,90 ms,4%,国际电信联盟,https://www.itu.int,,
中,300 Mbps,32 ms,10 ms,1,150 ms,5%,中国信息产业部,http://www.miit.gov.cn,,
高,2.5 Gbps,8 ms,2 ms,0,70 ms,1%,网络技术文摘,https://www.techweb.com.cn,,
低,20 Mbps,110 ms,30 ms,8,320 ms,25%,科技日报,http://www.stdaily.com,,
高,700 Mbps,18 ms,4 ms,1,85 ms,2%,IEEE Communications Society,https://www.comsoc.org,,
中,550 Mbps,28 ms,8 ms,3,150 ms,6%,China Communications,http://www.chinacommunications.cn,,
高,1.2 Gbps,16 ms,3 ms,0,100 ms,2%,光纤通信网,http://www.fiberlink.com,,
低,45 Mbps,95 ms,20 ms,6,310 ms,15%,中国科技新闻网,http://www.cstnews.com,,
高,900 Mbps,14 ms,6 ms,1,80 ms,1%,DevNet,https://www.devnet.com,,
中,400 Mbps,33 ms,11 ms,2,140 ms,4%,网络信息中心,http://www.ncnic.cn,,
低,30 Mbps,85 ms,22 ms,5,370 ms,12%,华尔街日报,https://www.wsj.com,,
高,3 Gbps,7 ms,1 ms,0,50 ms,0%,计算机网络前沿,http://www.frontiersnetwork.com,,
高,2 Gbps,10 ms,3 ms,1,75 ms,1%,TechCrunch,https://techcrunch.com,,
中,650 Mbps,29 ms,12 ms,4,160 ms,3%,中国工程院,http://www.cae.cn,,
低,15 Mbps,120 ms,35 ms,9,400 ms,30%,Guardian,https://www.theguardian.com,,
高,1.8 Gbps,12 ms,5 ms,1,80 ms,2%,清华大学通讯与信息系统研究所,http://www.tsinghua.edu.cn,,
高,350 Mbps,16 ms,5 ms,2,120 ms,3%,中国移动通讯集团,https://www.chinamobileltd.com,,
中,720 Mbps,30 ms,8 ms,4,160 ms,5%,网络与移动研究,https://www.networkmobile.org,,
高,1.5 Gbps,25 ms,5 ms,1,70 ms,1%,TechCrunch,https://techcrunch.com,,
低,35 Mbps,110 ms,35 ms,8,400 ms,25%,网络科技评论,https://www.techreview.com,,
高,3 Gbps,10 ms,3 ms,0,50 ms,2%,CNET,https://www.cnet.com,,
低,60 Mbps,100 ms,40 ms,5,280 ms,15%,技术与科学周刊,https://www.techscienceweekly.com,,
高,900 Mbps,14 ms,4 ms,1,80 ms,1%,Scientific American,https://www.scientificamerican.com,,
中,500 Mbps,35 ms,10 ms,2,220 ms,4%,网络信息与通信,https://www.nwinfo.org,,
低,45 Mbps,95 ms,20 ms,6,350 ms,30%,数字中国,https://www.digitalchina.com,,
高,2 Gbps,8 ms,2 ms,0,60 ms,1%,China Daily,https://www.chinadaily.com.cn,,
高,1.2 Gbps,20 ms,7 ms,1,100 ms,2%,国际电信联盟,https://www.itu.int,,
中,650 Mbps,27 ms,9 ms,3,150 ms,5%,网络技术评论,https://www.networkreview.org,,
低,30 Mbps,88 ms,22 ms,6,320 ms,28%,科技日报,http://www.stdaily.com,,
高,1.1 Gbps,19 ms,6 ms,1,90 ms,2%,前沿电子技术,https://www.frontiersintech.com,,
中,400 Mbps,40 ms,13 ms,2,225 ms,6%,科技信息,https://www.techinfo.org,,
低,55 Mbps,92 ms,30 ms,5,330 ms,20%,电子商务杂志,http://www.e-commercejournal.com,,
高,2.5 Gbps,11 ms,3 ms,0,70 ms,1%,中国互联网协会,https://www.cnnic.net.cn,,
中,550 Mbps,34 ms,10 ms,2,180 ms,4%,现代通信,http://www.moderncom.com,,
高,1.5 Gbps,20 ms,5 ms,0,120 ms,1%,网络与信息安全部,https://www.nis.gov.cn,,
中,350 Mbps,55 ms,10 ms,2,200 ms,4%,TechCrunch,https://techcrunch.com,,
高,300 Mbps,30 ms,7 ms,1,150 ms,2%,国际电信联盟,https://www.itu.int,,
低,100 Mbps,85 ms,20 ms,5,300 ms,15%,CNET,https://www.cnet.com,,
高,2.5 Gbps,8 ms,2 ms,1,90 ms,1%,IEEE Transactions on Network and Service Management,https://ieeexplore.ieee.org,,
中,500 Mbps,40 ms,15 ms,2,180 ms,5%,IET Communications,https://ietresearch.onlinelibrary.wiley.com/journal/17518620,,
中,200 Mbps,65 ms,10 ms,3,210 ms,8%,Lightwave,https://www.lightwaveonline.com,,
低,15 Mbps,100 ms,30 ms,8,400 ms,25%,网络观察,https://www.networkobserver.com,,
高,6 Gbps,10 ms,3 ms,1,70 ms,0.5%,Scientific American,https://www.scientificamerican.com,,
中,700 Mbps,25 ms,8 ms,2,160 ms,3%,TechRadar,https://www.techradar.com,,
低,30 Mbps,95 ms,40 ms,6,350 ms,18%,网络安全技术,https://www.cybersecuritytech.com,,
高,4.5 Gbps,11 ms,2 ms,0,85 ms,1%,Data Communication and Networking,https://www.journals.elsevier.com/data-communication-and-networking,,
中,450 Mbps,35 ms,10 ms,2,175 ms,6%,Engineering.com,https://www.engineering.com,,
高,1.2 Gbps,15 ms,4 ms,0,100 ms,2%,Wired,https://www.wired.com,,
低,20 Mbps,110 ms,35 ms,9,400 ms,30%,ZDNet,https://www.zdnet.com,,
高,3 Gbps,5 ms,1 ms,0,60 ms,0.5%,The Register,https://www.theregister.com,,
中,550 Mbps,50 ms,12 ms,3,255 ms,4%,Gartner,https://www.gartner.com,,
高,2.5 Gbps,15 ms,5 ms,2,90 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,300 Mbps,35 ms,10 ms,4,150 ms,5%,预测研究杂志,https://www.forecastjournal.com,,
高,1.2 Gbps,20 ms,8 ms,1,95 ms,3%,BlackBerry技术网络,https://www.blackberry.com,,
低,20 Mbps,85 ms,30 ms,8,320 ms,25%,网络媒体杂志,https://www.networkmedia.com,,
中,600 Mbps,40 ms,15 ms,3,140 ms,10%,全球网络研究,https://www.globalnetworkresearch.com,,
高,4 Gbps,12 ms,4 ms,0,70 ms,1%,未来科技委员会,https://www.futuretechcouncil.org,,
低,30 Mbps,95 ms,20 ms,6,350 ms,15%,国家数据网络中心,https://www.ndnc.gov.cn,,
中,450 Mbps,30 ms,14 ms,2,130 ms,4%,先进技术联盟,https://www.advancedtechalliance.org,,
高,3 Gbps,18 ms,6 ms,1,85 ms,2%,国际电信联盟,https://www.itu.int,,
中,700 Mbps,26 ms,11 ms,3,120 ms,7%,苹果开发者论坛,https://developer.apple.com,,
低,40 Mbps,100 ms,22 ms,9,360 ms,30%,阿里巴巴研究院,https://research.alibaba.com,,
高,1.5 Gbps,14 ms,5 ms,0,75 ms,1%,中国移动通信有限公司,https://www.chinamobileltd.com,,
中,380 Mbps,28 ms,12 ms,2,110 ms,5%,信息技术与决策杂志,https://www.ictjournal.com,,
高,5 Gbps,10 ms,3 ms,0,65 ms,1%,硅谷科技发展报告,https://www.siliconvalleyreport.com,,
中,250 Mbps,33 ms,9 ms,3,155 ms,8%,数字时代杂志,https://www.digitalage.com,,
低,15 Mbps,100 ms,30 ms,10,400 ms,35%,创智科技报告,https://www.innovativetechreport.com,,
高,1.2 Gbps,15 ms,5 ms,2,90 ms,2%,中国通信学会,https://www.cic.org.cn,,
中,500 Mbps,30 ms,10 ms,4,200 ms,5%,网络与信息安全杂志,https://www.nisjournal.org,,
低,20 Mbps,85 ms,30 ms,9,350 ms,25%,国际电信联盟,https://www.itu.int,,
高,3 Gbps,10 ms,3 ms,1,70 ms,1%,The Verge,https://www.theverge.com,,
高,2.5 Gbps,11 ms,4 ms,0,60 ms,2%,Computing Research Association,https://www.cra.org,,
中,350 Mbps,40 ms,8 ms,3,150 ms,7%,TechCrunch,https://www.techcrunch.com,,
低,45 Mbps,95 ms,20 ms,6,400 ms,15%,芯片设计周刊,https://www.chipdesignweekly.com,,
高,1.8 Gbps,12 ms,4 ms,1,80 ms,2%,Information Week,https://www.informationweek.com,,
中,400 Mbps,35 ms,15 ms,4,170 ms,6%,IEEE Communications Magazine,https://www.commag.ieee.org,,
低,10 Mbps,100 ms,35 ms,8,500 ms,30%,网络资讯,https://www.netnews.org,,
高,4 Gbps,8 ms,2 ms,1,50 ms,1%,Gartner,https://www.gartner.com,,
高,1.5 Gbps,20 ms,5 ms,1,75 ms,3%,科技日报,https://www.stdaily.com,,
中,250 Mbps,55 ms,10 ms,2,140 ms,5%,CIO杂志,https://www.cio.com,,
低,30 Mbps,92 ms,30 ms,7,380 ms,18%,网络技术,https://www.networktechnology.com,,
高,6 Gbps,7 ms,3 ms,0,30 ms,1%,ZDNet,https://www.zdnet.com,,
中,550 Mbps,27 ms,13 ms,3,180 ms,6%,TechRadar,https://www.techradar.com,,
低,15 Mbps,87 ms,32 ms,8,420 ms,20%,Next Web,https://www.thenextweb.com,,
中,300 Mbps,28 ms,7 ms,2,150 ms,4%,国家通信委员会,https://www.cta.gov.cn,,
低,20 Mbps,95 ms,30 ms,10,400 ms,25%,网络世界,https://www.networkworld.com,,
高,1.5 Gbps,14 ms,4 ms,0,90 ms,2%,信息产业部,http://www.miit.gov.cn,,
高,750 Mbps,19 ms,3 ms,1,120 ms,3%,无线通信期刊,https://www.wirelessjournal.com,,
中,400 Mbps,35 ms,8 ms,4,200 ms,5%,中国网络安全协会,https://www.cac.gov.cn,,
低,45 Mbps,110 ms,20 ms,6,350 ms,15%,科技日报,http://www.stdaily.com,,
