标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
EVC,有效视频编码,50.0,fps,10bit,超高清晰度,21:09,2021-09-01,欧洲,ETSI,https://www.etsi.org,,
VVC,视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2022-07-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,高清晰度,16:09,2015-05-01,全球,ITU-T,https://www.itu.int/en/ITU-T,,
AVS3-Plus,中国新一代视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2023-01-05,中国,中国广播电视学会,http://www.cab.gov.cn/,,
MPEG-5,五代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-12-01,全球,MPEG,http://www.mpeg.org,,
RFC 8716,视频编解码扩展标准,30.0,fps,12bit,超高清晰度,16:09,2021-08-25,全球,IETF,https://www.ietf.org,,
H.265,高效视频编码（HEVC）,60.0,fps,10bit,超高清晰度,16:09,2013-01-01,全球,ITU-T,https://www.itu.int/en/ITU-T,,
JPEG XS,视频图像压缩标准,60.0,fps,8bit,标准清晰度,16:09,2020-06-15,全球,JPEG,http://www.jpeg.org,,
XAVC,索尼视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-09-01,全球,索尼,https://www.sony.com,,
SMPTE ST 2022,视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2022-11-15,全球,SMPTE,https://www.smpte.org,,
NAB 2023,美国广播商业标准,60.0,fps,12bit,超高清晰度,21:09,2023-04-01,美国,NAB Show,https://www.nabshow.com,,
PASP,视频投影标准,60.0,fps,10bit,超高清晰度,16:09,2022-05-20,全球,SMPTE,https://www.smpte.org,,
SVC-2,可伸缩视频编码第二版,30.0,fps,10bit,超高清晰度,16:09,2021-04-10,全球,ITU-T,https://www.itu.int/en/ITU-T,,
AVS2-P2,第 II 版中国音视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-15,中国,中国广播电视学会,http://www.cab.gov.cn/,,
TZE,实时视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-09-12,全球,TTA,https://www.tta.or.kr/en/index.jsp,,
H.265,高效视频编码 2,120.0,fps,10bit,超高清晰度,16:09,2023-01-15,全球,国际标准化组织,https://www.iso.org,,
AV1,AOMedia 视频 1,60.0,fps,10bit,超高清晰度,21:09,2020-05-01,全球,AOMedia,https://aomedia.org,,
HEVC 2.0,高效视频编码 2.0,60.0,fps,12bit,超高清晰度,16:09,2022-03-01,国际,IEEE,https://www.ieee.org,,
NAB 2023,国家广播协会标准,30.0,fps,8bit,高清晰度,4:03,2023-04-01,美国,NAB,https://www.nab.org,,
TEX,透视图像编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-09-10,全球,国际图像处理协会,https://www.iip.org,,
VP9,视频编码 9,60.0,fps,10bit,高清晰度,16:09,2016-06-01,全球,Google,https://developers.google.com/media/vp9,,
H.274,下一代视频编码标准,48.0,fps,10bit,超高清晰度,16:09,2024-02-15,亚太地区,ITU,https://www.itu.int,,
BML-4K,4K视频网络标准,60.0,fps,10bit,超高清晰度,21:09,2021-12-01,欧洲,欧洲广播联盟,https://www.ebu.ch,,
XAVC,高级视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2019-08-15,全球,索尼公司,https://www.sony.com,,
SMPTE 2036,SMPTE 视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-07-01,全球,SMPTE,https://www.smpte.org,,
MPEG-5,第五代视频编码标准,30.0,fps,10bit,高清晰度,16:09,2022-10-01,全球,MPEG,http://www.mpeg.org,,
Ultra-4K,超高清4K编码标准,48.0,fps,12bit,超高清晰度,21:09,2023-05-01,全球,国际高清视频标准组织,https://www.uhd.org,,
DVB-I,数字视频广播-互联网标准,60.0,fps,10bit,超高清晰度,16:09,2021-03-15,欧洲,DVB,https://www.dvb.org,,
H.275,高效视频编码 3,120.0,fps,12bit,超高清晰度,21:09,2024-08-30,全球,ITU-T,https://www.itu.int,,
PRIME,时域视频处理标准,60.0,fps,10bit,高清晰度,16:09,2023-02-01,全球,Adobe,https://www.adobe.com,,
CAVS-2,中国音视频标准 2.0,60.0,fps,10bit,超高清晰度,21:09,2022-12-20,中国,中国音频视频编码标准委员会,http://www.cavsc.org.cn,,
FSR,现场回放标准,30.0,fps,8bit,标准清晰度,4:03,2018-03-05,美国,NAB,https://www.nab.org,,
IMAX,IMAX高清标准,60.0,fps,12bit,超高清晰度,16:09,2022-09-09,全球,IMAX公司,https://www.imax.com,,
AVS3-2,视频编码标准 2.0,120.0,fps,12bit,超高清晰度,21:09,2021-01-15,中国,行业论坛,https://www.industryforum.cn,,
VVC,视频编码效率标准,120.0,fps,10bit,超高清晰度,21:09,2019-05-10,全球,Fraunhofer HHI,https://www.fraunhofer.de,,
HEVC-2,高效视频编码增强版,120.0,fps,12bit,超高清晰度,16:09,2022-04-01,全球,国际标准化组织,https://www.iso.org,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2020-03-01,全球,Alliance for Open Media,https://aomedia.org,,
EVC,增强视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2021-09-15,欧洲,ITU,https://www.itu.int,,
H.275,视频压缩新标准,60.0,fps,12bit,超高清晰度,21:09,2023-01-10,全球,ITU-T,https://www.itu.int/en/ITU-T,,
JPEG XS,超低延迟视频编码,240.0,fps,10bit,高动态范围,16:09,2022-06-01,全球,JPEG Committee,https://jpeg.org,,
VVC-2,高效视频编码2.0,120.0,fps,12bit,超高清晰度,21:09,2023-02-15,亚洲,国际标准化组织,https://www.iso.org,,
AVS-3D,超高清3D视频标准,60.0,fps,12bit,超高清晰度,21:09,2023-05-01,全球,中国电子技术标准化研究院,http://www.cesi.cn/,,
CBR,常量比特率视频标准,30.0,fps,10bit,标准清晰度,16:09,2020-12-01,全球,IEEE,https://www.ieee.org,,
XAVC,高清视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2014-06-01,全球,Sony,https://www.sony.com,,
IS-Video,以色列视频标准,60.0,fps,10bit,超高清晰度,21:09,2021-11-02,以色列,以色列标准协会,https://www.israelstandards.org,,
4K,4K视频传输标准,120.0,fps,10bit,超高清晰度,16:09,2015-07-01,全球,UHD联盟,https://www.uhdalliance.org,,
UHD-1,超高清显示标准,60.0,fps,12bit,超高清晰度,21:09,2018-10-10,全球,国际高清晰度电视联盟,https://www.hdtv.org,,
AVS3.1,下一代音视频标准,120.0,fps,10bit,超高清晰度,16:09,2023-08-15,中国,国家广播电视总局,http://www.sapprft.gov.cn/,,
H.266+,视频压缩标准增强版,120.0,fps,10bit,超高清晰度,16:09,2023-09-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de,,
HEVC 2.0,高效视频编码升级版,120.0,fps,12bit,超高清晰度,21:09,2023-01-01,全球,MPEG,http://www.mpeg.org,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-03-01,全球,Alliance for Open Media,https://aomediacodec.github.io/,,
VVC,超高清高效视频编码,120.0,fps,10bit,超高清晰度,21:09,2021-07-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
AVS3.1,中国视频编码最新标准,120.0,fps,12bit,超高清晰度,21:09,2022-05-01,中国,中国广播电视学会,http://www.cab.gov.cn/,,
ITU H.265,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-06-01,全球,ITU-T,https://www.itu.int,,
H.267,未来视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-11-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
EBU R 128,欧洲广播联盟对视频内容的标准,50.0,fps,10bit,高清视频,16:09,2017-03-15,欧洲,European Broadcasting Union,https://www.ebu.ch/home,,
JPEG XS,超低延迟图像编码,60.0,fps,12bit,超高清晰度,16:09,2020-02-01,全球,JPEG,https://jpeg.org,,
SRT,安全可靠传输,30.0,fps,10bit,高清晰度,16:09,2019-08-01,全球,SRT Alliance,https://srtalliance.org/,,
HLS,HTTP Live Streaming,60.0,fps,8bit,高清晰度,16:09,2015-12-01,全球,Apple,https://developer.apple.com/streaming/,,
VPL,视频处理语言标准,60.0,fps,8bit,标准清晰度,4:03,2021-04-01,全球,IEEE,https://www.ieee.org/,,
CAVLC,上下文自适应变长编码,30.0,fps,8bit,标准清晰度,4:03,2010-01-01,全球,ITU-T,https://www.itu.int,,
VST,视频服务传输标准,60.0,fps,10bit,超高清晰度,16:09,2019-05-01,全球,Broadband Forum,https://www.broadbandforum.org/,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,高清晰度,16:09,2016-11-10,全球,ITU-T,https://www.itu.int,,
MPEG-1,第一代视频压缩标准,30.0,fps,8bit,标准清晰度,4:03,1992-11-01,全球,MPEG,http://www.mpeg.org,,
NVIDIA NVENC,NVIDIA视频编码标准,60.0,fps,10bit,高清晰度,16:09,2021-06-01,全球,NVIDIA,https://www.nvidia.com/,,
AVS+,中国改进视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-08-01,中国,中国广播电视学会,http://www.cab.gov.cn/,,
AVS4,中国新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-05-01,中国,http://www.caict.ac.cn/,中国信息通信研究院,,
HEVC 2.0,高效视频编码更新标准,120.0,fps,12bit,超高清晰度,16:09,2023-03-01,全球,https://www.itu.int/en/ITU-T/Pages/default.aspx,ITU,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2018-07-01,全球,https://aomediacodec.org/,AOMedia,,
VP9,开源视频编码标准,60.0,fps,10bit,高清晰度,16:09,2016-05-01,全球,https://www.google.com/,Google,,
TM 2024,未来视频传输标准,120.0,fps,10bit,超高清晰度,16:09,2024-10-01,全球,https://www.ieee.org/,IEEE,,
NAB2023,2023 国家广播会议视频标准,30.0,fps,8bit,标准清晰度,4:3,2023-04-15,美国,https://www.nab.org/,国家广播协会,,
H.265,下一代视频编码,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,https://www.itu.int/en/ITU-T/Pages/default.aspx,ITU-T,,
H.263,视频会议标准,30.0,fps,8bit,标准清晰度,4:3,1996-12-01,全球,https://www.itu.int,ITU-T,,
MPEG-5,未来的视频压缩标准,60.0,fps,12bit,超高清晰度,16:09,2024-08-01,全球,https://mpeg.chiariglione.org/,MPEG,,
VVC,视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2020-10-01,全球,https://www.hhi.fraunhofer.de/,Fraunhofer HHI,,
RFC 8681,基于内容的自适应编码标准,30.0,fps,10bit,超高清晰度,16:09,2021-10-01,全球,https://www.ietf.org,IETF,,
SC 29,视频编解码标准,60.0,fps,10bit,超高清晰度,16:09,2022-12-01,全球,https://www.iso.org/,ISO/IEC,,
AOM B,自适应视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-01-01,全球,https://aomediacodec.org/,AOMedia,,
MPEG-2,视频压缩标准,30.0,fps,8bit,标准清晰度,4:3,1995-11-01,全球,https://mpeg.chiariglione.org/,MPEG,,
G.709,视频传输框架标准,60.0,fps,10bit,超高清晰度,16:09,2018-09-01,全球,https://www.itu.int,ITU-T,,
ITU-R BT.2020,高动态范围视频标准,60.0,fps,12bit,超高清晰度,21:09,2012-08-01,全球,https://www.itu.int/en/ITU-R/Pages/default.aspx,ITU-R,,
H.264,高级视频编码,60.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,https://www.itu.int,ITU-T,,
SMPTE ST 431,动态转码标准,60.0,fps,10bit,超高清晰度,16:09,2022-05-01,全球,https://www.smpte.org,SMPTE,,
H.265,高效视频编码（HEVC）,120.0,fps,10bit,超高清晰度,16:09,2014-04-01,全球,ITU-T,https://www.itu.int,,
VVC,Versatile Video Coding,120.0,fps,12bit,超高清晰度,21:09,2023-05-15,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/press-media/press-releases.html,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-03-01,全球,Alliance for Open Media,https://aomedia.org,,
ITU-T H.800,高清晰度视频编码,100.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,ITU-T,https://www.itu.int/en/ITU-T,,
JPEG XS,低延迟视频压缩标准,60.0,fps,11bit,超高清晰度,16:09,2021-06-15,全球,JPEG,https://jpeg.org,,
EVC,增强视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2021-07-01,欧盟,ETSI,https://www.etsi.org,,
SCTE 2110,IP视频传输标准,60.0,fps,10bit,超高清晰度,21:09,2020-08-20,全球,SCTE,https://www.scte.org,,
AVS3.1,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-01-01,中国,中国音视频工业技术标准委员会,http://www.avs.org.cn,,
HEVC 2.0,高效视频编码修订版,60.0,fps,10bit,超高清晰度,16:09,2024-03-10,全球,MPEG,http://www.mpeg.org,,
CAVLC,上下文自适应可变长编码,30.0,fps,8bit,标准清晰度,4:03,2006-11-11,全球,ITU-T,https://www.itu.int,,
VVC Main,可变视频编码主要标准,60.0,fps,12bit,超高清晰度,21:09,2023-08-01,全球,Fraunhofer HHI,https://www.fraunhofer.de,,
HEVC 1.5,高效视频编码1.5版本,120.0,fps,10bit,超高清晰度,16:09,2022-05-01,全球,MPEG,https://www.mpeg.org,,
RFC 5795,动态流媒体传输标准,30.0,fps,8bit,标准清晰度,4:03,2020-01-20,全球,IETF,https://www.ietf.org,,
IMF,国际媒体格式,60.0,fps,10bit,超高清晰度,16:09,2020-12-01,全球,SMPTE,https://www.smpte.org,,
MPEG-H,下一代音频与视频标准,60.0,fps,10bit,超高清晰度,16:09,2018-10-01,全球,MPEG,http://www.mpeg.org,,
G.711,语音编码标准,30.0,fps,8bit,标准清晰度,4:03,1999-02-01,全球,ITU-T,https://www.itu.int,,
AVS4,中国超高清视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-05-01,中国,中国通信标准化协会,http://www.ccsa.org.cn/,,
VP9,开放视频编码标准,60.0,fps,10bit,高清晰度,16:09,2013-09-01,全球,Google,https://www.google.com/,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,标准清晰度,16:09,2010-06-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
IMF,国际电影数字化标准,120.0,fps,10bit,超高清晰度,21:09,2021-01-01,全球,DCP标准组织,https://www.dcpmovie.com/,,
HEVC 1.2,高效视频编码第二版,120.0,fps,12bit,超高清晰度,21:09,2022-03-15,全球,MPEG,http://www.mpeg.org/,,
MC-HEVC,多通道高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2023-01-01,全球,ETSI,https://www.etsi.org/,,
AVS2.1,增强型中国音视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2022-08-01,中国,中国广播电视总局,http://www.nrta.gov.cn/,,
CAVS,中国音视频压缩标准,60.0,fps,10bit,超高清晰度,16:09,2016-12-01,中国,中国科学院,http://www.cas.cn/,,
EVC,增强视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2024-02-01,欧洲,ETSI,https://www.etsi.org/,,
LHEVC,低延迟高效视频编码,120.0,fps,10bit,超高清晰度,21:09,2023-09-01,全球,VideoLAN,https://www.videolan.org/,,
CNN-AVC,基于神经网络的音视频编码标准,30.0,fps,12bit,超高清晰度,16:09,2023-06-01,全球,IEEE,https://www.ieee.org/,,
OGC,开放图像编码标准,60.0,fps,12bit,超高清晰度,21:09,2024-05-01,全球,International Standards Organization,https://www.iso.org/,,
H.265+,增强H.265视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-11-15,全球,ITU-T,https://www.itu.int,,
XAVC,索尼高级视频编码,60.0,fps,10bit,超高清晰度,16:09,2015-08-01,全球,索尼公司,https://www.sony.com/,,
AV1,开放视频编码标准,30.0,fps,12bit,超高清晰度,16:09,2020-03-15,全球,Alliance for Open Media,https://aomedia.org/,,
CAVS 2.0,中国音视频标准2.0版,60.0,fps,10bit,超高清晰度,16:09,2023-04-01,中国,中国电子科技集团公司,http://www.cetc.com/,,
P2P-VCD,对等网络视频流标准,30.0,fps,8bit,标准清晰度,4:03,2023-07-20,全球,IEEE P2P Working Group,https://www.ieee.org/p2p/,,
J2K,JPEG 2000视频编码标准,30.0,fps,12bit,超高清晰度,16:09,2022-10-10,全球,JPEG标准组织,http://www.jpeg.org,,
VVC,视频编码标准VVC,120.0,fps,12bit,超高清晰度,21:9,2022-03-15,全球,国际标准化组织,https://www.iso.org,,
H.265,高效视频编码HEVC,60.0,fps,10bit,超高清晰度,16:9,2013-01-01,全球,ITU,https://www.itu.int/en/ITU-T/,,
HEVC2,高效视频编码第二版,120.0,fps,12bit,超高清晰度,21:9,2025-05-10,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
AVS4,第四代音视频编码标准,120.0,fps,12bit,超高清晰度,16:9,2022-10-15,中国,中国网络视听节目服务协会,https://www.nusv.org.cn/,,
H.267,视频压缩标准H.267,30.0,fps,10bit,超高清晰度,16:9,2024-01-20,全球,视频编码联盟,https://www.vcodex.org,,
AV1,开放视频编码标准AV1,60.0,fps,10bit,超高清晰度,16:9,2018-11-30,全球,Alliance for Open Media,https://aomedia.org,,
NGA2,下一代音视频标准第二版,90.0,fps,12bit,超高清晰度,21:9,2023-05-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
XAVC,XAVC视频编码标准,60.0,fps,12bit,超高清晰度,16:9,2014-09-01,全球,索尼技术,https://www.sony.net,,
HLS,HTTP Live Streaming标准,30.0,fps,10bit,高清晰度,16:9,2015-01-15,全球,Apple,https://developer.apple.com/streaming/,,
SMPTE ST 2110,专业视频传输标准SMPTE ST 2110,60.0,fps,10bit,超高清晰度,16:9,2019-06-01,全球,SMPTE,https://www.smpte.org,,
RFC 8750,下一代可伸缩视频编码,60.0,fps,10bit,超高清晰度,16:9,2022-11-01,全球,IETF,https://www.ietf.org,,
ITU-T H.264,视频编码标准H.264,30.0,fps,8bit,高清晰度,16:9,2005-05-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
JPEG XS,JPEG超低延迟标准,60.0,fps,10bit,高清晰度,16:9,2017-11-23,全球,JPEG组织,https://jpeg.org,,
VVC Plus,视频编码VVC Plus标准,120.0,fps,12bit,超高清晰度,21:9,2025-07-15,全球,MPEG,http://www.mpeg.org,,
MPEG-1,视频编码标准MPEG-1,30.0,fps,8bit,标准清晰度,4:3,1993-11-01,全球,MPEG,http://www.mpeg.org,,
H.262,视频编码标准H.262,30.0,fps,8bit,标准清晰度,4:3,1995-12-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
AVC,高级视频编码标准,60.0,fps,10bit,超高清晰度,21:9,2010-04-01,全球,ITU,https://www.itu.int/en/ITU-T/,,
AVS3.1,视频编码标准升级版,120.0,fps,12bit,超高清晰度,21:09,2023-01-15,中国,中国电子技术标准化研究院,http://www.cesi.cn/,,
AV1,AOMedia视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-09-01,全球,AOMedia,https://aomediacodec.org/,,
VVC,Versatile Video Coding,120.0,fps,10bit,超高清晰度,21:09,2021-07-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
H.265,高效率视频编码,60.0,fps,10bit,超高清晰度,16:9,2016-02-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
H.263,视频会议标准,30.0,fps,8bit,标准清晰度,4:3,1996-03-01,全球,ITU-T,https://www.itu.int,,
SMPTE 2022,专业视频伺服器标准,60.0,fps,10bit,超高清晰度,16:09,2019-10-15,全球,SMPTE,https://www.smpte.org,,
ITU-R BT.2020,宽色域视频标准,60.0,fps,10bit,超高清晰度,16:09,2012-07-01,全球,ITU-R,https://www.itu.int/en/ITU-R/,,
AVS3-P,中国超高清视频编码,120.0,fps,12bit,超高清晰度,21:09,2023-05-01,中国,中国信息通信研究院,http://www.caiot.org,,
SRT-Subtitle,实时传输标准,60.0,fps,8bit,高清晰度,16:09,2021-12-01,全球,SRT Alliance,https://srtalliance.org/,,
JPEG XS,视频压缩标准,60.0,fps,10bit,超高清晰度,4:3,2020-06-15,全球,JPEG,http://jpeg.org,,
ISO/IEC 23090,媒体内容的可扩展视频编码,60.0,fps,10bit,超高清晰度,16:09,2022-03-01,全球,ISO,https://www.iso.org,,
FPGA Video,基于FPGA的视频处理标准,120.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,FPGA Forum,https://www.fpga.org,,
MPEG-2,视频压缩与传输标准,30.0,fps,8bit,标准清晰度,4:3,1995-11-01,全球,MPEG,http://www.mpeg.org,,
HEVC 2.0,高效视频编码升级版,120.0,fps,12bit,超高清晰度,21:09,2023-02-01,全球,MPEG,http://www.mpeg.org,,
AVS2.1,中国音视频编码标准升级版,60.0,fps,10bit,超高清晰度,16:09,2023-04-15,中国,中国广播电视学会,http://www.cab.gov.cn/,,
AVS+,中国视频编码新标准,120.0,fps,12bit,超高清晰度,21:09,2023-07-01,中国,中国视音频协会,http://www.cvta.org.cn/,,
NVIDIA HEVC,NVIDIA优化的HEVC标准,60.0,fps,10bit,超高清晰度,16:09,2023-03-15,全球,NVIDIA,https://www.nvidia.com,,
HEVC-ULTRA,超高效视频编码,120.0,fps,12bit,超高清晰度,21:09,2023-05-01,全球,IEEE,https://www.ieee.org,,
AVS3-HDR,AVS3 高动态范围编码,120.0,fps,10bit,超高清晰度,21:09,2023-01-15,中国,中国音视频工作组,http://www.avs.org.cn,,
VVC-2.0,视频编码标准 2.0,60.0,fps,12bit,超高清晰度,16:09,2022-10-20,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en.html,,
SAMPLE-4K,4K视频标准,30.0,fps,10bit,高清晰度,16:09,2021-08-05,欧洲,European Broadcasting Union,https://www.ebu.ch,,
ISDB-T,日本地面数字电视广播标准,60.0,fps,10bit,高清晰度,16:09,2018-04-01,日本,日本国家广播协会,https://www.nhk.or.jp,,
AV1,下一代视频编码,60.0,fps,12bit,超高清晰度,21:09,2022-02-14,全球,Alliance for Open Media,https://aomedia.org,,
DVB-I,数字视频广播互联网标准,60.0,fps,8bit,高清晰度,16:09,2023-03-01,全球,DVB,https://www.dvb.org,,
