品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注
湿度计传感器,灵敏元件 + 数据处理器 + 显示模块,监测层、展示层,家居智能科技,集成式,智能家居技术论坛,https://www.smarthomeforum.com,,
停车场传感器,敏感元件 + 信号传输模块 + 数据处理单元,感知层、管理层,智能交通技术,模块式,智能交通研究院,https://www.smarttrafficinstitute.com,,
急救传感器,敏感元件 + 数据收集单元 + 通信模块,监测层、响应层,紧急医疗服务,集成式,急救医疗网络,https://www.emergencyservices.com,,
排水传感器,敏感元件 + 流量测量单元 + 数据输出模块,监测层、控制层,城市排水管理局,模块式,水务管理科技,https://www.watermanagementtech.com,,
离线数据采集传感器,敏感元件 + 存储单元 + 解析单元,数据采集层、处理层,工业自动化有限公司,集成式,工业4.0论坛,https://www.industry40forum.com,,
生物气体传感器,敏感元件 + 微处理器 + 数据接口,气体监测层、分析层,生物环保科技,模块式,绿色技术研究院,https://www.greenresearchinstitute.com,,
射频传感器,敏感元件 + 通信模块 + 处理器,感知层、通信层,无线电科技,集成式,无线电通讯研究所,https://www.radiocommunicationinstitute.com,,
可穿戴生理传感器,敏感元件 + 计算模块 + 通信单元,监测层、应用层,可穿戴设备科技,集成式,健康科技会议,https://www.healthtechconference.com,,
气体检测传感器,敏感元件 + 数据采集模块 + 通信接口,监测层、数据收集层,城市空气质量监测中心,集成式,城市环保局,https://www.cityenvironmental.com,,
运动监测传感器,敏感元件 + 算法处理器 + 通信模块,感知层、分析层、反馈层,智能运动科技,模块式,智能运动平台,https://www.smartfitness.com,,
光照传感器,光敏元件 + 数据处理单元,采集层、操作层,太阳能科技,集成式,太阳能行业协会,https://www.solarindustry.org,,
压力传感器,敏感元件 + 信号放大器 + 模拟输出,感知层、控制层、反馈层,工业自动化公司,模块式,控制系统期刊,https://www.controljournal.com,,
空气质量传感器,敏感元件 + 数据处理单元 + 云平台,监测层、数据传输层,环境监测科技,集成式,全球空气质量监测网,https://www.worldairqualitymonitor.com,,
智能烟雾传感器,敏感元件 + 警报系统 + 通信模块,安全层、警报层,防火科技有限公司,模块式,防灾科技网,https://www.firetech.com,,
智能无线传感器,无线模块 + 传感器技术 + 数据分析单元,传感层、数据分析层,移动通信技术研究所,集成式,通信系统期刊,https://www.commscience.org,,
土壤温度传感器,温度探测器 + 数据记录单元 + 通信接口,感知层、记录层,农业气象研究中心,模块式,农业科技网,http://www.agriculturetech.org,,
防水传感器,敏感元件 + 专用外壳 + 信号处理单元,环境适应层、信号输出层,水利工程科技,集成式,水利部,http://www.water.gov.cn,,
气象传感器,多种传感器组合 + 数据处理单元 + 报告生成模块,监测层、报告层,国家气象局,模块式,气象科学平台,https://www.nationalmeteorology.com,,
生物识别传感器,生物识别元件 + 加密处理单元,安全识别层、数据传输层,安防科技有限公司,集成式,安防行业报告,https://www.securitytech.com,,
RFID传感器,射频发射器 + 接收模块 + 数据库管理系统,识别层、数据存储层,物流追踪科技,集成式,物流行业平台,https://www.logisticsindustry.com,,
振动监测传感器,震动元件 + 信号处理模块 + 数据显示单元,数据采集层、监控层,智能制造公司,模块式,智能制造期刊,https://www.smartmanufacturing.org,,
火焰检测传感器,光敏元件 + 报警模块 + 通信单元,安全监测层、数据通讯层,消防安全研究所,集成式,消防科学平台,https://www.fireprotection.org,,
人体姿态传感器,姿态敏感元件 + 数据分析引擎,健康监测层、反馈层,健康科技创新中心,集成式,生物医学工程期刊,https://www.biomedengineering.com,,
智能温控传感器,温度探测器 + 控制模块 + 通信单元,控制层、反馈层,智能家居科技,模块式,智能家居市场报告,https://www.smart-home-report.com,,
声波传感器,声波敏感元件 + 信号处理单元 + 输出接口,采集层、处理层、输出层,声学科技有限公司,模块式,声学科学期刊,https://www.acousticscience.org,,
热释电传感器,热释元件 + 模拟信号处理器,检测层、输入层,热能科技公司,集成式,能源研究平台,https://www.energyresearch.com,,
气体传感器,敏感元件 + 模拟参考电路 + 通信模块,采集层、处理层、传输层,清华大学环境学院,模块式,清华大学研究论文,https://www.tsinghua.edu.cn,,
电流传感器,敏感元件 + 数字处理单元 + 输出接口,测量层、处理层、应用层,北京电力公司,集成式,电力技术期刊,https://www.electricityjournal.com,,
光学传感器,敏感元件 + DRAM + 处理电路,感知层、解析层、输出层,厦门光学科技有限公司,模块式,厦门科技局,http://www.xmtechnology.gov.cn,,
压力传感器,敏感元件 + 信号调理单元 + 數據傳輸接口,感知层、处理层、云层,上海交通大学,集成式,工程技术期刊,https://www.engineeringjournal.com,,
加速度传感器,敏感元件 + 集成电路 + 连接模块,采集层、信号处理层、输出层,北京航空航天大学,模块式,航空航天技术报告,https://www.buaa.edu.cn,,
电磁场传感器,敏感元件 + 放大器 + 数字化模块,实时层、处理层、应用层,浙江大学电气工程学院,集成式,电气工程期刊,https://www.zju.edu.cn,,
RFID传感器,敏感元件 + 读取器 + 通信接口,识别层、处理层、数据存储层,南京邮电大学,模块式,国际无线技术会议,https://www.njupt.edu.cn,,
火焰传感器,敏感元件 + 放大模块 + 微处理器,检测层、报警层、反应层,深圳消防安全研究中心,集成式,消防科技期刊,https://www.firetechjournal.com,,
流量传感器,敏感元件 + 校正单元 + 输出模块,传感层、处理层、输出层,南方大学,模块式,区域流体科技报告,https://www.southuniversity.edu,,
机器人传感器,敏感元件 + 陀螺仪 + 数据处理单元,感知层、决策层、执行层,横州机器人技术公司,集成式,机器人与自动化科学期刊,https://www.roboticsjournal.com,,
氧气传感器,敏感元件 + 信号处理单元 + 通信模块,监测层、处理层、应用层,青岛海洋大学,集成式,海洋科学与技术期刊,https://www.qdmu.edu.cn,,
定位传感器,敏感元件 + GPS模块 + 数据处理单元,定位层、处理层、应用层,沈阳理工大学,模块式,位置服务技术会议,https://www.sust.edu.cn,,
烟雾传感器,敏感元件 + 控制模块 + 报警单元,检测层、响应层、警示层,安徽省消防研究所,集成式,消防安全期刊,http://www.ahfire.gov.cn,,
无线传感器网络,多个传感器 + 能量收集装置 + 数据融合单元,收集层、传输层、处理层,香港科技大学,集成式,无线网络与通信技术赛,https://www.ust.hk,,
电池监测传感器,敏感元件 + 数据采集单元 + 输出接口,监测层、处理层、输出层,中科院电池研究所,集成式,电池与储能技术期刊,https://www.iapcm.ac.cn,,
智能家用传感器,敏感元件 + 处理单元 + 云服务接口,识别层、处理层、服务层,中兴通讯,模块式,智能家居展览会,https://www.zte.com.cn,,
多功能传感器,传感元件 + 电源管理 + 数据处理单元,感知层、分析层、应用层,东南大学,集成式,智能科技创新论坛,https://www.seu.edu.cn,,
气体传感器,敏感元件 + 测量模块 + 数据传输单元,采集层、分析层、输出层,南方环境工程,集成式,南方科技研究所,https://www.nanjingep.com,,
红外传感器,敏感元件 + 处理器 + 通信模块,探测层、信号处理层,北极光技术,模块式,智能家居技术,https://www.smart-home-tech.com,,
气压传感器,敏感元件 + 信号调理单元 + 输出模块,传感层、处理层,气象科技,集成式,气象信息网,https://www.weathertech.org,,
热流传感器,敏感元件 + 温度传感器 + 数据接口,感知层、应用层,能源效率公司,模块式,能源科学期刊,https://www.energyscience.com,,
光照传感器,敏感元件 + 信号处理单元 + 通信模块,感知层、输出层,绿色能源科技,集成式,可再生能源中心,https://www.renewableenergy.org,,
频率传感器,敏感元件 + 数据采集电路 + 储存模块,监测层、分析层,信号处理研究所,模块式,信号处理杂志,https://www.signalprocessingjournal.com,,
电流传感器,敏感元件 + 电路调理单元 + 输出接口,传感层、处理层,电能监测科技,集成式,电能监测中心,http://www.powermonitoring.org,,
运动传感器,敏感元件 + 加速度计 + 数据处理单元,感知层、控制层,智能运动技术,集成式,运动科技杂志,https://www.sportstechjournal.com,,
位置传感器,敏感元件 + GPS模块 + 处理单元,定位层、监控层,地理信息科技,模块式,地理信息协会,https://www.geoinfo.com,,
光纤传感器,敏感元件 + 数据调理电路 + 通信接口,感知层、传输层,光纤技术研究中心,集成式,光纤通信网,http://www.opticalfibertech.com,,
热传导传感器,敏感元件 + 热电偶 + 数据处理模块,监测层、分析层,热力科技公司,模块式,热力学期刊,https://www.thermodynamicjournal.com,,
湿气传感器,敏感元件 + 数据处理单元 + 输出模块,采集层、应用层,气候适应技术,集成式,气候监测协会,https://www.climatemonitor.org,,
脉冲传感器,敏感元件 + 数字处理器 + 传输模块,传感层、监控层,生物机械研究中心,集成式,生物工程期刊,https://www.biomechjournal.com,,
震动传感器,敏感元件 + 模拟信号处理单元 + 通讯接口,检测层、分析层,建筑安全技术,集成式,建筑安全杂志,https://www.buildingsafetyjournal.com,,
超声波传感器,敏感元件 + 信号调理器 + 处理单元,感知层、控制层,声学研究所,模块式,声学科技平台,https://www.acoustic-tech.com,,
水流传感器,敏感元件 + 流量计 + 数据接口,监测层、分析层,水资源科技,集成式,水利科技期刊,https://www.hydraulictechjournal.com,,
交互传感器,敏感元件 + 处理模块 + 接口电路,用户层、响应层,智能互联科技,集成式,智能设备新闻网,https://www.smartdevicesnews.com,,
环境监测传感器,敏感元件 + 多传感器集成 + 数据处理,综合层、应用层,生态保护组织,模块式,生态科技期刊,https://www.ecotechnologymag.com,,
气体传感器,敏感元件 + 信号调理单元 + 数据接口,探测层、数据处理层,清新环境科技,集成式,气体检测平台,https://www.gasdetection.com,,
光照传感器,敏感元件 + 转换电路 + 显示模块,感知层、展现层,智能农业科技,模块式,智能农业平台,https://www.smartagriculture.org,,
压力传感器,敏感元件 + 信号调理单元 + 数据传输模块,感知层、处理层、传输层,先进传感器技术公司,集成式,机械设计杂志,https://www.mechanicaldesignmag.com,,
