试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
空间站生命保障系统测试,京公网安备11010802567890号,GB/T 76558,空间生命保障系统,支持系统,进行中,第二阶段,系统验证,宋兰,生命科学研究所,空间研究中心,2023-09-25,2023-10-01,待定,2023-10-05,京公网安备11010802567890号,930875,科研项目,生命科技有限公司,实验室数据,中国,生活科技网,http://www.lifescience.com/,2024-10-09,
气动热管理系统研究实验,京公网安备11010802678901号,GB/T 87654,热管理系统,系统测试,完成,第一阶段,技术测试,任杰,航天材料科学研究院,综合测试实验室,2023-07-22,2023-08-15,2023-09-10,2023-09-15,京公网安备11010802678901号,930875,科研项目,热管理科技有限公司,实验室记录,中国,航天科技网,http://www.aviationtech.com/,2024-10-09,
低轨道卫星通信系统测试,京公网安备11010802789012号,GB/T 78121,低轨通信卫星,通信系统,正在进行,第一阶段,性能验证,张强,通信研究所,国家航天局,2023-03-15,2023-04-20,待定,2023-05-05,京公网安备11010802789012号,930875,科研项目,通信科技有限公司,现场测试数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
轨道空间天文望远镜校准实验,京公网安备11010802890123号,GB/T 81212,空间望远镜系统,观测系统,完成,第三阶段,科学探测,李华,天文研究中心,国家天文台,2023-04-01,2023-05-10,2023-05-30,2023-06-01,京公网安备11010802890123号,930875,科研项目,空间观测公司,数据处理结果,中国,中国科学网,https://www.sciencenet.cn,2024-10-09,
近地小行星探测技术实验,京公网安备11010802901234号,GB/T 67812,小行星探测器,探测器,完成,第二阶段,技术验证,王磊,航天探索研究所,宇宙探测公司,2023-05-01,2023-06-15,2023-07-05,2023-07-10,京公网安备11010802901234号,930875,项目申报,宇航科技公司,实验数据整合,中国,航天科技网,https://www.space.gov.cn,2024-10-09,
空间碎片监测系统实验,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",GB/T 17255,空间碎片监测卫星,监测系统,正在进行,第一阶段,环境监测,于晨,太空环境研究所,国家卫星中心,2023-06-01,2023-07-01,待定,2023-07-10,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",930875,项目申报,环境科技公司,监测数据收集,中国,中国航天报,http://www.spaceview.com.cn,2024-10-09,
月球表面探测仪技术实验,京公网安备11010802045678号,GB/T 83765,月球探测器,探测器,完成,第六阶段,科学实验,杨柳,月球科学研究中心,国家航天实验室,2023-07-20,2023-08-15,2023-09-05,2023-09-10,京公网安备11010802045678号,930875,科研项目,国际航天公司,外部科研数据,中国,中国航天新闻网,https://www.casc.cn,2024-10-09,
新型无人机气动测试,京公网安备11010802098765号,GB/T 03789,高空侦察无人机,无人机系统,正在进行,第一阶段,性能测试,赵强,无人机研发中心,国家无人机实验室,2023-09-01,2023-09-15,2023-12-01,2023-10-01,京公网安备11010802098765号,930875,科研项目,未来无人技术有限公司,实验室数据,中国,中国航空网,http://www.aviation.com.cn,2024-10-09,
空间站模块稳定性测试,京公网安备11010802123456号,GB/T 67891,天宫空间站,空间站,完成,第二阶段,稳定性测试,于刚,空间科学研究院,航天稳定性中心,2023-09-05,2023-10-01,2023-10-20,2023-10-25,京公网安备11010802123456号,930875,项目申报,航天工程公司,实地测试数据,中国,中华人民共和国航天局,http://www.cnsa.gov.cn,2024-10-09,
小型卫星轨道监测实验,京公网安备11010802011223号,GB/T 78121,遥感小卫星,卫星系统,正在进行,第一阶段,数据采集,李华,卫星应用研究所,国家卫星监测中心,2023-09-10,2023-09-20,待定,2024-01-15,京公网安备11010802011223号,930875,科研项目,宇宙科技发展有限公司,遥感数据,中国,航天技术网,http://www.space-tech.cn,2024-10-09,
高精度导航系统验证,京公网安备11010802076543号,GB/T 89101,高精度导航系统,导航系统,完成,第二阶段,技术验证,王军,航天导航研究所,国家导航实验室,2023-09-15,2023-10-05,2023-11-30,2023-12-02,京公网安备11010802076543号,930875,科研项目,导航科技有限公司,实验室测试数据,中国,航天科技新闻,http://www.aerospace-news.cn,2024-10-09,
深空探测样本分析实验,京公网安备11010802034567号,GB/T 58970,深空探测器,探测系统,正在进行,第三阶段,样本分析,刘晨,深空科学研究院,国家深空实验室,2023-09-20,2023-10-15,待定,2024-02-01,京公网安备11010802034567号,930875,项目申报,深空科技有限公司,科学实验数据,中国,科学日报,https://www.science-daily.cn,2024-10-09,
超高温材料耐热性能测试,京公网安备11010802067890号,GB/T 83765,高温材料,材料实验,完成,第一阶段,性能测试,孙秀,材料科学研究所,国家材料试验中心,2023-09-25,2023-10-10,2023-10-30,2023-11-02,京公网安备11010802067890号,930875,科研项目,新材料科技有限公司,实验室数据,中国,材料科技网,http://www.materials-tech.cn,2024-10-09,
电磁干扰防护技术研究,京公网安备11010802043210号,GB/T 17249,电磁干扰防护系统,防护系统,正在进行,第二阶段,技术研究,赵丽,电磁兼容研究所,国家防护技术研究院,2023-10-01,2023-10-20,待定,2024-03-15,京公网安备11010802043210号,930875,项目申报,电磁科技有限公司,实地实验数据,中国,防护技术网,http://www.emc-tech.cn,2024-10-09,
太空通信系统性能测试,京公网安备11010802011111号,GB/T 72478,太空通信卫星,通信系统,完成,第三阶段,系统测试,郭强,太空通信研究所,国家通信技术实验室,2023-10-05,2023-10-25,2023-11-20,2023-11-22,京公网安备11010802011111号,930875,科研项目,太空科技股份有限公司,实验室数据,中国,科技网,http://www.technews.cn,2024-10-09,
空间环境适应性测试,京公网安备11010802022222号,GB/T 03700,空间探测器,探测系统,正在进行,第一阶段,适应性测试,林杰,空间适应性研究院,国家环境模拟实验室,2023-10-10,2023-10-20,待定,2024-04-05,京公网安备11010802022222号,930875,项目申报,环境科技公司,模拟环境测试数据,中国,环境科学网,http://www.environment-science.cn,2024-10-09,
太空环境影响下的材料强度测试,京公网安备11010802032367号,GB/T 03789,空间材料试验平台,实验平台,正在进行,第一阶段,材料测试,周健,航天材料研究中心,国家航天实验室,2023-09-01,2023-09-15,待定,2023-09-30,京公网安备11010802032367号,930875,科研项目,空间科技公司,实验室数据,中国,科学网,,2024-10-09,
火星探测器气候适应性实验,京公网安备11010802032368号,GB/T 67891,火星环境模拟器,模拟系统,完成,第二阶段,环境适应性测试,张晴,火星探测研究所,航天科技公司,2023-10-05,2023-10-10,2023-10-25,2023-10-30,京公网安备11010802032368号,930875,项目申报,火星科技有限公司,实地测试数据,中国,航空航天日报,,2024-10-09,
低轨卫星通信实验,京公网安备11010802032369号,GB/T 78121,LEO卫星通信系统,通信系统,正在进行,第一阶段,技术验证,韩梅,卫星通信中心,国家通信实验室,2023-11-12,2023-11-20,待定,2023-11-25,京公网安备11010802032369号,930875,科研项目,卫星科技公司,实验室数据,中国,科技日报,,2024-10-09,
超高空飞行载荷测试,京公网安备11010802032370号,GB/T 81212,高空飞行器,实验系统,完成,第二阶段,性能测试,郑亮,超高空技术研究中心,国家航天实验室,2023-12-01,2023-12-10,2023-12-20,2023-12-25,京公网安备11010802032370号,930875,项目申报,飞行科技有限公司,实验室数据,中国,网信科技,,2024-10-09,
深空探测器多传感器融合实验,京公网安备11010802032371号,GB/T 12172,传感器融合系统,探测系统,正在进行,第一阶段,技术验证,郭刚,深空探测技术中心,国家科学院,2023-12-15,2023-12-20,待定,2024-01-05,京公网安备11010802032371号,930875,科研项目,深空科技技术有限公司,测试记录数据,中国,科研动态,,2024-10-09,
空间探测通信技术试验,京公网安备11010802032372号,GB/T 17281,空间通信网络,通信系统,完成,第三阶段,技术测试,刘宇,空间通信实验室,国家通信研究中心,2024-01-01,2024-01-15,2024-01-30,2024-02-01,京公网安备11010802032372号,930875,项目申报,通信科技公司,实地测试数据,中国,中国科学报,,2024-10-09,
高超声速飞行器控制系统测试,京公网安备11010802032373号,GB/T 72457,高超声速控制系统,控制系统,正在进行,第一阶段,控制测试,蒋天,航空器实验室,国家高科技实验室,2024-02-01,2024-02-10,待定,2024-02-20,京公网安备11010802032373号,930875,科研项目,高超声速科技公司,实验室数据,中国,科技网,,2024-10-09,
空间碎片监测技术实验,京公网安备11010802032374号,GB/T 34038,空间碎片监测系统,监测系统,完成,第三阶段,监测测试,王雷,航天环境监测中心,国家航天局,2024-03-05,2024-03-10,2024-03-25,2024-03-30,京公网安备11010802032374号,930875,项目申报,监测科技公司,实地测试数据,中国,航天动态,,2024-10-09,
月球探测车操作系统测试,京公网安备11010802032375号,GB/T 40379,月球探测系统,探测系统,完成,第一阶段,系统验证,马云,月球探测研究院,国家航天局,2024-04-01,2024-04-10,2024-04-30,2024-05-01,京公网安备11010802032375号,930875,科研项目,月球科技公司,专家评估数据,中国,科技日报,,2024-10-09,
月球基地通信系统测试,京公网安备11010802032376号,GB/T 78121,月球通信网络,通信系统,完成,第一阶段,系统测试,赵强,月球探索部,国家航天局,2023-06-15,2023-07-01,2023-07-20,2023-07-25,京公网安备11010802032376号,930875,工程项目,宇航通信有限公司,现场测试数据,中国,中国航天新闻网,,2024-10-09,
地面超快速飞行器实验,京公网安备11010802032477号,GB/T 81212,超高速气动测试模块,实验系统,正在进行,第二阶段,性能分析,王静,高速飞行实验中心,国家气动测试中心,2023-08-10,2023-09-01,待定,2024-02-05,京公网安备11010802032477号,930875,科研项目,飞行科技研究所,实时数据监测,中国,航天科技论坛,,2024-10-09,
火星探测器自适应控制研究,京公网安备11010802032588号,GB/T 17267,火星探测自适应系统,导航系统,完成,第三阶段,技术验证,李娜,火星探索研究所,深空实验室,2023-09-12,2023-10-01,2023-10-15,2023-10-20,京公网安备11010802032588号,930875,项目申报,火星科技有限公司,研究数据,中国,天文网,,2024-10-09,
空间站供应链测试实验,京公网安备11010802032699号,GB/T 34589,空间站供应链管理系统,管理系统,正在进行,第二阶段,系统集成,于刚,空间站建设处,空间应用研究所,2023-10-05,2023-10-20,待定,2024-01-05,京公网安备11010802032699号,930875,项目申报,空间开发科技公司,项目调研数据,中国,太空报道,,2024-10-09,
新型推进系统性能评估,京公网安备11010802032710号,GB/T 67812,等离子体推进系统,动力系统,完成,第一阶段,性能测试,孙洁,航天推进研究中心,国家航天技术研究院,2023-10-15,2023-11-01,2023-11-15,2023-11-20,京公网安备11010802032710号,930875,科研项目,航天推进科技有限公司,实时监测记录,中国,航天时报,,2024-10-09,
无人机空中监测技术验证,京公网安备11010802032821号,GB/T 78972,智能无人机监测系统,无人机系统,完成,第三阶段,系统验证,高山,无人机技术研究所,国家无人机检测中心,2023-10-22,2023-11-15,2023-11-30,2023-12-01,京公网安备11010802032821号,930875,项目申报,智能无人机科技公司,实验室数据,中国,无人机世界,,2024-10-09,
空间环境下材料老化测试,京公网安备11010802032932号,GB/T 40312,空间材料试验舱,实验舱,正在进行,第二阶段,材料测试,周丽,材料科学研究所,国家空间实验室,2023-11-02,2023-11-10,待定,待定,京公网安备11010802032932号,930875,科研项目,材料科技有限公司,实验室记录,中国,科技日报,,2024-10-09,
量子通信技术实验验证,京公网安备11010802033043号,GB/T 36837,量子通信网络系统,通信系统,完成,第一阶段,技术验证,林华,量子通信研究室,国家量子技术实验室,2023-11-15,2023-12-01,2023-12-15,2023-12-20,京公网安备11010802033043号,930875,科研项目,量子科技有限公司,实验室数据,中国,量子前沿,,2024-10-09,
太空电力系统设计实验,京公网安备11010802033154号,GB/T 72489,太空电力管理系统,电力系统,正在进行,第三阶段,系统测试,马详细,航天电力研究院,国家电力测试中心,2023-11-20,2023-12-01,待定,待定,京公网安备11010802033154号,930875,科研项目,电力科技有限公司,初步研究数据,中国,航天电力新闻,,2024-10-09,
