激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
光纤激光器,1050 nm,28-38%,6000,W,1.5,良好,良好,优秀,金属、塑料,高,中型,每年,较高,便捷,5000,小时,国际光电科技协会,https://www.optronics.org,2024-09-25,,
半导体激光器,780-1200 nm,45-55%,700,W,1.6,优良,优秀,良好,高强度合金、金属,高,大型,每年,高,便捷,12000,小时,欧洲激光器创新中心,https://www.european-laser-innovation.org,2024-09-25,,
UV激光器,355 nm,25%-30%,1000,W,1.2,优良,良好,较好,金属、塑料,中,小型,每六个月,较低,非常便捷,8000,小时,华南理工大学,https://www.scut.edu.cn,2024-09-25,,
青绿激光器,515 nm,20%-25%,300,W,1.1,优良,优秀,良好,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,8000,小时,中国激光技术发展中心,http://www.cltdc.gov.cn,2024-09-25,,
钛宝石激光器,700-1000 nm,15%-20%,500,W,1.6,良好,中等,优秀,金属、塑料,高,中型,每年,中等,便捷,7000,小时,华中科技大学激光研究中心,http://www.hust.edu.cn,2024-09-25,,
可调谐激光器,1500-1600 nm,10%-15%,600,W,>2.0,一般,较差,一般,表面处理、打标,低,微型,每季度,高,较便捷,25000,小时,现代激光协作论坛,http://www.modernlaserforum.com,2024-09-25,,
直接调制激光器,1310 nm,25%-35%,300,W,1.3,优良,良好,优良,金属、非金属,中,小型,每年,中等,非凡便捷,10000,小时,国际激光技术协会,http://www.lasertechnology.org,2024-09-25,,
碳化硅激光器,400 nm,35-45%,750,W,1.4,良好,优秀,优良,非金属,中,小型,每年,中,便捷,5000,小时,激光未来技术中心,http://www.laserfuturetech.com,2024-09-25,,
青铜激光器,850 nm,15-25%,1200,W,<1.5,优良,优秀,优秀,金属、陶瓷、聚合物,高,中型,每年,较高,便捷,12000,小时,中国激光产业协会,http://www.clia.cn,2024-09-25,,
氧化铝激光器,532 nm,25-35%,1000,W,1.9,一般,优良,良好,金属、塑料,中,大型,每年,中等,较便捷,15000,小时,中国激光应用技术研究所,http://www.clatrs.cn,2024-09-25,,
纳米激光器,460 nm,50-60%,1500,W,2,优良,良好,一般,金属、非金属,中,大型,每年,较低,便捷,6000,小时,激光技术优秀研究机构,http://www.lasertech.gov,2024-09-25,,
固态激光器,1064 nm,18-25%,5000,W,1.2,优良,优秀,优秀,金属、陶瓷,高,中型,每年,较高,非常便捷,9500,小时,激光设备制造协会,http://www.laserdevices.org,2024-09-25,,
紫外激光器,355 nm,10-15%,800,W,<1.2,优良,优秀,良好,金属、陶瓷,高,小型,每年,中等,非常便捷,25000,小时,电子行业协会,https://www.electronics.org,2024-09-25,,
激光二极管,780 nm,35-45%,300,W,1.1,良好,良好,优秀,塑料、金属,中,中型,每年,中等,较便捷,15000,小时,激光产业研究所,https://www.laserresearch.org,2024-09-25,,
薄膜激光器,650 nm,20-30%,2000,W,>1.7,一般,优秀,良好,薄膜、金属镀层,低,小型,每半年,较低,便利,10000,小时,中国激光技术发展中心,https://www.chinalaser.org,2024-09-25,,
激光增材制造系统,1070 nm,25-35%,5000,W,1.4,优良,中等,优秀,金属、塑料、纸张,中,大型,每年,较高,较便捷,12000,小时,全球激光公司,https://www.globalslasers.com,2024-09-25,,
YAG激光器,1050 nm,25-35%,1500,W,1,优秀,中等,良好,金属、陶瓷、塑料,高,中型,每年,中等,非常便捷,18000,小时,激光与光电子技术会,https://www.laserandphotonics.org,2024-09-25,,
CO2激光器,10.2 µm,9-11%,1200,W,>2.0,一般,较差,良好,生物组织,低,小型,每年,中等,便捷,7000,小时,国家医学研究院,https://www.nih.gov,2024-09-25,,
半导体激光器,850 nm,42-52%,700,W,1.5,良好,优秀,优秀,塑料、金属、陶瓷,中,大型,每年,较高,便利,15000,小时,材料科学与工程学院,https://www.materials.org,2024-09-25,,
光纤激光器,1090 nm,28-38%,4000,W,1.3,优良,议良好,中等,生物组织、塑料,低,小型,每半年,较低,非常便捷,5000,小时,全国医疗器械协会,https://www.nmpa.gov.cn,2024-09-25,,
YAG激光器,1047 nm,22-32%,2500,W,<1.0,优秀,优秀,优秀,金属、陶瓷、複合材料,高,中型,每年,较高,非常便捷,20000,小时,激光先锋研发中心,https://www.laserpioneer.com,2024-09-25,,
CO2激光器,10.3 µm,8-9%,1500,W,<1.4,优秀,优秀,优秀,金属、塑料、玻璃,高,中型,每年,中等,非常便捷,18000,小时,中国激光用户协会,https://www.clua.org.cn,2024-09-25,,
半导体激光器,780 nm,40-50%,400,W,1.6,良好,中等,较好,木材、塑料、纸张,低,大型,每年,中等,较便捷,7000,小时,国际激光工程协会,https://www.ile.org.cn,2024-09-25,,
光纤激光器,1064 nm,32-42%,6000,W,1.3,良好,优秀,较好,金属、陶瓷,中,中型,每年,中等偏高,便捷,12000,小时,制造业研究中心,https://www.mfgres.org,2024-09-25,,
青铜激光器,450 nm,25-35%,1800,W,>2.0,一般,较差,良好,电子元件、打标,中,小型,每半年,较高,非常便捷,35000,小时,全国半导体激光器学会,https://www.semi.org.cn,2024-09-25,,
二氧化碳激光器,10.3 µm,8-12%,2500,W,1.1,优良,优秀,中等,塑料、电子材料,中,中型,每年,中等,较便捷,10000,小时,中国激光应用技术研究院,https://www.claser.org,2024-09-25,,
单模光纤激光器,1070 nm,40-50%,2000,W,1.2,良好,优秀,优秀,金属、木材、陶瓷,高,中型,每年,较高,便捷,15000,小时,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-25,,
高功率氦氖激光器,633 nm,5-7%,300,W,1.4,优良,中等,良好,金属、塑料、复合材料,中,中型,每年,中等,较便捷,12000,小时,中国市场监管总局,https://www.samr.gov.cn,2024-09-25,,
量子点激光器,980 nm,30-40%,1500,W,<1.2,优良,优秀,优秀,金属、木材、塑料,高,大型,每年,较高,便捷,25000,小时,中国激光与光电技术协会,https://www.clpo.org.cn,2024-09-25,,
激光二极管,808 nm,50-60%,100,W,1,优良,优秀,一般,半导体材料,中,大型,每年,非常高,不便捷,5000,小时,国家半导体激光技术研究中心,https://www.isec.gov.cn,2024-09-25,,
液体激光器,700-900 nm,20-35%,1200,W,1.4,优良,良好,优秀,金属、玻璃、陶瓷,中,中型,每年,中等,较便捷,12000,小时,中国激光研究院,http://www.clri.cn,2024-09-25,,
碳化硅激光器,1.5 µm,30-35%,2500,W,<1.2,优良,优秀,良好,金属、塑料、木材,高,小型,每半年,较低,非常便捷,15000,小时,激光制造技术协会,http://www.lasertech.org,2024-09-25,,
泵浦激光器,532 nm,50-60%,800,W,1.6,一般,中等,优秀,金属切割、打标,中,大型,每年,较高,较便捷,8000,小时,电子技术应用杂志,http://www.electronictechapp.com,2024-09-25,,
新型固态激光器,1030 nm,25-35%,5000,W,1.3,优良,优秀,良好,塑料、复合材料、金属,高,小型,每半年,较低,非常便捷,10000,小时,中国科学院,http://www.cas.cn,2024-09-25,,
激光二极管,780-1550 nm,30-45%,200,W,1.5,良好,良好,普通,塑料、薄膜、陶瓷,低,中型,每年,中等,较便捷,7500,小时,中国光学学会,http://www.cso.org.cn,2024-09-25,,
绿光激光器,520 nm,20-30%,1200,W,>2,一般,差,不佳,表面处理、铝合金打标,中,小型,每半年,高,一般,5000,小时,国家科学技术委员会,http://www.most.gov.cn,2024-09-25,,
激光切割机,1064 nm,25-35%,4000,W,1.1,优良,中等,优秀,金属、塑料、复合材料,高,中型,每年,较高,较便利,9500,小时,国家光电器材质量监督检测中心,http://www.nqmqc.gov.cn,2024-09-25,,
超短脉冲激光器,400 nm,30-50%,600,W,1.8,良好,优秀,良好,重金属、塑料,中,大型,每年,高,较便捷,6000,小时,中国机械工业联合会,http://www.cmif.org.cn,2024-09-25,,
青色激光器,450 nm,20-30%,300,W,1,优良,良好,普通,纸张、布料,低,小型,每半年,低,非常便捷,10000,小时,中国印刷技术协会,http://www.cpta.org.cn,2024-09-25,,
YAG激光器,1064 nm,18%-25%,2500,W,<1.3,优良,优秀,优良,金属、塑料、薄膜,高,中型,每年,中等,非常便捷,12000,小时,国家自然科学基金委,http://www.nsfc.gov.cn,2024-09-25,,
半导体激光器,980 nm,45%-55%,600,W,<2.0,良好,优秀,优秀,塑料、金属薄板,中,中型,每年,中等,较便捷,15000,小时,国家激光产业技术创新战略联盟,https://www.clia.org.cn,2024-09-25,,
紫外激光器,355 nm,20%-30%,800,W,1.8,优良,良好,中等,塑料、玻璃,低,小型,每半年,较高,非常便捷,25000,小时,中国科学院激光技术研究所,https://www.laser.institutes.cn,2024-09-25,,
可调激光器,500-600 nm,25%-35%,400,W,<1.2,优良,优良,优秀,金属、复合材料,高,大型,每年,中等,较便捷,15000,小时,国际激光工程学会,https://www.ilele.net,2024-09-25,,
超短脉冲激光器,800 nm,15%-20%,250,W,>2.0,一般,较差,中等,金属、合金,中,小型,每五年,较高,较便捷,10000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
碳纤维激光器,1064 nm,22%-27%,1500,W,1.4,优良,优秀,良好,金属、陶瓷,中,大型,每年,中等,较便捷,18000,小时,中国机电工程学会,https://www.cema.org.cn,2024-09-25,,
高功率激光器,1080 nm,40%-50%,10000,W,1.3,优良,优秀,优良,金属、塑料,高,中型,每年,中等,非常便捷,16000,小时,中国制造业协会,https://www.cmia.org.cn,2024-09-25,,
激光增材制造系统,1080 nm,30%-35%,5000,W,1.6,一般,较差,良好,金属、塑料、木材,中,小型,每半年,较高,便捷,8000,小时,深圳市激光行业协会,https://www.szlaser.org,2024-09-25,,
CO2激光器,10.6 µm,12%-15%,1200,W,>2.0,一般,较差,较差,表面处理、打标,低,小型,每六个月,较高,便捷,5000,小时,光电技术杂志,https://www.optechmag.com,2024-09-25,,
半导体激光器,750-850 nm,42%-52%,800,W,2.2,一般,差,差,打标、雕刻,中,小型,每两年,较高,便捷,6000,小时,北京激光技术研究院,https://www.bjlaser.ac.cn,2024-09-25,,
佳能多波长激光器,"532 nm, 1064 nm",25%-35%,1500,W,<1.3,优秀,优秀,良好,金属、塑料,高,中型,每年,中等,便捷,15000,小时,国际激光设备制造商协会,https://www.ilma.org,2024-09-25,,
镓氮激光器,405 nm,20%-30%,600,W,1.4,良好,优秀,优秀,金属、合金,中,大型,每两年,较高,较便捷,8000,小时,塑料和材料科学月刊,https://www.plasticsjournal.com,2024-09-25,,
钕激光器,1064 nm,18%-28%,1800,W,1.8,中等,良好,中等,纸张、木材、塑料,低,大型,每年,中等,较便捷,10000,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
钙钛矿激光器,850 nm,30%-40%,1200,W,1.6,良好,中等,优秀,打标、表面处理,中,小型,每半年,较高,非常便捷,25000,小时,中国电子信息产业协会,https://www.caeit.org,2024-09-25,,
碳氟化合物激光器,10.59 µm,10%-12%,2000,W,<1.25,优良,优秀,良好,金属、陶瓷,高,中型,每年,较低,非常便捷,30000,小时,中国激光器技术协会,https://www.clta.org.cn,2024-09-25,,
脉冲激光器,532 nm,25-35%,1500,W,1.5,良好,良好,优秀,钢、铝,高,大型,每年,较高,较便捷,9000,小时,激光与光电子技术研究院,https://www.laser-research.com.cn,2024-09-25,,
超短脉冲激光器,800 nm,38-45%,2500,W,1.6,优良,优秀,一般,非金属、木材,中,大型,每年,中等,便捷,12000,小时,国家激光技术中心,https://www.nationallaser.com,2024-09-25,,
高功率二极管激光器,915 nm,45-55%,4000,W,>1.8,一般,较差,良好,电子元件、打标,中,小型,每半年,较高,便捷,35000,小时,国家半导体技术研究院,https://www.nstc.org.cn,2024-09-25,,
氩气激光器,488 nm,10-15%,700,W,<1.4,优良,优秀,优秀,金属、合成材料,高,小型,每年,中等,非常便捷,25000,小时,中国激光技术研究中心,https://www.cltrc.org.cn,2024-09-25,,
波长可调激光器,620-640 nm,20-30%,1000,W,1.4,良好,优秀,优秀,塑料、玻璃,中,中型,每年,中等,较便捷,8000,小时,光电子技术研究院,https://www.ecoe.gov.cn,2024-09-25,,
固态激光器,1064 nm,15-25%,1200,W,2,一般,中等,优良,金属、陶瓷,高,小型,每年,较低,便捷,6000,小时,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,
高功率光纤激光器,1070 nm,45-60%,6000,W,1.8,优良,较差,良好,纸张、塑料,低,小型,每半年,较高,非常便捷,25000,小时,中国激光杂志社,https://www.laserjournal.cn,2024-09-25,,
超高功率激光器,1.06 µm,35-50%,10000,W,1.7,优良,良好,良好,金属、树脂,中,大型,每年,较高,便捷,7500,小时,工业激光技术研发中心,https://www.iltc.cn,2024-09-25,,
波长可调激光器,800-1200 nm,25-35%,1500,W,<1.0,优秀,优良,优秀,生物材料、金属,高,中型,每年,中等,非常便捷,5000,小时,激光制造与工程研究院,https://www.laserresearch.in,2024-09-25,,
青光激光器,490 nm,20-25%,700,W,1.3,优良,中等,优秀,金属、陶瓷、塑料,高,大型,每年,中等,较便捷,10000,小时,国家激光技术研究开发中心,https://www.nltrd.gov.cn,2024-09-25,,
高功率光纤激光器,1070 nm,32-45%,5000,W,<1.5,优良,优秀,优秀,光纤、金属,中,小型,每年,较低,非常便捷,15000,小时,光纤激光技术协会,https://www.fiberlaser.org,2024-09-25,,
固体激光器,532 nm,15-22%,1200,W,1.2,优秀,中等,良好,金属合金,高,大型,每年,中等,便捷,12000,小时,中国增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,2024-09-25,,
低压汞灯激光器,254 nm,10-15%,400,W,1.9,良好,中等,一般,金属、非金属,中,小型,每半年,较高,便捷,7000,小时,光学材料研究所,https://www.opticalmaterials.com,2024-09-25,,
激光二极管,850 nm,40-55%,300,W,<1.3,优秀,良好,优秀,金属、玻璃、塑料,中,中型,每年,中等,较便捷,8000,小时,中国激光技术发展中心,https://www.cltc.ac.cn,2024-09-25,,
纳米激光器,400-500 nm,15-20%,500,W,<1.2,优良,优秀,良好,半导体、金属、光纤,高,小型,每年,中等偏高,较便捷,10000,小时,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,
量子点激光器,600-800 nm,30-40%,250,W,1,卓越,优秀,优良,金属、陶瓷、复合材料,高,中型,每年,高,较便捷,5000,小时,国际激光应用学会,https://www.ilaas.org,2024-09-25,,
蓝光激光器,445 nm,30-38%,750,W,<1.5,优良,优秀,优良,金属、纤维材料,高,大型,每两年,较高,便捷,12000,小时,激光产业发展协会,https://www.lida.org,2024-09-25,,
紫外激光器,355 nm,10-20%,300,W,1.4,良好,中等,优秀,金属、塑料、织物,中,中型,每年,中等,非常便捷,10000,小时,电子工业出版社,https://www.electronicpub.com,2024-09-25,,
脉冲激光器,1064 nm,25-35%,1000,W,1.6,一般,较差,中等,纸张、木材、塑料,低,小型,每季度,中等,便捷,5000,小时,机器视觉与激光生产学会,https://www.mvlps.org,2024-09-25,,
氩氦激光器,514 nm,20-30%,450,W,<1.2,优秀,优秀,优秀,金属、陶瓷、塑料,高,大型,每年,较低,便捷,25000,小时,激光前沿技术研究所,https://www.laserfrontier.org,2024-09-25,,
纳米激光器,405 nm,30-50%,200,W,<1.5,优良,优秀,良好,金属、塑料、复合材料,高,中型,每年,中等偏高,非常便捷,15000,小时,光学工程学会,https://www.osa.org,2024-09-25,,
可调激光器,700-1100 nm,15-25%,600,W,1.8,一般,优良,优良,金属、木材、塑料,低,大型,每年,中等,较便捷,7000,小时,中国激光系统工程研究中心,https://www.clsac.org,2024-09-25,,
绿色激光器,532 nm,22-32%,1200,W,<1.2,优良,优秀,良好,金属、树脂、复合材料,高,中型,每年,较低,便捷,25000小时,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
Nd:YAG激光器,1064 nm,22%-32%,2500,W,1.6,良好,中等,优秀,非金属、金属,中,大型,每年,中等,较便捷,6000小时,小时,国际激光协会,https://www.laserinstitute.org,2024-09-25,,
超快激光器,800 nm,15%-20%,4000,W,1.1,优良,优秀,优良,金属焊接、打标,高,中型,每年,较高,非常便捷,12000小时,小时,机器人技术开发公司,https://www.roboticsdev.com,2024-09-25,,
紫外激光器,355 nm,30%-40%,600,W,>2.0,一般,较差,中等,塑料、金属表面,中,小型,每半年,较高,便捷,35000小时,小时,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-25,,
激光二极管,700-850 nm,50%-60%,300,W,1.3,佳,良好,优秀,特种材料、高光泽金属,高,中型,每年,中等,较便捷,8000小时,小时,国家激光技术研究所,https://www.nationallaser.org,2024-09-25,,
高功率光纤激光器,1070 nm,40%-50%,5500,W,1,优良,优秀,优良,金属雕刻、铝合金,高,小型,每年,中等,便捷,15000小时,小时,新兴光子技术公司,https://www.newphotonics.com,2024-09-25,,
红外激光器,940 nm,27%-37%,800,W,1.4,优良,良好,良好,织物、塑料、金属,中,大型,每年,较高,相对便捷,5000小时,小时,科技部,https://www.most.gov.cn,2024-09-25,,
相干激光器,532 nm,18%-28%,1200,W,1.2,良好,中等,较好,金属、塑料,高,中型,每年,较高,便捷,12000小时,小时,美国产业激光协会,https://www.laserassoc.org,2024-09-25,,
可调谐激光器,400-1600 nm,10%-20%,1000,W,<1.0,优良,良好,一般,细小组件、电子产品,低,微型,每年,较高,非常便捷,7000小时,小时,新材料产业联盟,https://www.newmaterials.org,2024-09-25,,
绿色激光器,532 nm,30%-35%,1500,W,<1.3,优秀,优秀,优秀,金属、塑料、复合材料,非常高,小型,每年,中等,非常便捷,30000,小时,机床工具行业协会,https://www.ctma.org.cn,2024-09-25,,
