激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
大功率激光器,1070 nm,40-50%,5000,W,<2.0,优良,优秀,良好,金属、复合材料,高,大型,每年,较高,非凡便捷,25000,小时,国家机械工程协会,https://www.nme.org,,
高效固体激光器,532 nm,35-45%,1200,W,1.2,优良,优秀,优良,金属、木材,中,中型,每半年,中等,较便捷,18000,小时,激光材料研究中心,https://www.laser-materials.org,,
超流明激光器,460 nm,50-60%,100,W,<1.0,优良,优良,优秀,金属、塑料,低,小型,每年,中等,非常便捷,15000,小时,中国光电技术研究院,https://www.optotech.cn,,
便携式激光器,785 nm,30-40%,250,W,1.5,良好,中等,中等,塑料、玻璃,中,小型,每半年,较高,便捷,12000,小时,智能工具有限公司,https://www.smarttools.com,,
脉冲激光器,900 nm,40-50%,1500,W,1.8,中等,优良,良好,金属、攻丝,高,中型,每年,中等,便捷,20000,小时,前沿科技研究所,https://www.frontiersci.org,,
气体激光器,630 nm,20-30%,400,W,2.0,一般,中等,一般,非金属、塑料,中,小型,每半年,较高,较复杂,5000,小时,光学科技信息网,https://www.opticinfo.cn,,
高功率二氧化碳激光器,10.6 µm,15-25%,3000,W,2.5,一般,优良,良好,金属、非金属,高,大型,每年,较高,一般,18000,小时,激光工业咨询公司,https://www.laserconsulting.com,,
超声波激光器,1.3 µm,25-35%,600,W,1.6,良好,优秀,优良,塑料、薄膜,中,小型,每季度,中等,较便捷,12000,小时,电子与激光工程学院,https://www.electronic-laser.edu,,
新型仿生激光器,750 nm,30-40%,800,W,1.1,优良,优良,优秀,金属、纤维,低,中型,每年,中等,非常便捷,20000,小时,国家科技教育委员会,https://www.nsec.org,,
纳米激光器,520 nm,35-45%,300,W,1.3,优良,良好,优良,金属、陶瓷,中,小型,每年,中等,较便捷,15000,小时,中国激光器产业发展中心,https://www.cnlaserind.org,,
低温激光器,850 nm,20-30%,250,W,1.6,中等,一般,一般,金属、玻璃,低,中型,每半年,较高,一般,11000,小时,国家超导激光研究所,https://www.superconductinglaser.cn,,
超短脉冲激光器,720 nm,12%-18%,950,W,1.1,良好,优秀,优秀,塑料、金属、玻璃,中,中型,每年,中等,便捷,16000,小时,光电技术研究所,https://www.opto.org,,
半导体激光器,560 nm,48%-55%,500,W,1.4,优良,良好,好,金属、塑料、陶瓷,高,小型,每年,中等,便捷,12000,小时,现代激光科技大全,https://www.modernlasertech.com,,
高功率光纤激光器,1060 nm,40%-50%,5000,W,1.2,优良,优秀,优秀,金属、复合材料,低,大型,每年,较低,非常便捷,30000,小时,光纤激光器协会,https://www.fiberlaser.org,,
YAG激光器,1064 nm,30%-38%,2000,W,1.7,良好,优秀,良好,金属、陶瓷,中,中型,每年,中等,便捷,15000,小时,国际激光技术论坛,https://www.laserforum.org,,
氮气激光器,337 nm,5%-10%,150,W,1.5,一般,较差,优良,塑料、纸张,低,小型,每半年,较高,较便捷,8000,小时,环境激光技术中心,https://www.enviro-laser-tech.org,,
圆形激光器,450 nm,15%-25%,400,W,2.0,一般,优良,良好,金属、木材,高,大型,每年,中等,较复杂,9000,小时,激光与材料科学研究所,https://www.laserandmaterialscience.org,,
超临界氦氖激光器,632.8 nm,8%-12%,80,W,1.8,良好,较差,一般,玻璃、塑料,低,小型,每半年,较高,便捷,6000,小时,光学激光器研究机构,https://www.opticallaserresearch.org,,
便携式激光器,830 nm,30%-40%,200,W,1.6,优良,良好,好,塑料、非金属,中,小型,每年,中等,非常便捷,10000,小时,便携式激光设备公司,https://www.portablelasercompany.com,,
脉冲激光器,10600 nm,15%-20%,2500,W,1.9,一般,良好,优良,金属、绝缘体,高,中型,每年,高,便捷,20000,小时,高功率脉冲激光研究所,https://www.highpowerpulse.org,,
特种激光器,408 nm,35%-45%,600,W,1.0,优良,优秀,优良,金属、陶瓷,中,大型,每半年,中等,便捷,11000,小时,特种激光工程技术机构,https://www.speciallasertechnology.org,,
波长调谐激光器,543 nm,22%-30%,1000,W,1.3,优良,优秀,优秀,金属、塑料,中,中型,每年,较低,便捷,30000,小时,激光技术与应用研究所,https://www.lasertechnologyandapplication.org,,
紫外激光器,355 nm,16%-24%,700,W,1.7,良好,优秀,优良,金属、塑料、半导体,高,大体积,每年,高,较复杂,15000,小时,紫外激光技术研究中心,https://www.ultravioletlasertech.org,,
模组激光器,532 nm,20%-27%,400,W,1.4,良好,中等,较好,木材、金属,中,小型,每半年,中等,便捷,12000,小时,模块化激光技术协会,https://www.modularlasertech.org,,
肉眼不可见激光器,975 nm,25%-35%,1200,W,1.5,优良,良好,优秀,金属、塑料,中,中型,每年,中等,非常便捷,18000,小时,隐形激光技术委员会,https://www.invisiblelasertechnology.org,,
多波长激光器,445 nm / 660 nm,20%-30%,900,W,1.6,良好,优良,良好,塑料、木材、金属,高,大型,每年,较高,便捷,14000,小时,多波长激光技术研究协会,https://www.multiwavelengthlasertech.org,,
光纤激光器,1064 nm,30-40%,1500,W,1.1,优良,优秀,优良,金属、复合材料,高,中型,每年,中等,便捷,20000,小时,激光装备产业发展协会,https://www.laserindustry.org,,
紫外激光器,355 nm,20-30%,500,W,1.5,良好,优秀,一般,玻璃、塑料,中,小型,每半年,低,非常便捷,15000,小时,激光技术研究所,https://www.lasertech.edu.cn,,
激光微加工系统,1064 nm,15-25%,1000,W,1.3,优良,中等,优秀,金属、陶瓷,高,大型,每年,中等,便捷,30000,小时,国际激光制造与应用协会,https://www.ilma.org,,
高功率固体激光器,1064 nm,30-45%,5000,W,1.4,优良,优秀,优良,金属,中,大型,每年,较高,便捷,25000,小时,光大激光科技有限公司,https://www.greatlaser.com,,
低频激光器,1064 nm,12-20%,600,W,1.8,一般,较差,一般,非金属、木材,低,小型,每半年,高,复杂,8000,小时,光电技术研究中心,https://www.phototech.org,,
高能激光器,1550 nm,25-35%,3500,W,1.2,优良,优秀,优良,金属、塑料,中,大型,每年,中等,便捷,15000,小时,中国激光产业发展联盟,https://www.cla.org.cn,,
合成激光器,660 nm,15-25%,100,W,1.5,良好,优良,一般,塑料、树脂,低,小型,每半年,低,非常便捷,10000,小时,新型激光技术研究所,https://www.newlasertechnology.cn,,
高亮度激光器,450 nm,20-30%,1200,W,1.1,优良,优秀,良好,塑料、木材,中,中型,每年,中等,便捷,20000,小时,国内激光研究中心,https://www.laserresearch.org,,
半导体激光器,850 nm,50-60%,400,W,1.4,优良,良好,优秀,金属、陶瓷,高,小型,每年,中等,非常便捷,12000,小时,中国半导体激光协会,https://www.csla.org.cn,,
超高频激光器,980 nm,35-45%,2000,W,1.3,优良,优秀,优良,金属、玻璃,高,大型,每年,较高,便捷,23000,小时,光能与激光研究所,https://www.photonics.org,,
束流激光器,550 nm,25-35%,800,W,1.6,一般,中等,一般,非金属、金属,中,中型,每半年,中等,复杂,8000,小时,激光光电设备研究中心,https://www.laseroptics.org,,
标记激光器,532 nm,12-22%,300,W,2.0,一般,中等,优良,塑料、玻璃,低,小型,每年,低,便捷,10000,小时,中国激光应用技术研究中心,https://www.claser.com.cn,,
真空激光器,1064 nm,18-28%,800,W,1.7,优良,优秀,优良,金属、合金,中,大型,每年,中等,便捷,20000,小时,激光与材料研究中心,https://www.laser-materials.org,,
碲锌激光器,650 nm,22-32%,450,W,1.4,良好,优良,一般,金属、非金属,低,小型,每半年,低,非常便捷,8000,小时,中国科学技术大学激光研究院,https://www.ustc.edu.cn,,
激光切割机,980 nm,30-40%,2000,W,1.1,优良,优秀,优良,金属、塑料、木材,中,大型,每年,中等,便捷,25000,小时,中国机械制造协会,https://www.cma.org.cn,,
固体激光器,1064 nm,20%-25%,1200,W,1.5,优良,优良,优秀,金属、陶瓷,中,中型,每年,中等,便捷,18000,小时,光电技术研究所,https://www.optictech.org,,
紫外线激光器,355 nm,25%-35%,500,W,1.2,优秀,优良,优良,塑料、玻璃、薄膜,低,小型,每年,中等,较便捷,30000,小时,先进激光研究院,https://www.advancedlaser.org,,
激光清洗器,1060 nm,35%-40%,800,W,1.1,优良,良好,良好,金属、混凝土、油漆,中,大型,每半年,较高,便捷,15000,小时,环境保护与技术研究所,https://www.environmenttech.net,,
光纤激光器,1064 nm,30%-45%,2000,W,1.5,优良,优良,优秀,金属、塑料、合金,中,中型,每年,中等,非常便捷,25000,小时,光纤激光产业委员会,https://www.fiberlaser.org,,
高速激光器,1330 nm,22%-28%,1000,W,1.6,良好,优良,良好,金属、塑料、玻璃,中,小型,每半年,中等,便捷,22000,小时,现代制造技术中心,https://www.modernmanufacturing.org,,
闪光激光器,532 nm,30%-35%,1500,W,1.8,良好,优良,优良,金属、塑料、陶瓷,高,中型,每年,较高,较复杂,18000,小时,中国激光科技发展中心,https://www.clt.org.cn,,
长脉冲激光器,1064 nm,25%-30%,4000,W,1.6,一般,良好,一般,金属、塑料、涂层,中,大型,每年,较高,较便捷,20000,小时,国际激光技术组织,https://www.internationallaser.org,,
超快激光器,800 nm,40%-50%,500,W,1.1,优秀,优良,优秀,低导热材料、聚合物,低,小型,每半年,中等,非常便捷,30000,小时,激光械研究中心,https://www.laserresearch.org,,
氦氖激光器,632.8 nm,8%-12%,1,W,2.0,一般,较差,一般,非金属、玻璃,低,小型,每年,较低,便捷,5000,小时,激光应用研究所,https://www.laserapp.org,,
飞秒激光器,1030 nm,45%-55%,600,W,1.3,优良,优良,优秀,陶瓷、金属,高,小型,每年,中等,非常便捷,10000,小时,国际激光研究中心,https://www.internationallaserresearch.org,,
超分辨率激光器,500 nm,35%-45%,750,W,2.1,一般,中等,良好,金属、复合材料,高,大型,每半年,中等,较复杂,15000,小时,中国现代激光技术研究院,https://www.modernlasertech.cn,,
脉冲激光器,532 nm,20%-38%,2500,W,1.4,优良,优秀,优秀,金属、木材,中,中型,每年,中等,便捷,22000,小时,中国激光行业研究中心,https://www.laserindustry.org.cn,,
纳秒激光器,1064 nm,30%-35%,400,W,1.9,一般,良好,良好,金属、塑料,低,小型,每年,较高,便捷,19000,小时,高能激光研究所,https://www.highenergylaser.org,,
气体激光器,488 nm,15%-20%,700,W,2.0,良好,中等,一般,金属、非金属,中,中型,每半年,中等,便捷,11000,小时,气体技术研究所,https://www.gaslasertech.org,,
脉冲光纤激光器,1064 nm,25-32%,1200,W,1.5,良好,优良,优秀,金属、陶瓷,高,中型,每年,中等,较便捷,20000,小时,国内激光器行业协会,https://www.chinalaser.org,,
紫外激光器,355 nm,20-25%,1800,W,1.2,优良,优秀,良好,塑料、玻璃,中,大型,每年,较高,便捷,15000,小时,中国光电技术研究院,https://www.optictech.cn,,
高功率碳 dioxide 激光器,10.6 µm,15-20%,5000,W,2.5,良好,优秀,一般,金属、塑料,低,超大型,每两年,中等,复杂,30000,小时,国际激光技术研究中心,https://www.international-laser.com,,
激光切割机,980 nm,30-40%,2500,W,1.1,优良,优良,优秀,金属、复合材料,中,大型,每年,中等,便捷,22000,小时,中国激光制造技术协会,https://www.clmt.org.cn,,
声光调制激光器,808 nm,20-35%,850,W,1.8,一般,中等,良好,金属、塑料,中,中型,每六个月,中等,便捷,18000,小时,光源与激光研究中心,https://www.laser-research.org,,
双波长激光器,532 nm / 1064 nm,25-30%,600,W,1.4,优良,优良,优秀,金属、木材、塑料,高,中型,每年,高,较便捷,12000,小时,新材料与激光研究所,https://www.newmateriallaser.org,,
高明度激光器,750 nm,35-40%,900,W,1.2,优良,良好,良好,金属、非金属,中,超小型,每年,中等,极为便捷,15000,小时,现代光电技术研究所,https://www.modernoptics.org,,
激光标记机,1064 nm,20-28%,400,W,1.7,良好,中等,一般,金属、塑料、纸张,中,小型,每半年,中等,便捷,10000,小时,国家激光器标准化委员会,https://www.laserstandard.org,,
高亮度光纤激光器,1050 nm,28-36%,1500,W,1.3,优良,优良,优秀,金属、塑料,中,大型,每年,中等,非常便捷,25000,小时,国际激光科技与应用中心,https://www.ilta.org,,
纳秒级激光器,532 nm,22-33%,700,W,1.9,良好,优良,一般,塑料、金属,中,小型,每半年,较高,便捷,12000,小时,中国激光设备研究院,https://www.cldri.org.cn,,
可调激光器,450 nm - 1070 nm,30-40%,1000,W,1.1,优良,良好,优秀,金属、塑料、纤维,中,中型,每年,中等,便捷,16000,小时,全球激光行业评估中心,https://www.global-laser-assessment.org,,
多波长激光器,405 nm / 532 nm,20-25%,850,W,1.4,优良,优良,良好,金属、非金属,高,小型,每半年,较高,较便捷,17000,小时,国际激光与材料研究中心,https://www.laserandmaterials.org,,
调Q激光器,1064 nm,22-30%,1200,W,1.3,良好,较好,良好,塑料、金属,中,中型,每年,中等,便捷,13000,小时,中国激光器行业发展中心,https://www.claser.org.cn,,
氧化铝激光器,73 nm,15-25%,300,W,1.6,一般,中等,一般,金属、陶瓷,高,小型,每六个月,高,便捷,8000,小时,中国激光技术研究中心,https://www.clt.cn,,
钕激光器,1064 nm,30-35%,1500,W,1.9,优良,优良,优秀,金属、复合材料,低,中型,每年,中等,便捷,20000,小时,高科技激光器研发中心,https://www.hitechlaser.org,,
脉冲激光器,1064 nm,25-35%,4000,W,<1.5,优良,优秀,优秀,金属、陶瓷,中,大型,每年,中等,便捷,30000,小时,激光与光电研究院,https://www.laser-research.com,,
光纤激光器,1550 nm,40-55%,1000,W,1.1,优秀,优良,一般,金属、塑料,高,中型,每年,中等,较便捷,12000,小时,光纤技术协会,https://www.fibertech.org,,
二氧化碳激光器,10.6 µm,15-20%,1500,W,<1.8,良好,优良,中等,木材、金属、塑料,中,大型,每两年,较高,便捷,20000,小时,激光领域新技术中心,https://www.newlasertechnology.com,,
紫外激光器,355 nm,30-40%,200,W,1.0,优良,良好,优秀,塑料、玻璃,低,小型,每半年,中等,非常便捷,15000,小时,激光与材料加工研究中心,https://www.laserandmaterials.com,,
高功率激光器,1064 nm,35-42%,6000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,大型,每年,高,较便捷,25000,小时,国际激光应用协会,https://www.internationallaserapplications.com,,
蓝光激光器,450 nm,20-25%,500,W,1.4,中等,良好,一般,塑料、皮革,中,小型,每半年,中等,便捷,18000,小时,激光与科技发展研究所,https://www.laserandtechdevelopment.org,,
元件激光器,850 nm,45-55%,300,W,1.2,优良,优良,优良,电子元件、金属,低,超小型,每年,中等,非常便捷,10000,小时,科技与创新中心,https://www.techandinovation.com,,
高速激光焊接激光器,1064 nm,30-45%,5000,W,1.1,优良,优秀,优秀,金属、合金,中,大型,每两年,高,便捷,40000,小时,制造业科学技术中心,https://www.manufacturingtechcenter.org,,
纳米激光器,532 nm,15-20%,600,W,1.5,良好,中等,一般,塑料、玻璃,低,小型,每半年,中等,便捷,12000,小时,纳米技术中心,https://www.nanotech.org,,
固体激光器,1064 nm,20-30%,400,W,2.0,一般,中等,良好,塑料、金属,中,中型,每年,较高,较便捷,10000,小时,机械工程与激光技术研究所,https://www.mechanicalengineeringandlasertechnology.com,,
新型超短激光器,780 nm,20-25%,700,W,1.0,优良,良好,优秀,金属、塑料,高,中型,每年,中等,较便捷,22000,小时,国际认可光电中心,https://www.internationaloptics.com,,
高频率激光器,980 nm,25-35%,1500,W,2.2,良好,优良,中等,金属、合金,高,大型,每年,较高,便捷,25000,小时,科技前沿研究所,https://www.techfrontier.org,,
航空专用激光器,1064 nm,30-40%,3500,W,1.3,优良,优秀,优秀,金属、复合材料,中,大型,每年,高,较便捷,32000,小时,中国航空工业公司,https://www.aerospaceindustry.com,,
环保激光器,532 nm,20-30%,700,W,1.6,良好,中等,一般,木材、纸张,低,小型,每半年,中等,便捷,8000,小时,环境保护与科技中心,https://www.environmentalconservationscience.com,,
激光清洗器,1064 nm,15-20%,800,W,2.0,中等,良好,一般,金属、塑料,中,小型,每年,中等,便捷,12000,小时,激光清洗技术协会,https://www.laser-cleaning.org,,
蓝光激光器,450 nm,30-40%,1200,W,1.5,优良,良好,优秀,金属、塑料,高,中型,每年,中等,方便,18000,小时,激光科学与技术研究院,https://www.lasertech.org,,
