激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
光纤激光器,1070 nm,35-45%,4000,W,<1.2,优秀,优秀,优秀,金属、塑料、复合材料,中,小型,每年,较低,非常便捷,25000,科技部,https://www.most.gov.cn,,
半导体激光器,780-1200 nm,45-55%,700,W,>1.5,一般,较差,中等,打标、表面处理,中,小型,每六个月,较高,便捷,35000,中国科学院,https://www.cas.cn,,
UV激光器,355 nm,25%-30%,1000,W,1.0,良好,优秀,优良,塑料、玻璃、金属,高,中型,每年,中等,便捷,8000,国际光电子技术协会,https://www.optoelectronic.org,,
青绿激光器,515 nm,20%-25%,300,W,1.3,一般,中等,一般,纸张、非金属,低,小型,每半年,中等,便捷,15000,中国半导体设备行业协会,https://www.semi.org.cn,,
钛宝石激光器,700-1000 nm,15%-20%,500,W,1.8,良好,中等,优秀,玻璃、陶瓷,中,中型,每年,较高,一般,10000,中国普通器械厂,https://www.common-machinery.org.cn,,
可调谐激光器,1500-1600 nm,10%-15%,600,W,1.5,优良,中等,中等,光通信、材料科学,高,大型,每年,中等,方便,5000,陈东科技公司,https://www.chendong-tech.com,,
直接调制激光器,1310 nm,25%-35%,300,W,1.4,优良,优良,优秀,电子组件、金属,高,小型,每半年,较低,便捷,15000,中国信息通信研究院,https://www.caict.ac.cn,,
碳化硅激光器,400 nm,35-45%,750,W,1.3,良好,优良,良好,金属、陶瓷、玻璃,中等,中型,每年,中等,便捷,15000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
青铜激光器,850 nm,15-25%,1200,W,2.0,一般,良好,优良,金属、复合材料,中,大型,每年,较高,较便捷,8000,中国机械工业联合会,https://www.cmif.org.cn,,
氧化铝激光器,532 nm,25-35%,1000,W,1.1,优良,优秀,优秀,金属、塑料,高,小型,每年,中等,非常便捷,12000,中国科学院,https://www.cas.cn,,
纳米激光器,460 nm,50-60%,1500,W,<1.5,优良,优良,良好,精细金属、陶瓷,中,中型,每年,低,便捷,20000,工信部激光技术研究中心,https://www.miit.gov.cn,,
固态激光器,1064 nm,18-25%,5000,W,1.5,优良,优秀,优秀,金属、塑料、玻璃,高,大型,每两年,较高,便捷,10000,机器人产业发展研究院,https://www.robotics.org.cn,,
紫外激光器,355 nm,10-15%,800,W,2.0,一般,优良,良好,塑料、电路板,低,小型,每年,中等,非常便捷,5000,中国电子技术标准化研究院,https://www.cesi.cn,,
激光二极管,780 nm,35-45%,300,W,>2.0,一般,差,一般,表面处理、打标,中,小型,每半年,较高,便捷,25000,光电子学会,https://www.oeps.org,,
薄膜激光器,650 nm,20-30%,2000,W,1.0,优良,优秀,优秀,金属薄膜、复合材料,高,中型,每年,中等,非常便捷,18000,中国材料研究所,https://www.materials.org.cn,,
激光增材制造系统,1070 nm,25-35%,5000,W,1.2,优良,优良,优秀,金属粉末、塑料,高,大型,每年,较高,便捷,12000,国家增材制造产业技术创新战略联盟,https://www.additive.org.cn,,
光纤激光器,1070 nm,35-45%,5000,W,<1.2,优秀,优秀,优秀,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,25000,机械工业出版社,http://www.mei.net.cn,,
YAG激光器,1050 nm,25-35%,1500,W,1.4,良好,中等,优秀,金属、铝合金,中,大型,每年,中等,较便捷,8000,中国机械工程学会,http://www.cmes.org.cn,,
CO2激光器,10.2 µm,9-11%,1200,W,1.6,优良,优秀,良好,木材、非金属,低,大型,每年,中等,较便捷,6000,中国科技信息研究院,http://www.csti.gov.cn,,
半导体激光器,850 nm,42-52%,700,W,>1.5,一般,较差,优秀,材料表面光刻、打标,中,小型,每半年,较高,方便,35000,国家纳米科技创新中心,http://www.nano.gov.cn,,
光纤激光器,1090 nm,28-38%,4000,W,<1.4,优秀,优秀,良好,钢铁、钛合金,高,中型,每年,较低,非常便捷,22000,中国光学学会,http://www.cos.org.cn,,
YAG激光器,1047 nm,22-32%,2500,W,1.3,良好,优秀,优秀,不锈钢、铝,高,大型,每年,较高,较便捷,9000,中国电子学会,http://www.cie.org.cn,,
CO2激光器,10.3 µm,8-9%,1500,W,1.7,优良,中等,较差,广泛应用于医疗行业,中,大型,每年,中等,便利,5000,中国科学院,http://www.cas.cn,,
半导体激光器,780 nm,40-50%,400,W,>1.5,一般,较差,良好,表面打标、光刻,中,小型,每半年,较高,便捷,28000,智能制造2025推进委员会,http://www.zhmf.gov.cn,,
光纤激光器,1064 nm,32-42%,6000,W,<1.3,优秀,优秀,优秀,优质合金、塑料,高,中型,每年,中等,非常便捷,30000,中国光电技术研究院,http://www.china-optech.com,,
固体激光器,532 nm,15-25%,1500,W,1.3,良好,中等,优秀,金属、塑料,中,中型,每年,中等,较便捷,8000,激光加工技术协会,https://www.lasertech.org,,
青铜激光器,450 nm,25-35%,1800,W,1.8,一般,优秀,良好,金属、复合材料,高,大型,每年,较高,较便捷,12000,中国激光研究中心,https://www.clrc.cn,,
紫外激光器,355 nm,10-15%,800,W,<1.0,优秀,中等,优秀,塑料、薄膜,低,小型,每半年,较高,非常便捷,5000,国家激光标准化技术委员会,https://www.nlstc.org,,
二氧化碳激光器,10.3 µm,8-12%,2500,W,1.4,优良,较差,良好,木材、塑料,低,大型,每年,中等,较便捷,6000,中国材料研究院,https://www.camsc.org,,
单模光纤激光器,1070 nm,40-50%,2000,W,<1.2,优秀,优秀,优秀,金属、陶瓷,高,小型,每年,较低,非常便捷,25000,国家科技委员会,https://www.nst.gov.cn,,
高功率氦氖激光器,633 nm,5-7%,300,W,2.0,一般,较差,一般,打标、照明,低,中型,每半年,高,较便利,4000,中国激光应用协会,https://www.laserapp.org,,
量子点激光器,980 nm,30-40%,1500,W,1.1,优良,优秀,良好,全金属、复合材料,高,小型,每年,中等,较便捷,12000,科技部,https://www.most.gov.cn,,
激光二极管,808 nm,50-60%,100,W,>2.0,一般,差,良好,打标、汇流条激光焊接,中,小型,每六个月,中,便捷,20000,国家光电技术研究中心,https://www.opttech.gov.cn,,
液体激光器,700-900 nm,20-35%,1200,W,1.6,良好,中等,一般,金属、非金属,中,中型,每年,中等,较便利,7000,国际激光产业发展联盟,https://www.ilida.org,,
紫外激光器,355 nm,15-25%,1500,W,1.1,优良,优秀,良好,金属、塑料、玻璃,中,中型,每年,中等,便捷,10000,中国光学学会,https://www.cos.org.cn,,
碳化硅激光器,1.5 µm,30-35%,2500,W,1.3,优良,中等,优秀,金属、陶瓷,低,大型,每年,较低,较便捷,15000,科学技术部,https://www.most.gov.cn,,
泵浦激光器,532 nm,50-60%,800,W,1.8,一般,较差,中等,打标、激光医疗,中,小型,每半年,较高,便捷,20000,国家科技创新平台,https://www.innovation.gov.cn,,
新型固态激光器,1030 nm,25-35%,5000,W,<1.2,优秀,优秀,优良,金属、复合材料,高,中型,每年,中等,非常便捷,25000,中国激光产业联会,https://www.clia.org.cn,,
激光二极管,780-1550 nm,30-45%,200,W,>2.0,一般,较差,较差,打标、光学设备,低,微型,每两年,较高,便利,30000,自动化与信息化部,https://www.miit.gov.cn,,
绿光激光器,520 nm,20-30%,1200,W,1.4,良好,优良,中等,木材、纸张,中,小型,每年,中等,便捷,8000,绿色激光协会,https://www.greenlaser.org,,
激光切割机,1064 nm,25-35%,4000,W,1.6,优良,优秀,良好,金属、塑料,高,大型,每年,中等,较便捷,12000,机电工程学会,https://www.cmse.org,,
超短脉冲激光器,400 nm,30-50%,600,W,1.0,优秀,优良,优秀,金属、陶瓷、复合材料,高,中型,每年,较高,非常便捷,15000,高科技产业研究院,https://www.hitec.org.cn,,
青色激光器,450 nm,20-30%,300,W,1.2,良好,中等,中等,纸张、木材,低,微型,每两年,中等,便捷,7000,发光技术研究中心,https://www.lasertech.gov.cn,,
CO2激光器,10.6 µm,9%-11%,1200,W,1.4,优良,中等,优秀,非金属、金属焊接,低,大型,每年,中等,较便捷,6000,中国机械工程学会,https://www.cmes.org,,
YAG激光器,1064 nm,18%-25%,2500,W,1.3,良好,优秀,优秀,金属切割、焊接,高,中型,每年,较高,较便捷,12000,中国激光行业协会,https://www.cla.org.cn,,
光纤激光器,1070 nm,35%-45%,5000,W,<1.3,优秀,优秀,良好,金属、塑料、陶瓷,高,小型,每年至少一次,较低,非常便捷,25000,中国科学院,https://www.cas.cn,,
半导体激光器,980 nm,45%-55%,600,W,>1.6,一般,较差,一般,表面处理、打标,中,小型,每半年,较高,较便捷,35000,工业和信息化部,https://www.miit.gov.cn,,
紫外激光器,355 nm,20%-30%,800,W,1.2,优良,优秀,良好,塑料、玻璃,中,中型,每年,中等,便捷,15000,光电技术研究所,https://www.opti.edu.cn,,
可调激光器,500-600 nm,25%-35%,400,W,2.0,一般,中等,优良,薄膜、光学材料,中,小型,每两年,中等,较便捷,20000,国家科技部,https://www.most.gov.cn,,
超短脉冲激光器,800 nm,15%-20%,250,W,1.1,优良,优秀,良好,金属、非金属,高,中型,每年,较高,便捷,18000,中国科学院物理研究所,https://www.iphy.cas.cn,,
碳纤维激光器,1064 nm,22%-27%,1500,W,1.5,良好,优秀,优良,碳纤维复合材料,中,中型,每年,中等,便捷,22000,新材料研究所,https://www.newmaterial.cn,,
高功率激光器,1080 nm,40%-50%,10000,W,<1.2,优良,优秀,优秀,各类金属,高,大型,每年,高,较便捷,30000,工业与信息化部,https://www.miit.gov.cn,,
激光增材制造系统,1080 nm,30%-35%,5000,W,1.4,优良,优秀,良好,金属、陶瓷,中,大型,每年,较高,便捷,20000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
CO2激光器,10.6 µm,12%-15%,1200,W,1.4,优良,良好,优秀,非金属、金属焊接,中,大型,每年,中等,较便捷,6000,全国激光技术研究中心,https://www.laserresearch.cn,,
YAG激光器,1064 nm,22%-32%,2500,W,1.1,优良,较好,优秀,金属切割、焊接,高,中型,每年,较高,便捷,12000,国际激光与光电产业协会,https://www.laserassociation.org,,
光纤激光器,1070 nm,35%-45%,4000,W,<1.4,优秀,优秀,良好,金属、塑料、陶瓷,高,小型,每年,低,非常便捷,25000,中国光纤激光产业发展联盟,https://www.fiberlaser.org.cn,,
半导体激光器,750-850 nm,42%-52%,800,W,>1.3,良好,中等,良好,表面处理、打标,中,小型,每半年,中等,较便捷,35000,中国激光焊接行业协会,https://www.laserwelding.org.cn,,
佳能多波长激光器,"532 nm, 1064 nm",25%-35%,1500,W,1.8,优良,良好,优良,金属、非金属,中,中型,每年,较高,便捷,8000,工业激光技术研究所,https://www.industrial-lasers.com,,
镓氮激光器,405 nm,20%-30%,600,W,1.2,优秀,中等,良好,某些金属与塑料,高,小型,每年,中等,较便捷,15000,国际光电及激光技术协会,https://www.opticallaser.org,,
钕激光器,1064 nm,18%-28%,1800,W,1.4,良好,优秀,良好,金属,高,中型,每年,较高,便捷,9000,中国先进制造技术研究院,https://www.camt.edu.cn,,
紫外激光器,355 nm,15%-25%,750,W,1.3,优良,中等,优秀,塑料、电子元件,低,小型,每半年,较高,便捷,5000,电子工业协会,https://www.electronics.org,,
钙钛矿激光器,850 nm,30%-40%,1200,W,1.6,良好,优秀,良好,金属、塑料,中,中型,每年,中等,较便捷,16000,能源部新材料科技应用中心,https://www.newmaterialinfo.cn,,
碳氟化合物激光器,10.59 µm,10%-12%,2000,W,2.0,一般,较差,优秀,特种材料,低,大型,每年,较高,较便捷,7000,中国化学工业协会,https://www.chemicalindustry.org.cn,,
脉冲激光器,532 nm,25-35%,1500,W,1.1,优秀,良好,优秀,金属、塑料,中,中型,每年,中等,较便捷,8000,中国科学院,https://www.cas.cn,,
超短脉冲激光器,800 nm,38-45%,2500,W,<1.2,优良,优秀,良好,合金、陶瓷,高,大型,每年,较高,非常便捷,15000,光电技术研究所,https://www.optics.org,,
高功率二极管激光器,915 nm,45-55%,4000,W,1.8,一般,中等,优秀,金属、复合材料,中,中型,每半年,较低,便捷,12000,国际激光技术协会,https://www.laserinstitut.org,,
紫外激光器,355 nm,15-25%,800,W,1.3,良好,优良,中等,塑料、玻璃,低,小型,每年,中等,较便捷,6000,中国光电技术应用与发展中心,https://www.cwta.org.cn,,
氩气激光器,488 nm,10-15%,700,W,2.0,一般,较差,较差,涂层、玻璃,中,大型,每半年,较高,一般,4000,中国科学院物理研究所,https://www.iphy.ac.cn,,
波长可调激光器,620-640 nm,20-30%,1000,W,1.4,良好,中等,优秀,金属、电子元件,高,小型,每年,中等,较便捷,7000,中国激光技术协会,https://www.claser.org.cn,,
固态激光器,1064 nm,15-25%,1200,W,1.6,中等,优良,良好,金属、塑料,中,大型,每年,中等,便携,9000,国际激光应用协会,https://www.laas.org,,
高功率光纤激光器,1070 nm,45-60%,6000,W,<1.4,优良,优秀,优秀,金属、合金,高,中型,每年,较低,非常便捷,30000,中国激光产业发展论坛,https://www.laserforum.cn,,
超高功率激光器,1.06 µm,35-50%,10000,W,1.0,顶级,优秀,优秀,金属、复合材料,高,大型,每两年,高,较便捷,25000,中国工程院,https://www.cae.cn,,
波长可调激光器,800-1200 nm,25-35%,1500,W,1.3,良好,优秀,优秀,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,12000,国际激光工业协会,https://www.laser.org,,
青光激光器,490 nm,20-25%,700,W,1.6,优秀,中等,良好,金属、非金属,高,小型,每半年,中等,便捷,8000,美国激光技术研究中心,https://www.lasertech.org,,
高功率光纤激光器,1070 nm,32-45%,5000,W,<1.4,优良,优秀,优秀,金属、薄板,高,中型,每年,较低,非常便捷,18000,中国激光网,https://www.chinalaser.net,,
紫外激光器,355 nm,15-20%,1000,W,1.8,优良,良好,中等,薄膜、纸张,中,小型,每半年,中等,便捷,6000,世界激光设备论坛,https://www.laserforum.org,,
固体激光器,532 nm,15-22%,1200,W,1.5,良好,中等,优秀,金属、树脂,中,小型,每年,较高,便捷,9000,光电技术协会,https://www.photonics.org,,
低压汞灯激光器,254 nm,10-15%,400,W,2.0,一般,中等,较差,打标、处理,低,大型,每年,中等,较便捷,5000,照明设备行业协会,https://www.lightassociation.org,,
激光二极管,850 nm,40-55%,300,W,>2.0,一般,较差,良好,光通信、标识,中,小型,每半年,高,便捷,20000,半导体行业协会,https://www.semiconductor.org,,
纳米激光器,400-500 nm,15-20%,500,W,1.2,优良,中等,优秀,微电子、陶瓷,低,微型,每年,中等,较便捷,7000,纳米技术研究所,https://www.nanotechinstitute.org,,
量子点激光器,600-800 nm,30-40%,250,W,1.4,优良,良好,中等,消费电子、医疗,中,小型,每年,中等,便捷,8000,新材料研究所,https://www.newmaterials.org,,
固体激光器,532 nm,15-25%,1500,W,1.3,良好,优秀,良好,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,8000,中国激光产业协会,https://www.clia.org.cn,,
蓝光激光器,445 nm,30-38%,750,W,1.4,优良,中等,优秀,金属、塑料,高,小型,每六个月,较低,非常便捷,15000,国际激光技术研究院,https://www.iltr.org,,
光纤激光器,1080 nm,35-45%,5000,W,<1.2,优秀,优秀,优秀,金属、塑料、陶瓷,高,大型,每年,中等,非常便捷,30000,全球激光制造技术杂志,https://www.laser-manufacturing.com,,
紫外激光器,355 nm,10-20%,300,W,1.6,良好,较差,优秀,塑料、薄膜、纸张,低,小型,每半年,较高,较便捷,5000,中国激光技术标准化委员会,https://www.cts.org.cn,,
脉冲激光器,1064 nm,25-35%,1000,W,1.1,优良,优秀,良好,金属、陶瓷、合金,中,中型,每年,中等,较便捷,12000,激光系统研究中心,https://www.lasersystemcentre.org,,
氩氦激光器,514 nm,20-30%,450,W,1.4,良好,中等,一般,金属、玻璃,中,中型,每年,中等,较便捷,10000,电子工业出版社,https://www.eepw.com.cn,,
纳米激光器,405 nm,30-50%,200,W,1.2,优良,优秀,优秀,塑料、金属,高,小型,每半年,较低,非常便捷,5000,纳米技术协会,https://www.nanonetwork.org,,
可调激光器,700-1100 nm,15-25%,600,W,1.8,一般,中等,良好,各种材料,中,大型,每年,较高,较便捷,8000,激光测量设备协会,https://www.lasermeasurement.org,,
绿色激光器,532 nm,22-32%,1200,W,1.5,优良,优秀,良好,金属、纸张、塑料,高,中型,每6个月,中等,较便捷,10000,全球激光开发会议,https://www.globallaserconference.com,,
青光激光器,450 nm,25%-35%,1500,W,1.1,优良,好的,优良,金属、塑料,中,中型,每年,中等,便捷,12000,中国激光产业协会,https://www.clia.org.cn,,
Nd:YAG激光器,1064 nm,22%-32%,2500,W,1.3,优良,优秀,优秀,金属切割、焊接,高,大型,每年,中等,便捷,10000,中国科学院,https://www.cas.cn,,
超快激光器,800 nm,15%-20%,4000,W,<1.2,优秀,非常优秀,良好,多种材料,高,中型,每年,较高,优秀,8000,国际激光工程学会,https://www.laserica.org,,
紫外激光器,355 nm,30%-40%,600,W,1.1,良好,优秀,优良,塑料、电子材料,低,小型,每半年,较高,较便捷,15000,日本激光协会,https://www.jlas.org,,
激光二极管,700-850 nm,50%-60%,300,W,>2.0,一般,较差,中等,打标、表面处理,中,小型,每半年,较低,便捷,25000,中国电子科技集团,http://www.cetc.com.cn,,
高功率光纤激光器,1070 nm,40%-50%,5500,W,<1.4,优秀,优秀,优秀,金属、陶瓷,高,中型,每年,中等,非常便捷,20000,中国科学院工程院,https://www.cae.cn,,
