机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
消防机器人,灭火喷射系统,高效灭火、环境探测,危险火灾现场、救援,国家消防部,http://www.mps.gov.cn/fire,,
银发机器人,人机交互护理平台,陪伴交流、健康监测,养老院、家庭照护,中国老龄工作委员会,http://www.cnagw.com,,
餐饮服务机器人,送餐车与交互界面,自动导航、客户互动,餐厅、酒店,全国餐饮服务业协会,http://www.cater.org.cn,,
服务机器人,人脸识别交互系统,智能对话、情感识别,酒店接待、展会服务,中国人工智能专业协会,https://www.caai.cn,,
教育机器人,可编程平台,互动学习、编程教育,青少年 STEM 教育,中国教育技术协会,http://www.cetc.org.cn,,
护理机器人,多感知健康监测系统,实时监护、智能提醒,老年护理、居家服务,中国老龄事业发展中心,http://www.chinaageing.org.cn,,
制造机器人,柔性生产系统,快速切换生产线、泛化适应性,单件小批量生产,中国制造2025,http://www.china2025.org.cn,,
农业机器人,自主农田监测无人机,高效农作监测、数据分析,精准农业、作物监测,中国农业科学院,http://www.caas.cn,,
清扫机器人,雷达侦测辅助导航,智能路径规划、深度清洁,大型商场、公共设施,中国清洁服务行业协会,http://www.ccs.org.cn,,
安防机器人,移动监控平台,24小时监控、数据存储,智能城市、商业中心,国家安全防范技术中心,http://www.nsafety.gov.cn,,
仓储机器人,自动搬运车,自主导航、货物分类,物流仓库、工厂自动化,物流技术论坛,http://www.logisticsforum.org,,
陪伴机器人,社交互动系统,音乐陪伴、情感交流,儿童教育、孤独老人陪伴,中国机器人行业协会,http://www.crobotics.org.cn,,
遥控手术机器人,精密手术设备,微创手术、远程控制,医疗手术、高风险治疗,中国医疗机器人技术研究中心,http://www.cmrt.org.cn,,
飞行机器人,无人机,高效飞行、低空监测,农业喷洒、地形测绘,中国民用航空协会,http://www.cac.org.cn,,
探索机器人,多轮驱动底盘,自主导航、环境适应,火星探测、极地探险,中国空间科学技术研究院,http://www.castronautics.org.cn,,
娱乐机器人,语音交互控制系统,趣味活动、自主学习,家庭娱乐、儿童玩具,中国玩具协会,http://www.toyassociation.cn,,
城市清洁机器人,道路清扫系统,智能调度、全天候作业,城市道路维护,中国城市管理协会,http://www.cucm.net.cn,,
博物馆导览机器人,互动信息平台,多语言导览、智能问答,博物馆、艺术展览,中国文化传媒集团,http://www.ccmg.cn,,
配送机器人,小型自动送货车,最后一公里配送、智能避障,城市居民区、园区配送,物流科技创新中心,http://www.wlinnovation.org,,
商用清洗机器人,双电机清洗平台,高效清洗、智能反馈,商业场所、车间清洁,中国清洗行业协会,http://www.chinesewashing.org,,
清洁机器人,激光导航系统,智能路径规划、超静音,商场、办公室清洁,中国清洁行业协会,http://www.ccia.org.cn,,
农业机器人,自主驾驶拖拉机,精准播种、土壤监测,大棚种植、农田管理,中国农业科学院,https://www.caas.cn,,
迎宾机器人,四轮移动平台,语音识别、用户互动,酒店、会议中心,中国酒店业协会,http://www.china-hotel.org,,
医疗机器人,手术辅助臂,高精度、实时监控,复杂手术、病房护理,中国医疗器械行业协会,http://www.cmda.org.cn,,
水下机器人,多功能水下航行器,长续航、实时数据传输,海洋勘探、沉船打捞,海洋科学研究院,http://www.oceanresearch.cn,,
教育机器人,交互式学习平台,可编程、激励学习,学校、创新实验室,中国教育部,http://www.moe.gov.cn,,
巡逻机器人,四轮驱动移动平台,实时监控、人脸识别,公共安全、校园管理,国家公安部,http://www.mps.gov.cn,,
搬运机器人,移动式承载系统,灵活搬运、负载能力强,物流仓储、生产线,中国物流与采购联合会,http://www.clp.org.cn,,
建筑机器人,混凝土喷射设备,快速施工、材料节约,楼宇建设、基础设施,中国建筑协会,http://www.china-architecture.org,,
救援机器人,地面移动平台,能识别受灾者、可定位,地震救援、火灾救援,中国红十字会,http://www.redcross.org.cn,,
陪伴机器人,智能交互系统,情感识别、语音陪伴,养老院、家庭,中国老龄事业发展协会,http://www.cla.org.cn,,
特种机器人,直升机无人机,远程控制、实时监测,边防巡逻、灾后评估,中国航空协会,http://www.cna.com.cn,,
物流机器人,自动驾驶无人车,高效物流、环境识别,智能快递、无人配送,中国智能物流协会,http://www.cila.org.cn,,
家庭服务机器人,移动操作平台,语音助手、任务规划,家庭清洁、烹饪辅助,中国家电协会,http://www.cheaa.com,,
调度机器人,云计算管理系统,动态调度、效率提高,城市交通、货运调度,中国交通运输信息中心,http://www.ctic.gov.cn,,
智能服务机器人,模块化设计,多功能、用户友好,咖啡厅、餐厅,中国餐饮协会,http://www.cra.org.cn,,
清洁无人机,电动旋翼飞行器,自动飞行、水源喷洒,公园、河流清理,国家自然资源部,http://www.mnr.gov.cn,,
娱乐机器人,交互式娱乐平台,创意编程、互动游戏,游乐园、科技博览会,中国文化部,http://www.mcprc.gov.cn,,
农业机器人,自动化播种机,智能识别土壤、精准播种,农田种植、作物管理,中国农业科学院,http://www.caas.cn,,
护理机器人,人形交互平台,情感识别、辅助照料,老年照护、残障辅助,中国老龄事业发展基金会,http://www.cla.org.cn,,
巡逻机器人,四轮驱动移动平台,实时监控、远程控制,安全巡逻、设施监控,中国保安协会,http://www.cpsa.org.cn,,
清洁机器人,圆形清扫平台,智能导航、污垢识别,家庭清扫、商业场所,中国家用电器协会,http://www.cheaa.org.cn,,
教学机器人,双臂互动设备,语言识别、互动学习,K12教育、语言学习,教育部,http://www.moe.gov.cn,,
物流机器人,自动配送车,智能路径规划、环境感知,城市配送、快递服务,国家邮政局,http://www.spb.gov.cn,,
手术机器人,高度灵活机械臂,精准操作、微创技术,外科手术、医疗辅助,国家卫生健康委员会,http://www.nhc.gov.cn,,
娱乐机器人,智能情感陪伴系统,情绪交互、运算能力强,家庭娱乐、儿童陪伴,中国玩具和婴童用品协会,http://www.ctama.org.cn,,
仓储机器人,自动搬运装置,重物搬运、误差检测,仓库管理、物流配送,中国自动化学会,http://www.caai.cn,,
餐饮机器人,智能服务平台,智能点餐、自动上菜,餐厅服务、外卖配送,中国餐饮行业协会,http://www.cra.org.cn,,
医疗机器人,监护移动平台,病情监测、数据分析,护理，医院监护,国家中医药管理局,http://www.satcm.gov.cn,,
无轨扫地机器人,600ml水箱配备,自动清洗、实时反馈,家庭清洁、办公室,家电网络协会,http://www.appliance.org.cn,,
矿业机器人,重型探测车,超强耐压、数据采集,矿井探测、资源开发,中国矿业协会,http://www.cma.gov.cn,,
修复机器人,自适应工具臂,自动修补、精准对接,设备维护、灾后恢复,国家应急技术中心,http://www.cet.gov.cn,,
老人看护机器人,智能监控系统,生命体征监测、习惯识别,养老院、家庭看护,全国老龄工作委员会,http://www.cnage.gov.cn,,
音乐创作机器人,AI创作引擎,自动编曲、音乐识别,艺术创作、娱乐活动,音乐产业发展协会,http://www.micap.org.cn,,
消防机器人,侦查与喷灭系统,高温抵抗、区域侦查,消防救援、火灾预警,国家消防救援队,http://www.nfsa.gov.cn,,
监测机器人,环境监测平台,多数据采集、实时反馈,环境保护、气候研究,中国环境保护部,http://www.mee.gov.cn,,
农业机器人,智能播种机,精准播种、土壤分析,农田管理、作物种植,中国农业科学院,http://www.caas.cn,,
护理机器人,自动移动护理平台,实时监测、辅助治疗,医院、养老院,中国医疗器械行业协会,http://www.camdi.org.cn,,
物流机器人,自动导航无人车,自主驾驶、高度灵活,城市配送、便利店补货,国家邮政局,http://www.spb.gov.cn,,
家居机器人,智能清洁机器人,语音控制、自主充电,家庭日常清扫,中国家用电器协会,http://www.cheaa.com,,
安防机器人,移动监控系统,智能监测、远程控制,公共安全、商场监控,中国安防协会,http://www.cpa.org.cn,,
教育机器人,人形教学机器人,互动学习、编程教学,学校、培训机构,中国教育技术协会,http://www.ceta.edu.cn,,
水下机器人,水下遥控探测器,实时数据传输、深海探测,海洋科学研究、资源勘探,中国海洋局,http://www.soa.gov.cn,,
特种机器人,消防机器人,高温抗压、灭火精确,火灾救援、危险环境作业,中国消防协会,http://www.cfa.gov.cn,,
工业机器人,柔性自动化装配线,高速装配、自动检测,电子产品制造,中国机器人产业发展报告,https://www.robotics.org.cn/report,,
虚拟现实机器人,沉浸式交互平台,环境模拟、用户交互,娱乐、培训模拟,中国虚拟现实产业技术联盟,http://www.vri.org.cn,,
海洋探测机器人,深潜遥控潜水器,复杂地形导航、长时间潜水,海底勘探、生态监测,中国海洋石油总公司,http://www.cnoocltd.com,,
物流机器人,自动仓储系统,实时库存管理、自动取货,大型仓库、配送中心,中国物流与采购联合会,https://www.clp.org.cn,,
配药机器人,全自动药剂分配系统,精准配药、减少差错,医院药房、药店,中国药品监督管理局,http://www.nmpa.gov.cn,,
建筑机器人,3D打印机,快速成型、材料节约,建筑施工、原型设计,中国建筑业协会,https://www.cah.gov.cn,,
物流机器人,移动货物运输车,高效运载、精确调度,内陆运输、工厂物流,中国物流与采购联合会,https://www.clp.org.cn,,
医疗机器人,手术辅助系统,高精度定位、远程操控,微创手术、远程手术,中国医疗器械行业协会,http://www.camdi.org.cn,,
交互机器人,情感交流机器人,情感识别、语言交互,老年陪伴、儿童教育,中国人工智能产业发展报告,http://www.aiindustry.org.cn,,
医疗机器人,手术辅助机,精准操作、实时监控,外科手术、远程医疗,中国医学科学院,http://www.imac.ac.cn,,
教育机器人,智能教学平台,互动学习、个性化辅导,幼教、语言学习,中国教育部,http://www.moe.gov.cn,,
农业机器人,自主导航收割机,精准种植、自动施肥,农作物管理、土壤检测,农业农村部,http://www.moa.gov.cn,,
服务机器人,智能互动终端,人机交互、情感识别,酒店接待、智能家居,中国人工智能协会,http://www.caai.cn,,
巡逻机器人,移动监控平台,安全监测、实时警报,公共安全、安保巡逻,公安部,http://www.mps.gov.cn,,
送餐机器人,智能配送系统,智能导航、高效送达,餐饮服务、医院送餐,中国餐饮行业协会,http://www.caica.org.cn,,
野外勘探机器人,全地形移动系统,适应性强、耐氧化,矿产勘探、环境研究,中国地质调查局,http://www.cgg.gov.cn,,
翻译机器人,AI语音识别系统,多语言支持、即时翻译,商务交流、跨国会议,国家语言资源监测与研究中心,http://www.nlpr.cn,,
心理治疗机器人,情绪分析系统,情感支持、心理辅导,心理治疗、情绪护理,中国心理学会,http://www.cpa.org.cn,,
人形机器人,仿生系统,人机协作、自主学习,家庭助理、陪伴,中国机器人学会,http://www.crs.org.cn,,
防疫机器人,自动消毒装置,高效消毒、自动导航,公共卫生、疫情防控,国家卫生健康委员会,http://www.nhc.gov.cn,,
娱乐机器人,互动娱乐系统,多功能互动、智能反馈,游戏娱乐、教育辅导,中国文化和旅游部,http://www.mct.gov.cn,,
自主搬运机器人,移动履带系统,高负荷搬运、自主充电,工厂物流、货物运输,中国物流与配送协会,http://www.clpa.org.cn,,
无障碍机器人,智能辅助行走系统,安全辅助、实时反馈,老年护理、残疾人服务,中国老龄产业协会,http://www.cag.org.cn,,
