机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
服务机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,中国服务机器人行业研究中心,http://www.csaric.com,,
地面巡逻机器人,1.8,m/s,0.9,m/s,2.4,m/s,1.2,m/s,字符型,中国城市安全协会,http://www.ccsa.org.cn,,
智能陪伴机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.3,m/s,字符型,人工智能研究院,http://www.ai-research.org.cn,,
智能清扫机器人,0.6,m/s,0.3,m/s,0.8,m/s,0.4,m/s,字符型,家电产品协会,https://www.homeappliance.org.cn,,
施工机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,建设部,http://www.mohurd.gov.cn,,
快递机器人,2.8,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,中国快递协会,https://www.courier.org.cn,,
探险机器人,3.5,m/s,1.4,m/s,5.5,m/s,2.5,m/s,字符型,探索科技研究中心,http://www.explorationtech.org.cn,,
宠物陪伴机器人,0.7,m/s,0.4,m/s,1.0,m/s,0.3,m/s,字符型,智能宠物协会,http://www.smartpets.org.cn,,
紧急救援机器人,1.2,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,国家应急管理部,https://www.nema.gov.cn,,
喷涂机器人,1.7,m/s,0.9,m/s,2.5,m/s,1.3,m/s,字符型,中国制造业协会,http://www.cmi.org.cn,,
仿生泳池清洁机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.3,m/s,字符型,中国游泳协会,http://www.chinaswimming.org.cn,,
智能修理机器人,1.6,m/s,0.8,m/s,2.2,m/s,1.1,m/s,字符型,智能硬件协会,http://www.smartdevice.org.cn,,
扫雪机器人,1.5,m/s,0.7,m/s,2.0,m/s,1.0,m/s,字符型,气象局,http://www.cma.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,农业部,https://www.moa.gov.cn,,
教育机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
搜救机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,,
快递机器人,2.5,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,快递行业协会,https://www.courier.org,,
制造业机器人,2.1,m/s,0.6,m/s,3.5,m/s,1.4,m/s,字符型,国际制造技术协会,https://www.imts.com,,
安防机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.8,m/s,字符型,国家安全部,https://www.mps.gov.cn,,
智能家居机器人,1.2,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,智能家居产业协会,http://www.ihome.org.cn,,
无人机,5.0,m/s,2.0,m/s,8.0,m/s,3.5,m/s,字符型,民航局,http://www.caac.gov.cn,,
配送机器人,2.7,m/s,1.0,m/s,2.8,m/s,1.5,m/s,字符型,中国快递协会,http://www.cdis.org.cn,,
娱乐陪伴机器人,0.9,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国机器人产业发展报告,https://www.robotics.org.cn,,
促进康复的机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,卫生组织,https://www.who.int,,
家庭服务机器人,1.4,m/s,0.7,m/s,2.0,m/s,1.1,m/s,字符型,智能科技公司,http://www.smarttech.com,,
工业自动化机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.0,m/s,字符型,国际工业机器人协会,https://www.ifr.org,,
智能巡逻机器人,2.3,m/s,0.8,m/s,3.1,m/s,1.6,m/s,字符型,城市安全与科技协会,https://www.citysafety.org.cn,,
巡展机器人,1.7,m/s,0.5,m/s,2.4,m/s,1.2,m/s,字符型,国内展览行业协会,http://www.expo.org.cn,,
老年人陪伴机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国老龄协会,http://www.ala.com.cn,,
仓储机器人,2.4,m/s,1.0,m/s,3.5,m/s,1.9,m/s,字符型,中国仓储协会,http://www.csl.org.cn,,
外科手术机器人,0.4,m/s,0.2,m/s,0.7,m/s,0.3,m/s,字符型,国家医疗器械监管局,https://www.nmpa.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,农业部,https://www.moa.gov.cn,,
救护机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,中国红十字会,https://www.redcross.org.cn,,
科研机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,科技部,https://www.most.gov.cn,,
巡检机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,工业和信息化部,https://www.miit.gov.cn,,
教育机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,教育部,http://www.moe.gov.cn,,
防疫机器人,1.4,m/s,0.5,m/s,2.2,m/s,0.8,m/s,字符型,国家卫健委,https://www.nhc.gov.cn,,
送餐机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,餐饮业协会,http://www.restaurant.org,,
仓储机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,国际仓储协会,https://www.ifwla.org,,
派送机器人,1.6,m/s,0.6,m/s,2.7,m/s,1.3,m/s,字符型,快递行业协会,http://www.courier.org,,
导览机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,旅游局,http://www.mct.gov.cn,,
巡逻机器人,2.1,m/s,0.9,m/s,3.4,m/s,1.6,m/s,字符型,公安部,https://www.mps.gov.cn,,
家庭服务机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,消费者协会,http://www.cac.gov.cn,,
社交机器人,0.8,m/s,0.3,m/s,1.1,m/s,0.4,m/s,字符型,社会科学研究院,http://www.ssrc.org,,
环境监测机器人,1.9,m/s,0.8,m/s,2.9,m/s,1.4,m/s,字符型,环境保护部,https://www.meep.gov.cn,,
能源管理机器人,1.7,m/s,0.6,m/s,3.1,m/s,1.2,m/s,字符型,国家能源局,http://www.nea.gov.cn,,
安全检查机器人,2.3,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,工业安全局,http://www.cosha.gov.cn,,
建筑工作机器人,1.4,m/s,0.5,m/s,2.7,m/s,1.1,m/s,字符型,住房和城乡建设部,http://www.mohurd.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
送餐机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.5,m/s,字符型,餐饮行业发展研究中心,http://www.restaurant-research.org,,
巡逻机器人,1.8,m/s,0.5,m/s,2.5,m/s,1.4,m/s,字符型,公安部,http://www.mps.gov.cn,,
配送机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,物流科技协会,http://www.logisticstech.org,,
教育机器人,1.0,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,教育部,http://www.moe.gov.cn,,
建筑机器人,2.0,m/s,0.7,m/s,3.0,m/s,1.5,m/s,字符型,国家建筑标准设计院,http://www.nbs.gov.cn,,
家庭服务机器人,0.8,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国家用电器协会,http://www.chea.org.cn,,
救援机器人,1.6,m/s,0.6,m/s,2.2,m/s,1.2,m/s,字符型,应急管理部,http://www.mem.gov.cn,,
巡检机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,国家能源局,http://www.nea.gov.cn,,
消防无人机,3.5,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,国家森林消防队,http://www.forestfire.gov.cn,,
海洋研究机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国科学院海洋研究所,http://www.ioz.cas.cn,,
安防机器人,1.9,m/s,0.8,m/s,2.5,m/s,1.3,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
空中投送机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,中国航天科技集团,http://www.casic.cn,,
护理机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国护理协会,http://www.cna.org.cn,,
仓储机器人,2.4,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国仓储协会,http://www.cwa.org.cn,,
送药机器人,0.7,m/s,0.2,m/s,1.2,m/s,0.4,m/s,字符型,中国药品监督管理局,http://www.nmpa.gov.cn,,
货运无人机,3.0,m/s,1.0,m/s,4.0,m/s,1.3,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
工业机器人,2.3,m/s,0.9,m/s,3.0,m/s,1.2,m/s,字符型,工业和信息化部,http://www.miit.gov.cn,,
食品配送机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中国食品配送协会,http://www.cfdw.org,,
农业机器人,3.5,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,农业部科技司,http://www.moa.gov.cn,,
救援机器人,2.0,m/s,0.5,m/s,3.0,m/s,1.5,m/s,字符型,中国应急救援学会,http://www.emergencyrescue.org.cn,,
农业无人机,5.0,m/s,1.2,m/s,7.0,m/s,2.5,m/s,字符型,国际无人机协会,https://www.iwu.org,,
道路监测机器人,2.5,m/s,0.7,m/s,3.5,m/s,1.8,m/s,字符型,国家交通安全委员会,https://www.nsc.gov.cn,,
智能陪伴机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国智能科技发展研究中心,http://www.zkd.org.cn,,
清理海洋垃圾机器人,1.5,m/s,0.3,m/s,2.0,m/s,1.0,m/s,字符型,世界海洋保护协会,https://www.oceanprotection.org,,
智能修复机器人,2.2,m/s,0.8,m/s,3.0,m/s,1.4,m/s,字符型,未来工业研究院,http://www.futureindustry.org,,
家庭助理机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,消费电子协会,http://www.ce.org.cn,,
仓储机器人,3.0,m/s,1.0,m/s,5.0,m/s,2.0,m/s,字符型,国际仓储与物流协会,https://www.warehouseassociation.org,,
建筑机器人,2.8,m/s,0.9,m/s,4.0,m/s,1.8,m/s,字符型,建筑业协会,http://www.buildingindustry.org,,
探测机器人,1.7,m/s,0.6,m/s,2.8,m/s,1.2,m/s,字符型,科学探测研究中心,http://www.explorationresearch.org,,
安全巡逻机器人,2.6,m/s,1.1,m/s,3.8,m/s,1.5,m/s,字符型,公共安全部,http://www.publicsafety.gov.cn,,
火灾监测机器人,1.1,m/s,0.6,m/s,1.5,m/s,0.9,m/s,字符型,消防技术研究中心,http://www.firetech.org.cn,,
智能钱包机器人,1.9,m/s,0.4,m/s,2.3,m/s,1.0,m/s,字符型,国家金融科技协会,http://www.fintech.org.cn,,
个人卫生机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,健康科技发展协会,http://www.healthtech.org.cn,,
运输智能机器人,3.2,m/s,1.0,m/s,4.5,m/s,1.5,m/s,字符型,运输科技研究所,http://www.transporttech.org.cn,,
水下探测机器人,1.4,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,海洋科学研究院,http://www.oceanresearch.ac.cn,,
农业机器人,1.6,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国农业机械化协会,http://www.cama.org.cn,,
安保机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.5,m/s,字符型,中国安防协会,http://www.chinaase.com,,
快递配送机器人,2.0,m/s,0.9,m/s,3.5,m/s,1.1,m/s,字符型,春节快递委员会,http://www.chinapost.com.cn,,
消防机器人,1.7,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国消防协会,http://www.fire.gov.cn,,
教育机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
清洁机器人,1.2,m/s,0.7,m/s,1.5,m/s,0.5,m/s,字符型,家电市场研究中心,http://www.appliancesmarket.org,,
工业机器人,3.5,m/s,1.0,m/s,5.5,m/s,2.0,m/s,字符型,中国工业和信息化部,http://www.miit.gov.cn,,
访客服务机器人,1.8,m/s,0.9,m/s,2.4,m/s,1.2,m/s,字符型,旅游局,http://www.travel.gov.cn,,
救援机器人,1.0,m/s,0.4,m/s,3.0,m/s,1.0,m/s,字符型,红十字会,http://www.redcross.org.cn,,
娱乐机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.7,m/s,字符型,文化和旅游部,http://www.mct.gov.cn,,
家庭服务机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.4,m/s,字符型,中国服务机器人研究院,http://www.csria.org,,
临床助手机器人,1.4,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
水下机器人,1.8,m/s,0.5,m/s,2.6,m/s,1.1,m/s,字符型,海洋局,http://www.ocean.gov.cn,,
公共安全机器人,2.0,m/s,0.7,m/s,3.1,m/s,1.2,m/s,字符型,公安部,http://www.mps.gov.cn,,
社交机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,人工智能研究院,http://www.ai-research.org,,
测试专用机器人,3.8,m/s,1.5,m/s,4.8,m/s,2.4,m/s,字符型,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,,
快餐配送机器人,1.9,m/s,0.6,m/s,2.3,m/s,1.1,m/s,字符型,餐饮行业协会,http://www.caterers.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
陪伴机器人,0.7,m/s,0.3,m/s,0.8,m/s,0.5,m/s,字符型,人工智能发展研究中心,http://www.ai-research.org,,
探索机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.8,m/s,字符型,国家宇航局,https://www.nasa.gov,,
仓储机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,中国电子商务协会,http://www.ceba.org.cn,,
安防机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
教育机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
物流无人机,3.5,m/s,1.2,m/s,5.0,m/s,2.5,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
送餐机器人,1.5,m/s,0.4,m/s,2.0,m/s,0.8,m/s,字符型,餐饮行业协会,https://www.restaurantassociations.org,,
巡逻机器人,1.8,m/s,0.7,m/s,2.3,m/s,1.4,m/s,字符型,公共安全管理局,http://www.psib.gov.cn,,
消防无人机,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,国家消防救援局,http://www.nfpa.gov.cn,,
扫雪机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.6,m/s,字符型,气象局,http://www.cma.gov.cn,,
医疗辅助机器人,1.2,m/s,0.5,m/s,1.6,m/s,0.7,m/s,字符型,中国医疗机器人学会,http://www.cmrs.org,,
工地机器人,1.9,m/s,0.8,m/s,2.8,m/s,1.2,m/s,字符型,建设部,http://www.mohurd.gov.cn,,
清扫无人机,3.0,m/s,1.5,m/s,4.5,m/s,2.0,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
矿山机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,中国矿业大学,http://www.cumtb.edu.cn,,
邮政快递机器人,2.2,m/s,0.9,m/s,3.0,m/s,1.3,m/s,字符型,中国邮政快递集团公司,http://www.chinapost.com.cn,,
油气勘探机器人,2.8,m/s,1.3,m/s,4.0,m/s,2.0,m/s,字符型,中国石油天然气集团公司,http://www.cnpc.com.cn,,
探险机器人,2.0,m/s,1.0,m/s,2.2,m/s,1.4,m/s,字符型,中国探险协会,http://www.chinadventure.org,,
农业机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.6,m/s,字符型,中国农业机械化协会,http://www.camda.cn,,
教育机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
送餐机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,餐饮服务协会,http://www.caic.org.cn,,
巡逻机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,安全监控协会,http://www.security.org,,
智能仓库机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,中国智能工业协会,http://www.ciiia.org.cn,,
探测机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,科技日报,http://www.stdaily.com,,
测绘机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,国家测绘局,http://www.nasg.gov.cn,,
娱乐陪伴机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国玩具和婴童用品协会,http://www.ccta.org.cn,,
远程医疗机器人,1.3,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,全国医疗机器人协会,http://www.nmr.org.cn,,
工地机器人,1.9,m/s,0.8,m/s,2.4,m/s,1.1,m/s,字符型,建筑工程协会,http://www.ceia.org.cn,,
防火机器人,1.7,m/s,0.4,m/s,2.1,m/s,1.0,m/s,字符型,消防技术研究院,http://www.fire-research.org.cn,,
清扫机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,环境保护部,http://www.epa.gov.cn,,
快递机器人,2.4,m/s,1.0,m/s,3.5,m/s,1.6,m/s,字符型,全国物流快递协会,http://www.cep.org.cn,,
货运机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,,
探索机器人,2.1,m/s,0.9,m/s,3.0,m/s,1.4,m/s,字符型,中国太空科技集团,http://www.casc.gov.cn,,
巡航机器人,1.4,m/s,0.6,m/s,2.2,m/s,0.9,m/s,字符型,海洋与渔业部,http://www.moa.gov.cn,,
还原机器人,2.7,m/s,1.1,m/s,3.3,m/s,1.5,m/s,字符型,国家全面绿色发展委员会,http://www.green-development.gov.cn,,
测绘机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国测绘局,http://www.sbsm.gov.cn,,
教育机器人,0.9,m/s,0.2,m/s,1.1,m/s,0.4,m/s,字符型,教育部,http://www.moe.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
送餐机器人,1.1,m/s,0.4,m/s,2.0,m/s,0.8,m/s,字符型,中国餐饮协会,http://www.cook.org.cn,,
安防机器人,1.4,m/s,0.6,m/s,2.2,m/s,1.1,m/s,字符型,中国安全防范产品行业协会,http://www.aspa.org.cn,,
仓储机器人,1.9,m/s,0.9,m/s,2.7,m/s,1.5,m/s,字符型,国际仓储协会,http://www.warehousing.org,,
老年护理机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国老龄事业发展基金会,http://www.clf.org.cn,,
消防机器人,1.6,m/s,0.5,m/s,3.0,m/s,1.8,m/s,字符型,中华全国消防协会,http://www.cfa.org.cn,,
快递机器人,2.5,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,快递行业协会,http://www.express.org.cn,,
医疗机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国卫生健康委员会,https://www.nhc.gov.cn,,
调度机器人,2.0,m/s,0.5,m/s,3.0,m/s,1.2,m/s,字符型,国际调度协会,http://www.dispatch.org,,
货运机器人,2.8,m/s,1.2,m/s,3.5,m/s,1.5,m/s,字符型,国际物流协会,https://www.international-logistics.org,,
巡逻机器人,1.2,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,公共安全部,http://www.mps.gov.cn,,
室内导航机器人,1.3,m/s,0.3,m/s,2.0,m/s,0.5,m/s,字符型,室内技术研究所,http://www.indoor-tech.org,,
安检机器人,1.4,m/s,0.6,m/s,2.3,m/s,1.0,m/s,字符型,国家安全检查局,http://www.nsa.gov.cn,,
物流运输机器人,2.1,m/s,0.9,m/s,2.8,m/s,1.3,m/s,字符型,国际货运协会,http://www.freight.org,,
灭火机器人,1.5,m/s,0.7,m/s,2.4,m/s,1.2,m/s,字符型,全国消防技术中心,http://www.nfsc.org.cn,,
导航机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,中国导航技术研究院,http://www.navi-tech.org.cn,,
农业机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,农业部,https://www.moa.gov.cn,,
探测机器人,2.0,m/s,0.6,m/s,3.0,m/s,1.5,m/s,字符型,国家气象局,http://www.cma.gov.cn,,
制造业机器人,2.8,m/s,1.0,m/s,3.8,m/s,1.7,m/s,字符型,中国制造业协会,http://www.cmia.gov.cn,,
水下机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,海洋与渔业部,http://www.moa.gov.cn,,
送餐机器人,1.4,m/s,0.5,m/s,2.0,m/s,1.1,m/s,字符型,餐饮行业协会,http://www.catering.org.cn,,
矿业机器人,3.0,m/s,1.3,m/s,4.2,m/s,2.0,m/s,字符型,中国矿业总局,http://www.mlr.gov.cn,,
快递机器人,2.5,m/s,0.8,m/s,3.5,m/s,1.4,m/s,字符型,中国快递协会,http://www.cfe.org.cn,,
安防机器人,1.6,m/s,0.9,m/s,2.4,m/s,1.1,m/s,字符型,公安部,http://www.mps.gov.cn,,
家庭陪伴机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国家居行业协会,http://www.chinahome.org.cn,,
维修机器人,2.4,m/s,0.8,m/s,3.1,m/s,1.3,m/s,字符型,中国机械工程学会,http://www.cmes.org.cn,,
教育机器人,1.7,m/s,0.6,m/s,2.8,m/s,1.0,m/s,字符型,教育部,http://www.moe.gov.cn,,
仓储机器人,2.3,m/s,0.9,m/s,3.5,m/s,1.6,m/s,字符型,全国仓储物流协会,http://www.nwl.org.cn,,
障碍物检测机器人,1.2,m/s,0.4,m/s,1.9,m/s,0.8,m/s,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
博物馆导览机器人,0.8,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,国家文化和旅游部,http://www.mct.gov.cn,,
修理机器人,1.9,m/s,0.7,m/s,2.9,m/s,1.4,m/s,字符型,中国工程机械工业协会,http://www.ceca.org.cn,,
医疗健康监测机器人,0.9,m/s,0.4,m/s,1.0,m/s,0.3,m/s,字符型,国家药监局,https://www.nmpa.gov.cn,,
无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,中国无人机行业协会,http://www.uav.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
仓储机器人,2.0,m/s,0.5,m/s,3.0,m/s,1.5,m/s,字符型,阿里巴巴集团,https://www.alibaba.com,,
扫地机器人,0.7,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,中国家电协会,http://www.ceac.org.cn,,
工业机器人,3.0,m/s,0.8,m/s,4.5,m/s,1.5,m/s,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
配送机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.1,m/s,字符型,顺丰快递,http://www.sf-express.com,,
陪伴机器人,1.0,m/s,0.4,m/s,1.2,m/s,0.5,m/s,字符型,中国老龄协会,http://www.cla.org.cn,,
特种机器人,2.8,m/s,1.0,m/s,4.0,m/s,1.8,m/s,字符型,中国公安部,http://www.mps.gov.cn,,
商用清洁机器人,1.2,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国商业协会,http://www.chinabusiness.org,,
安保机器人,3.2,m/s,1.0,m/s,5.0,m/s,2.0,m/s,字符型,国家安全部,http://www.mps.gov.cn/safe,,
教育机器人,1.6,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,教育部,http://www.moe.gov.cn,,
餐饮服务机器人,1.4,m/s,0.5,m/s,1.8,m/s,0.4,m/s,字符型,中国餐饮行业协会,http://www.caiyun.org.cn,,
智能玩具机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,玩具协会,http://www.toyassociation.org,,
科研机器人,1.9,m/s,0.8,m/s,3.3,m/s,1.2,m/s,字符型,国家科技部,http://www.most.gov.cn,,
移动医疗机器人,1.7,m/s,0.6,m/s,2.4,m/s,0.9,m/s,字符型,国家医学科学院,http://www.nhcc.org.cn,,
智能建筑机器人,2.0,m/s,0.7,m/s,3.0,m/s,1.4,m/s,字符型,中国建筑集团,http://www.cscec.com,,
无人机,4.5,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
护理机器人,1.1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
干预机器人,2.5,m/s,1.1,m/s,3.3,m/s,1.0,m/s,字符型,国际人道主义组织,http://www.ihfo.org,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,国家农业部,https://www.moa.gov.cn,,
物流机器人,2.5,m/s,0.9,m/s,3.2,m/s,1.8,m/s,字符型,中国物流与采购联合会,http://www.clpa.org,,
消防机器人,1.9,m/s,0.7,m/s,2.9,m/s,1.5,m/s,字符型,消防协会,http://www.fireassociation.org,,
巡逻机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,国家安全部,https://www.mps.gov.cn,,
陪伴机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.5,m/s,字符型,社交机器人研究中心,http://www.socialrobotics.org.cn,,
特种机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.2,m/s,字符型,军民融合发展委员会,http://www.mnd.gov.cn,,
递送机器人,1.6,m/s,0.5,m/s,2.1,m/s,0.8,m/s,字符型,电子商务研究中心,http://www.emarketing.org.cn,,
快递配送机器人,1.4,m/s,0.4,m/s,2.0,m/s,1.0,m/s,字符型,中国快递协会,http://www.courier.com.cn,,
养老服务机器人,0.7,m/s,0.2,m/s,1.1,m/s,0.3,m/s,字符型,中国老龄科学研究中心,http://www.cbad.org.cn,,
物流配送机器人,2.3,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,国家物流信息平台,http://www.logistics.gov.cn,,
教育机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
家务助手机器人,1.1,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,家电产品研发中心,http://www.appliance.gov.cn,,
货柜自动化机器人,2.7,m/s,1.1,m/s,3.1,m/s,1.8,m/s,字符型,中国仓储协会,http://www.warehousing.org.cn,,
港口搬运机器人,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,国际港口协会,http://www.portassociation.org,,
医疗辅助机器人,1.4,m/s,0.6,m/s,1.9,m/s,1.0,m/s,字符型,国家医疗设备管理中心,http://www.nhcm.gov.cn,,
餐饮服务机器人,1.0,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,中国饭店协会,http://www.chinahotel.org.cn,,
