机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
教育机器人,大学实验室,3.0,米,4.0,米,0.4,米,8,国家教育部,http://www.moe.gov.cn,,
服务机器人,餐厅,4.8,米,6.1,米,0.3,米,9,中国餐饮协会,http://www.cooking.org.cn,,
工业机器人,生产车间,3.5,米,4.0,米,0.5,米,10,工业和信息化部,http://www.miit.gov.cn,,
救援机器人,山灾救援,8.5,米,9.5,米,0.7,米,25,国家应急管理部,http://www.mem.gov.cn,,
移动机器人,步行街,5.2,米,7.0,米,0.5,米,13,城市交通管理局,http://www.trafficmanagement.gov.cn,,
移动机器人,商业区,6.8,米,8.2,米,0.4,米,15,国家智能交通系统中心,http://www.nitts.cn,,
医疗机器人,医院急诊室,1.1,米,1.5,米,0.2,米,3,国际医学中心,http://www.imc.org.cn,,
移动机器人,机场候机厅,7.0,米,9.0,米,0.55,米,12,中国民用航空局,http://www.caac.gov.cn,,
教育机器人,培训中心,2.2,米,3.0,米,0.3,米,7,教育技术资讯网,http://www.edutechnews.com,,
农业机器人,农田收割,11.0,米,13.3,米,0.9,米,16,中国农村发展研究中心,http://www.ruraldev.org.cn,,
服务机器人,购物中心,3.8,米,4.9,米,0.2,米,8,中国商业联合会,http://www.cbc.org.cn,,
救援机器人,海域救援,9.5,米,11.0,米,1.0,米,22,国家海洋局,http://www.soa.gov.cn,,
工业机器人,物流配送中心,2.0,米,2.5,米,0.3,米,9,中国物流与采购联合会,http://www.cpfl.org.cn,,
移动机器人,地铁站,4.5,米,5.0,米,0.3,米,10,地铁运营公司,http://www.subway.com,,
医疗机器人,药品配送中心,1.4,米,1.9,米,0.2,米,4,中国药品监管局,http://www.nmpa.gov.cn,,
物流机器人,自动化仓储,3.0,米,3.5,米,0.2,米,5,中国物流与采购联合会,http://www.chinawuliu.com,,
安保机器人,商业中心,4.5,米,5.0,米,0.3,米,8,中国安防协会,http://www.cps.gov.cn,,
清洁机器人,公共卫生间,1.5,米,2.2,米,0.15,米,3,清洁技术研究中心,http://www.cleantech.org.cn,,
娱乐机器人,游乐场,3.8,米,4.5,米,0.5,米,10,人工智能与娱乐技术协会,http://www.ai-entertainment.org,,
工业机器人,制造工厂,2.0,米,2.5,米,0.4,米,6,中国机电工程学会,http://www.cema.org.cn,,
仓储机器人,分拣中心,5.2,米,6.0,米,0.7,米,9,中国供应链管理协会,http://www.cscm.org.cn,,
配送机器人,居民区,7.1,米,8.0,米,0.9,米,12,全球配送技术研究院,http://www.globaldelivery.org,,
社交机器人,社区中心,2.5,米,3.1,米,0.2,米,4,社会机器人研究所,http://www.socialrobotics.org,,
陪伴机器人,老年人养老院,1.0,米,1.2,米,0.1,米,2,健康养老科技中心,http://www.seniortech.org.cn,,
运输机器人,医院病房,3.3,米,4.2,米,0.3,米,5,中国医疗服务协会,http://www.chinamed.org.cn,,
探索机器人,自然保护区,8.0,米,9.5,米,1.0,米,15,生态环境部,http://www.mee.gov.cn,,
服务机器人,餐厅,3.1,米,4.0,米,0.4,米,7,餐饮科技研究中心,http://www.restaurantech.org.cn,,
虚拟助手机器人,商业办公室,2.3,米,2.8,米,0.2,米,4,智能办公技术发展协会,http://www.intelligentoffice.org,,
教育机器人,在线学习平台,1.0,米,1.5,米,0.1,米,3,教育云平台研究组织,http://www.educationcloud.org,,
收割机器人,农田,6.5,米,7.5,米,0.6,米,10,农村科技促进会,http://www.ruraltech.org.cn,,
检修机器人,发电厂,4.6,米,5.0,米,0.4,米,8,中国电力学会,http://www.cps.org.cn,,
评估机器人,建筑施工现场,7.0,米,8.5,米,0.5,米,11,中国建筑科学研究院,http://www.cbsw.cn,,
物流机器人,配送中心,3.1,米,3.8,米,0.4,米,10,中国物流与采购联合会,http://www.chinapta.org.cn,,
接待机器人,旅游景点,4.2,米,5.1,米,0.5,米,8,中国旅游研究院,http://www.cta.gov.cn,,
安保机器人,大型活动现场,12.0,米,14.5,米,0.9,米,25,中国安全生产协会,http://www.csafety.org.cn,,
清洁机器人,商业大厦,7.0,米,8.2,米,0.6,米,9,环境保护部,http://www.mee.gov.cn,,
智能导游机器人,博物馆,3.5,米,4.5,米,0.3,米,5,文化和旅游部,http://www.mct.gov.cn,,
外卖配送机器人,居民小区,1.8,米,2.5,米,0.2,米,3,新兴科技发展研究中心,http://www.innovatechin.com,,
救援机器人,火灾现场,10.0,米,11.5,米,1.0,米,18,消防总队,http://www.cfa.gov.cn,,
家政服务机器人,家庭环境,2.2,米,3.0,米,0.5,米,7,居家养老研究中心,http://www.carehome.org.cn,,
配送机器人,商业街区,6.7,米,8.0,米,0.7,米,12,中国送货服务行业协会,http://www.express.org.cn,,
健康监测机器人,老年人居住区,1.5,米,2.0,米,0.1,米,4,中国老龄协会,http://www.cnagu.org,,
社区服务机器人,公园,4.0,米,5.0,米,0.4,米,6,城市发展研究院,http://www.urbanresearch.cn,,
送餐机器人,学校食堂,2.8,米,3.2,米,0.3,米,5,学术餐饮研究中心,http://www.diningresearch.org.cn,,
智能搬运机器人,工厂车间,5.5,米,6.5,米,0.3,米,8,中国智能制造技术研究院,http://www.chinaimt.org.cn,,
配送无人机,城市空域,2.0,米,2.5,米,0.2,米,9,中国无人机科技协会,http://www.uavtech.org.cn,,
环境监测机器人,污染区域,8.0,米,9.5,米,0.7,米,12,环境监测局,http://www.sepa.gov.cn,,
陪伴机器人,养老院,1.0,米,1.5,米,0.1,米,3,中国社会福利协会,http://www.chinaswf.org.cn,,
农业监测机器人,稻田,15.0,米,16.5,米,1.0,米,20,国家农业科技中心,http://www.nact.gov.cn,,
医疗机器人,医院急救室,1.5,米,2.0,米,0.1,米,5,中国医疗技术开发中心,https://www.cmtech.org.cn,,
农业机器人,温室大棚,9.2,米,10.5,米,0.75,米,10,全国农业科学院,http://www.caas.cn,,
工业机器人,制造车间,3.8,米,4.2,米,0.4,米,8,中国工业协会,https://www.cia.org.cn,,
服务机器人,餐厅,2.9,米,3.7,米,0.25,米,6,中国智能服务联合会,https://www.serviceai.org.cn,,
救援机器人,山地救援,11.0,米,12.5,米,1.1,米,25,消防救援局,https://www.fire.gov.cn,,
教育机器人,在线教育平台,4.0,米,5.0,米,0.3,米,3,中国教育信息化研究院,https://www.icee.org.cn,,
物流机器人,电商仓库,7.4,米,8.3,米,0.5,米,15,中国物流与采购联合会,https://www.cla.org.cn,,
农业机器人,田间作业,6.3,米,7.8,米,0.9,米,12,农业机械化研究所,https://www.agri-mc.org.cn,,
移动机器人,公园小道,3.5,米,4.5,米,0.4,米,9,城市导航研究中心,https://www.urbanmap.org.cn,,
救援机器人,水灾现场,8.7,米,10.2,米,0.7,米,18,灾后恢复中心,https://www.recovery.org.cn,,
医疗机器人,老年护理院,2.1,米,2.5,米,0.1,米,4,老年医学会,https://www.geriatricmedicine.org.cn,,
服务机器人,机场通道,4.1,米,5.3,米,0.45,米,10,民航局,https://www.caac.gov.cn,,
教育机器人,培训中心,3.0,米,3.8,米,0.2,米,7,全国教育评价中心,https://www.neec.edu.cn,,
物流机器人,快递配送中心,5.8,米,6.7,米,0.6,米,14,货运物流协会,https://www.freight.org.cn,,
移动机器人,购物中心,5.0,米,6.0,米,0.4,米,11,商业协会,https://www.commercial.org.cn,,
救援机器人,矿山事故现场,12.2,米,13.5,米,1.0,米,22,矿业安全监督局,https://www.mining-safety.gov.cn,,
农田机器人,水稻田,7.1,米,8.0,米,0.5,米,13,国家农业部,https://www.moa.gov.cn,,
教育机器人,图书馆,2.0,米,2.6,米,0.2,米,6,全国图书馆协会,https://www.nla.org.cn,,
服务机器人,健身房,3.2,米,4.5,米,0.35,米,9,体育卫生协会,https://www.sportshealth.org.cn,,
家庭清洁机器人,家庭客厅,3.0,米,4.2,米,0.4,米,5,家居科技研究院,https://www.hometech.org.cn,,
安防机器人,购物中心,7.0,米,8.5,米,0.5,米,9,公共安全科技部,https://www.psafety.gov.cn,,
遥控机器人,军事实验场,10.0,米,11.5,米,1.0,米,13,军工科技中心,https://www.militarytech.cn,,
快递配送机器人,城市街道,4.5,米,6.0,米,0.3,米,8,城市物流发展中心,https://www.urbanlogistics.org,,
娱乐机器人,游乐园,2.0,米,3.0,米,0.2,米,6,人工智能娱乐研究所,https://www.entertainmentai.org,,
仓储机器人,大型超市,5.5,米,7.0,米,0.5,米,12,零售行业协会,https://www.retailassn.cn,,
环境监测机器人,污染区域,8.0,米,10.0,米,0.6,米,14,环境保护部,https://www.epa.gov.cn,,
陪伴机器人,养老院,3.2,米,4.0,米,0.1,米,5,老龄事业发展中心,https://www.seniorservices.org.cn,,
物流机器人,配送中心,6.0,米,7.5,米,0.7,米,10,智能物流研究院,https://www.smartlogistics.org,,
探测机器人,地震灾害区,4.2,米,5.5,米,0.4,米,15,灾害应急管理中心,https://www.emergency.gov.cn,,
安置机器人,灾后重建区,7.5,米,9.0,米,0.5,米,18,社会福祉研究院,https://www.socialwelfare.org.cn,,
野外探险机器人,山地探险,9.0,米,11.0,米,0.9,米,20,野外生物研究中心,https://www.wildlife.org.cn,,
智能巡逻机器人,学校校园,3.8,米,4.5,米,0.3,米,8,教育安全研究中心,https://www.edusafety.org.cn,,
海洋探测机器人,海洋研究基地,5.5,米,6.8,米,0.7,米,12,海洋科学研究院,https://www.oceanresearch.cn,,
无人驾驶机器人,城市道路,6.2,米,7.4,米,0.4,米,10,交通智能化研究院,https://www.smarttraffic.org.cn,,
外科手术机器人,手术室,1.5,米,2.0,米,0.1,米,5,中国外科学会,https://www.surgery.org.cn,,
快递机器人,居民小区,3.6,米,4.8,米,0.5,米,7,智能配送系统研究所,https://www.deliveryai.org.cn,,
服务机器人,购物中心,3.2,米,4.0,米,0.3,米,5,智能家居技术研发中心,https://www.smart-home.org,,
工业机器人,汽车制造厂,2.1,米,3.2,米,0.25,米,8,中国机械工业协会,https://www.cami.org.cn,,
医疗机器人,老年护理院,1.5,米,2.0,米,0.1,米,3,老龄化社会研究中心,https://www.ageing.org.cn,,
农业机器人,果园,14.3,米,15.5,米,0.7,米,20,现代农业研究所,https://www.modernagriculture.org,,
救援机器人,地震灾区,8.7,米,9.5,米,0.95,米,25,紧急救援科学研究中心,https://www.emergencyresearch.org,,
移动机器人,机场航站楼,5.0,米,6.5,米,0.4,米,10,民用航空局,https://www.caa.gov.cn,,
教育机器人,在线课堂,2.0,米,2.5,米,0.1,米,5,教育部,https://www.moe.gov.cn,,
服务机器人,餐厅,3.5,米,4.5,米,0.3,米,6,中国服务机器人研发中心,https://www.chinaservicebot.org,,
农业机器人,田间,10.8,米,12.0,米,0.5,米,18,农田管理与科学研究所,https://www.farmmanagement.org,,
移动机器人,商场通道,4.2,米,5.5,米,0.2,米,9,市场研究与咨询公司,https://www.mrc.org,,
救援机器人,滑坡区域,7.2,米,8.0,米,0.8,米,22,城市救援技术研究所,https://www.urbanrescue.org,,
工业机器人,石油钻探现场,3.9,米,5.1,米,0.4,米,12,国家石油与化工协会,https://www.nppca.org,,
教育机器人,科学实验室,2.2,米,2.9,米,0.15,米,4,科技教育研究所,https://www.stemedu.org,,
医疗机器人,急救中心,1.5,米,2.2,米,0.2,米,4,紧急医疗服务协会,https://www.ems.org.cn,,
移动机器人,大学校园,4.8,米,6.0,米,0.5,米,9,高校机器人技术研究中心,https://www.universityrobotics.org,,
农业机器人,养殖场,11.5,米,13.0,米,0.9,米,14,智慧农业实验室,https://www.smartagriculture.org,,
救援机器人,火灾现场,6.3,米,7.6,米,0.7,米,21,消防救援科技研究室,https://www.firetech.org,,
公共卫生机器人,疫情防控中心,1.3,米,1.9,米,0.1,米,5,公共卫生科技研究中心,https://www.publichealthtech.org,,
医疗机器人,ICU病房,1.5,米,2.1,米,0.3,米,5,全国卫生健康委员会,http://www.nhfpc.gov.cn,,
农业机器人,农田灌溉系统,10.5,米,11.3,米,0.5,米,9,农业科学院,http://www.caas.cn,,
教育机器人,大学实验室,3.0,米,4.2,米,0.25,米,8,中国教育部,http://www.moe.gov.cn,,
服务机器人,购物中心,4.5,米,6.0,米,0.4,米,10,中国商业联合会,http://www.ccc.org.cn,,
工业机器人,自动化生产线,2.2,米,3.6,米,0.2,米,6,中国工业和信息化部,http://www.miit.gov.cn,,
救援机器人,山地灾后救援,8.7,米,9.8,米,1.0,米,15,中国应急管理部,http://www.mem.gov.cn,,
移动机器人,大学校园,5.5,米,7.0,米,0.75,米,12,高等教育技术研究中心,http://www.hetc.org.cn,,
移动机器人,步行街区,6.8,米,8.3,米,0.65,米,14,城市规划设计研究院,http://www.updi.gov.cn,,
医疗机器人,手术室,2.0,米,2.8,米,0.1,米,4,中国医学科学院,https://www.cams.ac.cn,,
救援机器人,森林火灾救援,7.0,米,9.5,米,0.7,米,18,国家林业和草原局,http://www.forestry.gov.cn,,
工业机器人,汽车制造车间,3.5,米,4.0,米,0.3,米,8,中国汽车工业协会,http://www.caiia.org.cn,,
教育机器人,培训中心,2.5,米,3.0,米,0.2,米,7,中国教育研究院,http://www.ncer.org.cn,,
服务机器人,机场候机厅,4.8,米,5.9,米,0.5,米,11,中国民航局,http://www.caac.gov.cn,,
移动机器人,科技展会,7.5,米,9.0,米,0.4,米,13,中国科技馆,http://www.science.museum.cn,,
农业机器人,水稻种植区,15.5,米,17.0,米,1.2,米,16,中国作物科学研究院,http://www.cropsci.org.cn,,
医疗机器人,心理咨询室,1.0,米,1.5,米,0.1,米,3,心理健康中心,http://www.mentalhealth.gov.cn,,
移动机器人,智能快递取件点,6.3,米,7.8,米,0.5,米,10,中国快递协会,http://www.courier.org.cn,,
服务机器人,餐馆厨房,3.2,米,4.1,米,0.15,米,9,中华餐饮协会,http://www.culinary.org.cn,,
清洁机器人,办公室楼层,3.2,米,3.8,米,0.2,米,5,中国清洁技术研究中心,http://www.cleantech.cn,,
工业机器人,生产线,4.8,米,5.2,米,0.3,米,10,中国制造业发展协会,https://www.cmda.org.cn,,
无人机,农业田野,15.0,米,16.0,米,0.5,米,12,农业无人机应用研究所,http://www.uav-agri.cn,,
运送机器人,医院走廊,2.0,米,2.5,米,0.1,米,6,医院管理协会,https://www.hospitaladmin.org,,
巡逻机器人,购物中心,6.3,米,7.0,米,0.4,米,9,商业安全研究中心,http://www.commercialsecurity.cn,,
娱乐机器人,主题公园,3.5,米,4.0,米,0.15,米,8,娱乐科技学会,https://www.entertainmenttech.org,,
服务机器人,咖啡店,0.9,米,1.3,米,0.05,米,3,中国餐饮服务协会,http://www.cuisineservice.cn,,
辅助机器人,家庭环境,2.2,米,2.8,米,0.25,米,4,智能家居研究所,http://www.smart-home.tech,,
物流机器人,大仓库,7.4,米,7.8,米,0.6,米,14,物流与运输研究中心,http://www.logisticsresearch.cn,,
探测机器人,森林探险,11.5,米,12.0,米,0.7,米,16,环境科学研究院,http://www.envscience.org,,
安防机器人,大型活动现场,8.0,米,9.0,米,1.0,米,13,公共安全委员会,http://www.publicsafety.org,,
无人驾驶车,城市街道,10.0,米,12.0,米,0.5,米,17,智能交通系统研究中心,http://www.smartsystem.org,,
交互机器人,社区中心,5.0,米,5.5,米,0.4,米,10,社区服务协会,http://www.communityservices.cn,,
教育机器人,儿童游乐场,4.5,米,5.0,米,0.35,米,7,青少年教育研究中心,http://www.youthedu.org,,
掌中宝机器人,家庭厨房,1.5,米,1.9,米,0.2,米,3,未来科技研究所,http://www.futuristictech.cn,,
社交机器人,养老院,2.5,米,2.6,米,0.1,米,5,中国老龄化协会,http://www.aging.org.cn,,
物流无人车,配送中心,9.5,米,10.0,米,0.7,米,15,自动化物流研究机构,http://www.automatedlogistics.cn,,
安防机器人,商业中心,3.2,米,4.0,米,0.4,米,10,中国公共安全科技研究院,http://www.cpsri.gov.cn,,
物流机器人,配送中心,4.5,米,5.0,米,0.5,米,9,国家物流协会,https://www.nla.org.cn,,
清洁机器人,大型商场,2.0,米,3.3,米,0.2,米,5,环境科技研究所,http://www.envirotech.org.cn,,
安防机器人,住宅区,2.8,米,3.6,米,0.3,米,8,智能城市发展中心,http://www.smartcity.org.cn,,
食品配送机器人,大学校园,5.5,米,6.5,米,0.7,米,12,高校科技创新中心,http://www.unitech.edu.cn,,
巡逻机器人,公园,6.2,米,7.4,米,0.5,米,15,城市安全管理局,http://www.urbansafety.gov.cn,,
物流机器人,机场,10.0,米,12.0,米,1.0,米,18,国际机场协会,https://www.iaa.org,,
医疗机器人,医院走廊,1.5,米,2.0,米,0.1,米,4,国家健康工程研究中心,http://www.nhcrc.gov.cn,,
服务机器人,咖啡厅,3.4,米,4.1,米,0.2,米,6,餐饮科技协会,http://www.foodtech.org.cn,,
教育机器人,培训教室,2.9,米,3.7,米,0.4,米,8,在线教育研究院,http://www.onlineedu.org.cn,,
配送机器人,社区,4.4,米,5.3,米,0.6,米,10,城市配送发展中心,http://www.deliverycity.org.cn,,
农业机器人,智能农田,15.0,米,16.5,米,1.2,米,20,农业科技中心,http://www.agritech.org.cn,,
医疗机器人,疫苗接种站,1.8,米,2.5,米,0.2,米,5,疾病控制与预防中心,http://www.cdc.org.cn,,
清扫机器人,室内体育馆,3.0,米,3.8,米,0.3,米,9,城市环境管理局,http://www.ceg.gov.cn,,
救援机器人,山地救援,8.0,米,9.5,米,0.8,米,25,全国灾后重建中心,http://www.rcrc.org.cn,,
工业机器人,制造车间,2.2,米,2.9,米,0.2,米,7,中国工业局,http://www.cic.gov.cn,,
无人驾驶车辆,城市街道,8.5,米,10.0,米,0.5,米,15,国家智能交通研究院,http://www.smarttraffic.gov.cn,,
医疗机器人,老年护理中心,1.5,米,1.9,米,0.25,米,5,中国老年医学研究院,http://www.cagm.org.cn,,
农业机器人,果园,13.0,米,15.5,米,0.7,米,9,农业部科技司,http://www.moa.gov.cn,,
教育机器人,儿童游乐场,3.0,米,4.0,米,0.15,米,8,全国教育委员会,http://www.moe.gov.cn,,
服务机器人,餐馆厨房,5.0,米,6.3,米,0.3,米,5,中国餐饮业协会,http://www.ch178.com,,
工业机器人,汽车制造厂,7.5,米,9.0,米,0.4,米,12,中国机械工业联合会,http://www.cme.org.cn,,
救援机器人,山灾救援,8.0,米,9.2,米,0.85,米,15,国家应急管理部,http://www.mem.gov.cn,,
移动机器人,地铁站,4.8,米,6.0,米,0.5,米,10,城市轨道交通协会,http://www.cmtca.org,,
移动机器人,购物中心,7.2,米,8.5,米,0.6,米,9,全国物联网应用技术研究中心,http://www.iot.gov.cn,,
医疗机器人,专科医院,1.8,米,2.2,米,0.18,米,6,中国健康科技协会,http://www.chinahealth.org.cn,,
移动机器人,展览中心,6.2,米,7.5,米,0.4,米,10,中国展览馆协会,http://www.cea.org.cn,,
