公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
云启智能,人工智能驱动的客户服务,高效、安全的数据存储和检索平台,数据安全性强，访问速度快,大数据存储软件著作权,普莱特科技官网,https://www.plait.com/datastorage,2024-09-15,,,,,,,,,,,,
东方网信,量子计算技术,基于机器学习的自动化决策系统,提高决策效率，适应性强,人工智能软件著作权,云维科技官网,https://www.yunwei.com/ai,2024-09-15,,,,,,,,,,,,
数联科技,物联网解决方案,基于量子位的计算能力提升,计算速度极快，解决复杂问题,量子计算软件著作权,量子科技官网,https://www.quantumtech.com,2024-09-15,,,,,,,,,,,,
星辰网络,高可用性云存储技术,在数据源附近处理数据以提高响应速度,优化带宽使用，降低延迟,边缘计算软件著作权,极光网络官网,https://www.jiguangtech.com/edge-computing,2024-09-15,,,,,,,,,,,,
视联科技,视频分析技术,利用AI增强网络安全防护能力,实时检测入侵行为，智能风险评估,安全AI软件著作权,海云信息官网,https://www.haiyuninfo.com/aisecurity,2024-09-15,,,,,,,,,,,,
天霖软件,移动支付技术,工业4.0背景下的全流程数字化,提高生产效率，降低成本,智能制造软件著作权,深科技官网,https://www.shenkeji.com/smart-manufacturing,2024-09-15,,,,,,,,,,,,
亿通科技,智能合同技术,各类设备互联互通管理平台,实时数据监控，自动化管理,物联网管理软件著作权,光年信息官网,https://www.lightyearinfo.com/iot,2024-09-15,,,,,,,,,,,,
明视科技,增强现实技术,包含多种算法的机器学习基于云的解决方案,灵活的模型训练，支持多种数据格式,机器学习软件著作权,智联科技官网,https://www.zhiliantech.com/machine-learning,2024-09-15,,,,,,,,,,,,
星际科技,人工智能算法,通过3D打印实现复杂结构的材料制造,材料利用率高，设计灵活性强,增材制造软件著作权,蓝海科技官网,https://www.lanhaitech.com/additive-manufacturing,2024-09-15,,,,,,,,,,,,
未来数据,物联网解决方案,全面的数据质量检测和监测工具,确保数据的准确性、完整性和一致性,数据治理软件著作权,百川数据官网,https://www.baichuangdata.com/data-governance,2024-09-15,,,,,,,,,,,,
腾云科技,智能机器人系统,基于自然语言处理的自动客户支持,高效的客户服务，降低人工成本,智能客服软件著作权,联创网络官网,https://www.lianchuang.com/ai-customer-service,2024-09-15,,,,,,,,,,,,
蓝海智联,边缘计算平台,高速度的无线通信技术，适用于物联网,数据传输速率高，延迟低，连接大规模设备,5G通信管理软件著作权,华为技术官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
亿美科技,自然语言处理技术,基于数据驱动的智能决策系统,智能化程度高，支持多场景应用,人工智能平台软件著作权,阿里云官网,https://www.aliyun.com/product/ai,2024-09-15,,,,,,,,,,,,
智享网络,5G技术解决方案,设备连接与管理的综合解决方案,实时监控，数据整合，支持大规模设备,物联网管理软件著作权,天地伟业官网,https://www.tdway.com.cn/iot,2024-09-15,,,,,,,,,,,,
合创科技,量子计算技术,智能数据分析与处理服务,可扩展性强，计算速度快，支持多种数据格式,大数据云服务软件著作权,腾讯云官网,https://cloud.tencent.com/product/bd,2024-09-15,,,,,,,,,,,,
卓越创新,区块链追溯系统,机器对人类语言的理解与生成技术,提高人机交互效率，支持多语言,自然语言处理软件著作权,百度官网,https://ai.baidu.com/nlp,2024-09-15,,,,,,,,,,,,
科技前沿,虚拟助手技术,用于构建和部署机器学习模型的平台,模型训练速度快，支持多种算法,机器学习软件著作权,微软官网,https://www.microsoft.com/zh-cn/microsoft-365/azure-machine-learning,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,区块链商业平台,软件开发生命周期中的自动化测试解决方案,提高测试效率，缩短产品上市时间,自动化测试软件著作权,中软国际官网,http://www.china-soft.com/AutoTest,2024-09-15,,,,,,,,,,,,
腾讯科技,实时通信技术,集成视频监控与智能分析功能的系统,多种智能分析技术，提升安防效能,智能监控软件著作权,海康威视官网,https://www.hikvision.com/cn/products/video-surveillance,2024-09-15,,,,,,,,,,,,
用友网络科技,ERP智能管理系统,人工智能驱动的智能机器人研发与应用,高自动化水平，应用广泛，操作简单,机器人控制软件著作权,中科院官网,http://www.ia.cas.cn/,2024-09-15,,,,,,,,,,,,
金山办公,在线文档协作工具,集成家居设备的智能控制平台,一站式管理，支持远程控制与智能场景,智能家居软件著作权,小米官网,https://home.mi.com,2024-09-15,,,,,,,,,,,,
亿方云,云存储与文件管理系统,智能决策与预测分析系统,提升决策效率，支持实时数据处理,人工智能决策软件著作权,华为官网,https://www.huawei.com/cn/solutions/ai,2024-09-15,,,,,,,,,,,,
恒生电子,金融科技解决方案,可扩展的机器学习工作流管理系统,支持大规模数据训练与预测,机器学习管理软件著作权,阿里巴巴官网,https://www.alibaba.com/technology/ml,2024-09-15,,,,,,,,,,,,
美团点评,大数据营销分析平台,语言理解与生成的智能系统,高准确率，支持多种语言,自然语言处理软件著作权,百度官网,https://www.baidu.com/natural-language,2024-09-15,,,,,,,,,,,,
中兴通讯,人工智能助理技术,社交关系图谱分析与可视化,助力用户行为分析，提供个性化推荐,社交网络分析软件著作权,腾讯官网,https://www.tencent.com/cn/social-network,2024-09-15,,,,,,,,,,,,
腾讯科技,机器学习技术,设备管理与数据整合解决方案,支持多设备接入，数据实时监控,物联网管理软件著作权,软通动力官网,https://www.urwork.com/iot,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,区块链商业应用,安全的云数据存储与管理平台,高可用性，支持大数据存储,云存储管理软件著作权,联想官网,https://www.lenovo.com/cloud-storage,2024-09-15,,,,,,,,,,,,
奇安信集团,智谱安全防护方案,高速度低延迟的下一代移动通信技术,支撑万物互联，满足大数据传输,5G通信软件著作权,中兴官网,https://www.zte.com.cn/global/5g,2024-09-15,,,,,,,,,,,,
用友网络科技,企业资源规划（ERP）,智能化生产管理与优化系统,提升生产效率，降低生产成本,智能制造软件著作权,东软官网,https://www.neusoft.com/smart-manufacturing,2024-09-15,,,,,,,,,,,,
盛大网络,云游戏技术,文档自动化生成与编辑工具,提高文档处理效率，支持多人协作,智能文档处理软件著作权,金山办公官网,https://www.wps.com/office,2024-09-15,,,,,,,,,,,,
东方财富网,金融大数据分析,多维数据分析与可视化展示工具,支持实时数据监控与分析,数据可视化软件著作权,国华网路官网,https://www.glory.net.vn/data-visualization,2024-09-15,,,,,,,,,,,,
飞桨科技,智能视觉技术,深度学习及自然语言处理平台,大幅提升数据分析精度，自动化程度高,AI分析软件著作权,海云数据官网,https://www.haiyundata.com/ai,2024-09-15,,,,,,,,,,,,
飞天诚信,人工智能技术,支持设备端实时数据处理解决方案,减少延迟，提高数据响应速度,边缘计算软件著作权,快速云官网,https://www.kuaishuyun.com/edge,2024-09-15,,,,,,,,,,,,
星网宇达,边缘计算技术,利用AI技术进行商业决策支持,有效提高决策效率，获得深度洞察分析,决策支持软件著作权,逻辑思维官网,https://www.logicalthink.com/decision,2024-09-15,,,,,,,,,,,,
腾云科技,智能制造技术,前沿量子算法应用于数据处理,实现超高速计算，处理复杂问题,量子计算软件著作权,量子微官网,https://www.quantumtech.com/platform,2024-09-15,,,,,,,,,,,,
黑科技动力,5G通信技术,基于5G技术的工业互联网解决方案,实时监控，提升生产效率,智能制造软件著作权,乐云科技官网,https://www.lecloudtech.com/5g,2024-09-15,,,,,,,,,,,,
智钥科技,量子计算技术,提供全面的数据安全和合规解决方案,满足行业合规要求，保护数据隐私,云安全软件著作权,安恒科技官网,https://www.anhengtech.com/security,2024-09-15,,,,,,,,,,,,
云之端科技,智能数据湖技术,运用AI优化物流管理，降低成本,提升运输效率，实时跟踪能力强,物流管理软件著作权,未来之路官网,https://www.futurepath.com/logistics,2024-09-15,,,,,,,,,,,,
锐钧科技,自动化运维技术,提供身临其境的交互式体验,增强现实感受，提升用户满意度,虚拟现实应用软件著作权,远端科技官网,https://www.farendtech.com/vr,2024-09-15,,,,,,,,,,,,
海云数据,自然语言处理技术,对大数据进行直观展示的工具,帮助用户快速理解数据，提升决策效果,数据可视化软件著作权,智维科技官网,https://www.zhiwei-tech.com/visualization,2024-09-15,,,,,,,,,,,,
合力科技,增强现实技术,利用AI进行用户行为分析与测试,自动生成测试报告，缩短反馈周期,用户体验测试软件著作权,数点科技官网,https://www.shudiantech.com/user-experience,2024-09-15,,,,,,,,,,,,
恒星智能,视频智能分析技术,基于AI的智能化生产调度系统,优化生产流程，提高效率,智能制造软件著作权,云沃科技官网,https://www.yunwo.com/manufacturing,2024-09-15,,,,,,,,,,,,
华为技术,5G技术,分布式边缘计算架构,减少延迟，提升响应速度,边缘计算软件著作权,未来云官网,https://www.futurecloud.com/edge-computing,2024-09-15,,,,,,,,,,,,
阿里巴巴,人工智能技术,深度学习算法应用于数据分析,高准确率，实现自主学习,AI数据分析软件著作权,海云科技官网,https://www.haiyun.com/ai,2024-09-15,,,,,,,,,,,,
字节跳动,视频处理技术,智能设备互联解决方案,实时数据监控，智能决策支持,物联网管理软件著作权,智链科技官网,https://www.zhilian.com/iot,2024-09-15,,,,,,,,,,,,
freetrade,普适计算技术,高效能数据传输与通信网络,极低延迟，广泛接入能力,5G通信软件著作权,信通软件官网,https://www.xintong.com/5g,2024-09-15,,,,,,,,,,,,
联想,边缘计算技术,沉浸式虚拟体验平台,高度交互，仿真真实环境,虚拟现实软件著作权,万维网络官网,https://www.wanwei.com/vr,2024-09-15,,,,,,,,,,,,
深信服科技,人工智能技术,AR应用于教育与培训,提升学习兴趣与互动性,增强现实软件著作权,亿动科技官网,https://www.yidong.com/ar,2024-09-15,,,,,,,,,,,,
星环科技,边缘计算技术,数据模型自动生成与优化,高效数据模型训练，适应性强,机器学习软件著作权,引航科技官网,https://www.yinhang.com/ml,2024-09-15,,,,,,,,,,,,
动力节点,物联网技术,量子算法与计算平台,计算速度远超经典计算机,量子计算软件著作权,智略科技官网,https://www.zhilue.com/quantum,2024-09-15,,,,,,,,,,,,
碧桂园信息,建模与仿真技术,实现去中心化管理的区块链技术,安全透明，难以篡改,区块链管理软件著作权,通云科技官网,https://www.tongyun.com/blockchain,2024-09-15,,,,,,,,,,,,
北京地平线,自动驾驶技术,基于深度学习的智能推荐系统,提供个性化推荐，提升用户体验,智能推荐软件著作权,飞天科技官网,https://www.feitiankj.com/ai,2024-09-15,,,,,,,,,,,,
金山软件,在线协作平台,高速低延迟的第五代移动通信技术,支持超高带宽和万物互联,5G通信软件著作权,华为官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
华为技术,5G通讯技术,靠近数据源的计算和存储能力,降低延迟，提高数据处理速度,边缘计算软件著作权,深信服官网,https://www.sangfor.com/edge,2024-09-15,,,,,,,,,,,,
用友网络,企业资源计划（ERP）技术,支持自动化建模和预测分析,提高数据处理准确性与效率,机器学习软件著作权,海量数据官网,https://www.massdata.com/learning,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,智能推荐系统,支持多语言语音转文字,高识别率，适合实时应用,语音识别软件著作权,科大讯飞官网,https://www.iflytek.com/voice,2024-09-15,,,,,,,,,,,,
星空数据科技,人工智能算法,连接设备与云平台的解决方案,实时监控与智能优化,工业互联网软件著作权,中软国际官网,https://www.chinasofti.com/iot,2024-09-15,,,,,,,,,,,,
数澜科技,物联网解决方案,智能图像识别与处理系统,精准度高，应用广泛,视觉识别软件著作权,云从科技官网,https://www.yuancong.com/vision,2024-09-15,,,,,,,,,,,,
云智科技,边缘计算技术,支持数据存储与分析的云平台,灵活扩展，高可用性,大数据云服务软件著作权,世纪互联官网,https://www.thunisoft.com/cloud,2024-09-15,,,,,,,,,,,,
智迅科技,自然语言处理技术,实现设备互联与数据采集,提高生产效率，智能决策,物联网软件著作权,全棉官网,https://www.quanmian.com/iot,2024-09-15,,,,,,,,,,,,
深蓝科技,虚拟现实技术,基于量子比特的信息处理,破解传统计算无法实现的复杂问题,量子计算软件著作权,络捷科技官网,https://www.luojie.com/quantum,2024-09-15,,,,,,,,,,,,
