公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
智者科技,教育、培训,在线教育平台,生产流程自动化,AI与IoT集成技术,华为官网,https://www.huawei.com,2024-09-15,,,,,,,,,,,,
盛大网络,游戏、娱乐,游戏数据分析平台,数据安全与合规管理,区块链与数据加密,阿里云官网,https://www.aliyun.com,2024-09-15,,,,,,,,,,,,
腾讯科技,社交、娱乐,腾讯云应用开发平台,患者信息管理与分析,医疗大数据与人工智能,东软官网,https://www.neusoft.com,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,金蝶云 ERP,财务与用户行为分析,大数据与人工智能,美团官网,https://www.meituan.com,2024-09-15,,,,,,,,,,,,
百度智能云,人工智能、物流,智能物流解决方案,家庭设备远程控制,IoT平台与设备集成,连接科技官网,https://www.linktech.com,2024-09-15,,,,,,,,,,,,
华三通信,通信、金融,智能网络运维平台,实时路况数据分析,地图数据与AI技术,四维图新官网,https://www.navinfo.com,2024-09-15,,,,,,,,,,,,
用友网络,人力资源、制造,人力资本管理系统,互动教学与评估,在线互动技术与数据分析,智者科技官网,https://www.zhezhe.com,2024-09-15,,,,,,,,,,,,
奥维云网,智能家居、互联网,智能家居管理系统,用户行为与流失预警,大数据分析与用户挖掘,盛大网络官网,https://www.shanda.com,2024-09-15,,,,,,,,,,,,
北京华大基因,生物科技、医疗,全基因组测序解决方案,快速应用搭建与部署,云计算与大数据处理,腾讯科技官网,https://cloud.tencent.com/solutions/development.html,2024-09-15,,,,,,,,,,,,
灵动科技,自动化、物联网,工业4.0解决方案,企业资源整体管理,云服务与商智分析,金蝶官网,https://www.kingdee.com/products/erp.html,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电商、物流,数据驱动营销平台,物流流程优化与智能调度,AI与大数据分析,百度智能云官网,https://cloud.baidu.com/solution/logistics.html,2024-09-15,,,,,,,,,,,,
京东云,零售、供应链,AI智能客服系统,网络流量监控与管理,网络智能分析,华三官网,https://www.h3c.com/cn/Tech/solutions/network_management.html,2024-09-15,,,,,,,,,,,,
金科科技,金融、保险,智能投顾平台,员工绩效与多维分析,人力资源云解决方案,用友官网,https://www.yonyou.com/products/hrm.html,2024-09-15,,,,,,,,,,,,
易华录,交通、物流,智慧物流决策平台,家居设备智能控制,物联网技术,奥维云网官网,https://www.owin.com/solutions/smart_home.html,2024-09-15,,,,,,,,,,,,
华为技术,电信、云计算,云服务解决方案,基因数据收集与分析,基因组学与数据科学,华大基因官网,https://www.bgitech.com/genomics.html,2024-09-15,,,,,,,,,,,,
景鉴科技,教育、培训,在线学习平台,智能制造与设备互联,边缘计算技术,灵动科技官网,https://www.lindong.com/solutions/industry_40.html,2024-09-15,,,,,,,,,,,,
中信网络,电子商务、零售,电商运营分析平台,消费行为分析与推荐,机器学习算法,阿里巴巴官网,https://www.alibaba.com/solutions/marketing.html,2024-09-15,,,,,,,,,,,,
中软国际,信息技术、政府,政务云解决方案,客户服务自动化,自然语言处理技术,京东云官网,https://cloud.jd.com/solutions/service.html,2024-09-15,,,,,,,,,,,,
赛象科技,制造业、工业互联网,智能制造解决方案,智能化财富管理,人工智能与机器学习,金科科技官网,https://www.jinkotech.com/products/,2024-09-15,,,,,,,,,,,,
神州数码,IT咨询、服务,数字化转型服务,运费优化与跟踪系统,大数据与物联网,易华录官网,https://www.easyhualu.com/services/,2024-09-15,,,,,,,,,,,,
美团点评,餐饮、生活服务,餐饮管理系统,云计算资源管理,分布式计算与云架构,华为官网,https://support.huawei.com/,2024-09-15,,,,,,,,,,,,
轻流,企业服务、协作办公,低代码开发平台,远程教育与资源共享,学习管理系统,景鉴科技官网,https://www.jingjian.com/training-solutions/,2024-09-15,,,,,,,,,,,,
软通动力,电子商务、金融,云端支付解决方案,销售数据分析与智能推荐,数据挖掘与分析,中信网络官网,https://www.citicnet.com/solutions/,2024-09-15,,,,,,,,,,,,
迈克菲科技,网络安全,网络安全审计与合规,政府数据安全与服务整合,云计算与信息安全,中软国际官网,https://www.chinasofti.com/,2024-09-15,,,,,,,,,,,,
高力国际,大数据、智慧城市,城市交通管理平台,生产流程可视化与监控,机器学习与自动化,赛象科技官网,https://www.syxtech.com/products/,2024-09-15,,,,,,,,,,,,
中兴通讯,电信、智能终端,5G网络优化解决方案,企业数字化解决方案,信息化与大数据应用,神州数码官网,https://www.digitalchina.com/,2024-09-15,,,,,,,,,,,,
华为,云计算、IT服务,云计算基础设施服务,全面经营分析与优化,大数据与用户行为分析,美团点评官网,https://www.meituan.com/,2024-09-15,,,,,,,,,,,,
联想集团,教育、政府,智慧课堂解决方案,业务流程快速搭建,应用低代码开发框架,轻流官网,https://www.qingflow.com/,2024-09-15,,,,,,,,,,,,
埃森哲,咨询、企业服务,供应链数字化转型,实时支付处理、安全交易保障,区块链技术应用,软通动力官网,https://www.syncole.com,2024-09-15,,,,,,,,,,,,
英特尔,硬件、软件开发,边缘计算框架,风险评估、合规报告生成,人工智能威胁检测,迈克菲官网,https://www.mcafeetech.com,2024-09-15,,,,,,,,,,,,
信华科技,制造业、能源,智能工厂解决方案,交通流量分析、措施优化推荐,实时数据处理,高力国际官网,https://www.gao-li.com/solutions,2024-09-15,,,,,,,,,,,,
万达信息,城市管理、公共服务,智能城市管理平台,网络性能提升、用户体验增强,5G网络技术研究,中兴通讯官网,https://www.zte.com.cn,2024-09-15,,,,,,,,,,,,
金山办公,文档管理、教育,WPS云协作平台,弹性资源分配、快速部署,分布式系统架构,华为官网,https://www.huawei.com/cn/solutions,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、制造业,用友ERP系统,互动教学、数据分析,教育资源共享平台,联想官网,https://www.lenovo.com.cn/solutions,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,智能风控解决方案,供应链优化、预测分析,大数据与AI联合应用,埃森哲官网,https://www.accenture.com/cn-zh/services,2024-09-15,,,,,,,,,,,,
腾讯云,社交、媒体,云视频直播解决方案,实时数据处理及分析,边缘计算硬件平台,英特尔官网,https://www.intel.com/cn/solutions,2024-09-15,,,,,,,,,,,,
微盟集团,零售、市场营销,微盟智慧门店解决方案,设备监控、效率提升,工业物联网平台,信华科技官网,https://www.xinhua-tech.com,2024-09-15,,,,,,,,,,,,
华为云,信息技术、通信,AI智能客服平台,数据集成、服务优化,大数据集成与分析,万达信息官网,http://www.wanda-info.com,2024-09-15,,,,,,,,,,,,
迪普科技,安全、IT服务,企业安全管理系统,实时文档协作与共享,在线文档编辑与云存储,金山办公官网,https://www.wps.com/,2024-09-15,,,,,,,,,,,,
东方通,金融、政府,智慧城市解决方案,全供应链管理,云计算与大数据分析,用友网络官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
万达信息,医疗、医保,智慧医疗解决方案,实时数据监测与预警,人工智能与机器学习,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
博彦科技,IT服务、金融,智能投顾系统,高效视频直播与回放,直播技术与云服务,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,阿里云物流解决方案,门店运营数据分析,大数据与商业智能,微盟官网,https://www.weimob.com/,2024-09-15,,,,,,,,,,,,
腾讯科技,社交、金融,智慧金融解决方案,客户咨询自动回复,自然语言处理与机器学习,华为云官网,https://support.huaweicloud.com/,2024-09-15,,,,,,,,,,,,
用友网络,制造、金融,用友ERP系统,网络安全监控与日志管理,信息安全与大数据,迪普科技官网,https://www.deepinsecurity.com/,2024-09-15,,,,,,,,,,,,
华为云,通信、IT服务,云原生微服务解决方案,城市管理与服务优化,物联网与云计算,东方通官网,http://www.eastcom.com/,2024-09-15,,,,,,,,,,,,
红帽软件,金融、政府,开源技术解决方案,健康数据管理与分析,医疗信息系统集成,万达信息官网,https://www.wandainfo.com/,2024-09-15,,,,,,,,,,,,
IBM中国,医疗、保险,智能医疗解决方案,个性化投资建议,算法交易与数据分析,博彦科技官网,https://www.boeing.com.cn/,2024-09-15,,,,,,,,,,,,
赛迪智库,各行业,数字化转型咨询,物流信息的实时追踪与管理,云计算与人工智能,阿里云官网,https://www.aliyun.com/product/物流,2024-09-15,,,,,,,,,,,,
天融信,网络安全、金融,网络安全解决方案,风险评估及客户画像,人工智能与大数据分析,腾讯科技官网,https://cloud.tencent.com/product/fintech,2024-09-15,,,,,,,,,,,,
灵析科技,大数据、零售,商业智能分析平台,财务、供应链管理,ERP及财务优化,用友网络官网,https://www.yonyou.com/solutions/erp.html,2024-09-15,,,,,,,,,,,,
数梦工场,教育、互联网,教育云平台,高可用性与弹性伸缩,容器技术与微服务架构,华为云官网,https://support.huaweicloud.com/solution/微服务.html,2024-09-15,,,,,,,,,,,,
迈格森科技,物流、供应链,智能物流管理系统,企业级应用的快速开发与部署,开源软件与整合,红帽官网,https://www.redhat.com/zh/solutions,2024-09-15,,,,,,,,,,,,
银天科技,金融、保险,保险理赔自动化平台,提升医疗服务质量与效率,人工智能与区块链,IBM官网,https://www.ibm.com/cloud/healthcare,2024-09-15,,,,,,,,,,,,
畅享云服务,电子商务、在线零售,电商运营智能分析工具,提升企业数字化水平,数字化技术支持,赛迪智库官网,http://www.ccidconsulting.com/services.html,2024-09-15,,,,,,,,,,,,
华云数据,医疗、健康管理,健康数据集成平台,保护企业数据与网络安全,网络监测与风险管理,天融信官网,https://www.topsec.com.cn/solution,2024-09-15,,,,,,,,,,,,
领视科技,汽车、智能出行,智能驾驶辅助系统,优化营销策略与销售预测,商业智能与数据挖掘,灵析科技官网,https://www.lingxi.com/products,2024-09-15,,,,,,,,,,,,
云朵软件,教育、培训,在线学习管理系统,在线学习与数据分析,教育资源整合与平台搭建,数梦工场官网,https://www.shumeng.com/solution,2024-09-15,,,,,,,,,,,,
思睿科技,旅游、酒店管理,酒店预订智能系统,实时货物追踪、路线优化,大数据分析与预测,迈格森科技官网,https://www.mygs.com/logistics,2024-09-15,,,,,,,,,,,,
数字未来,房地产、建筑,建筑项目管理软件,在线理赔申请、审核自动化,AI与机器学习,银天科技官网,https://www.yintian.com/insurance,2024-09-15,,,,,,,,,,,,
飞天云,通信、媒体,数字内容管理平台,销售数据分析、客户行为挖掘,数据仓库与BI工具,畅享云服务官网,https://www.changxiang.com/ecommerce,2024-09-15,,,,,,,,,,,,
深蓝智库,咨询、市场研究,市场营销智能分析工具,病历数据管理、实时监测,云计算平台架构,华云数据官网,https://www.huayun.com/health,2024-09-15,,,,,,,,,,,,
领向科技,医疗、保健,智能健康管理平台,车辆导航、驾驶安全监测,物联网与实时数据处理,领视科技官网,https://www.lingshi.com/automotive,2024-09-15,,,,,,,,,,,,
云创科技,教育、培训,在线学习管理系统,课程资料共享、学习进度追踪,教育技术与互动平台,云朵软件官网,https://www.yunduo.com/education,2024-09-15,,,,,,,,,,,,
星光信息,零售、物流,供应链管理系统,实时房价监测、客户点评管理,数据分析与用户体验优化,思睿科技官网,https://www.sirui.com/hotel,2024-09-15,,,,,,,,,,,,
蓝图科技,金融、保险,风险管理与合规系统,项目进度跟踪、资源调配,项目管理与协作工具,数字未来官网,https://www.shuzhi.com/realestate,2024-09-15,,,,,,,,,,,,
智信科技,制造业、能源,智能工厂解决方案,内容分发、用户行为分析,云服务与内容交付,飞天云官网,https://www.feitian.com/media,2024-09-15,,,,,,,,,,,,
先锋信息,公共安全、城建,智慧城市监测系统,市场趋势预测、客户画像一体化,大数据分析与AI,深蓝智库官网,https://www.shenlan.com/consulting,2024-09-15,,,,,,,,,,,,
创远科技,旅游、酒店,客户关系管理平台,健康数据监测与分析,AI健康算法,领向科技官网,https://www.lingxiangtechnology.com,2024-09-15,,,,,,,,,,,,
荣盛信息,交通运输、物流,动态调度系统,课程互动与管理,云计算与大数据分析,云创科技官网,https://www.yunchuang.com,2024-09-15,,,,,,,,,,,,
快云科技,通讯、网络,云通讯解决方案,库存优化与需求预测,预测算法与区块链技术,星光信息官网,https://www.starlightinfo.com,2024-09-15,,,,,,,,,,,,
致远智联,智能家居、安防,智能家居控制系统,实时风险监测,大数据处理与自动化报告,蓝图科技官网,https://www.lantu.com,2024-09-15,,,,,,,,,,,,
华为数字技术,电信、政府,数字运营平台,设备远程监控与维护,物联网与机器学习,智信科技官网,https://www.zxtech.com,2024-09-15,,,,,,,,,,,,
云知声,人工智能、医疗,AI语音助手,交通及环境监测,传感器网络与数据分析,先锋信息官网,https://www.xfinfo.com,2024-09-15,,,,,,,,,,,,
博彦科技,金融、零售,智能客户服务系统,客户体验优化与个性化营销,AI推荐引擎,创远科技官网,https://www.cytech.com,2024-09-15,,,,,,,,,,,,
神州数码,国防、能源,智慧能源管理系统,实时物流跟踪与调度,高效调度算法,荣盛信息官网,https://www.rongshenginfo.com,2024-09-15,,,,,,,,,,,,
睿软科技,教育、企业培训,在线学习平台,语音、视频通话平台,VoIP技术与加密通信,快云科技官网,https://www.kuaicloud.com,2024-09-15,,,,,,,,,,,,
行云科技,交通、物流,智能调度系统,家居自动化和安全监控,智能硬件与物联网,致远智联官网,https://www.seeyontech.com,2024-09-15,,,,,,,,,,,,
微软中国,IT服务、教育,云端教育解决方案,统一数据管理、实时监控,云计算与大数据分析,华为官网,https://www.huawei.com/cn/solutions/digital-operations/,2024-09-15,,,,,,,,,,,,
金山云,游戏、媒体,云游戏解决方案,智能问答、语音识别,自然语言处理,云知声官网,https://www.unisound.com/solutions/,2024-09-15,,,,,,,,,,,,
网易科技,移动互联网、社交,社交平台优化工具,客户咨询自动化,智能算法与模型,博彦科技官网,https://www.vanthink.cn/cases/,2024-09-15,,,,,,,,,,,,
