品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
运动捕捉传感器,敏感元件 + 数据处理单元,动作层、反馈层,运动科技,模块式,运动科技,https://www.sportstech.com,2024-09-14,,,,,,,,,,,,
环境质量传感器,敏感元件 + 微处理器 + 监测单元,感应层、分析层,绿色科技,混合式,绿色科技研究所,https://www.greentech.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,华为技术,模块式,华为官网,https://www.huawei.com/cn/solutions,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号处理电路,物理层、数据层、应用层,中兴通讯,集成式,中兴通讯,https://www.zte.com.cn/cn/products,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数字信号处理单元,传感层、输出层,Fitbit,集成式,Fitbit官方,https://www.fitbit.com/global/us/home,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 转换电路 + 信号调理电路,输入层、处理层、输出层,意法半导体,混合式,意法半导体,https://www.st.com/zh/semiconductors,2024-09-14,,,,,,,,,,,,
声光传感器,敏感元件 + 微控制器 + 信号调理电路,物理层、输出层,瑞萨电子,模块式,瑞萨电子,https://www.renesas.com/us/en,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 处理电路,采集层、决策层,飞思卡尔半导体,集成式,飞思卡尔官网,https://www.nxp.com/products/sensors,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 数据处理单元,数据采集层、报警层,阿里云,模块式,阿里云,https://www.aliyun.com/product/iot,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 放大电路,传感层、信号处理层,日本村田制作所,集成式,村田官网,https://www.murata.com/en-global,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换单元 + 接口电路,采集层、分析层、输出层,水务科技,模块式,水务科技,http://www.waterworld.com/,2024-09-14,,,,,,,,,,,,
多气体传感器,敏感元件 + 数据采集单元 + 信号调理电路,采集层、处理层、传输层,洛克威尔自动化,混合式,洛克威尔官网,https://www.rockwellautomation.com/en-us/products/hardware/sensors.html,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、控制层、网络层,新思科技,模块式,新思科技,https://newthink.com/products/temperature-humidity-sensor,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 处理单元 + 数据输出接口,采集层、处理层、显示层,智流科技,集成式,智流科技,https://www.zhiliao.com/sensors/flow-sensor.html,2024-09-14,,,,,,,,,,,,
超声波距离传感器,发送器 + 接收器 + 信号处理单元,探测层、处理层、反馈层,优测科技,模块式,优测科技,https://www.youce.com/products/ultrasonic-sensor,2024-09-14,,,,,,,,,,,,
红外传感器,传感元件 + 信号调理电路 + 控制模块,输入层、处理层、输出层,群智科技,集成式,群智科技,https://qunzhitech.com/products/infrared-sensor,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 处理单元 + 通信模块,检测层、分析层、报告层,水利科技,混合式,水利科技,http://www.waterrisks.com/products/water-quality-sensor,2024-09-14,,,,,,,,,,,,
温度监测传感器,热敏电阻 + 微处理器 + 数据通信接口,监测层、控制层、数据服务层,未来科技,模块式,未来科技,https://www.futuretech.com/temperature-monitoring-sensor,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号处理电路,传感层、处理层、反馈层,动能科技,集成式,动能科技,https://www.dongneng.com/vibration-sensors,2024-09-14,,,,,,,,,,,,
位置传感器,位置探测元件 + 处理模块 + 输出接口,定位层、处理层、通信层,导航科技,混合式,导航科技,https://www.navigationtech.com/products/position-sensor,2024-09-14,,,,,,,,,,,,
环境监测传感器,敏感元件 + 数据采集单元 + 存储模块,环境层、监测层、数据分析层,生态科技,集成式,生态科技,https://www.ecotech.com/environmental-monitor-sensor,2024-09-14,,,,,,,,,,,,
智能手环传感器,生物传感器 + 无线通信模块 + 处理单元,生物层、数据层、应用层,健康科技,模块式,健康科技,https://www.healthtech.com/smartband-sensors,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,采集层、处理层、显示层,华为技术,模块式,华为云,https://cloud.huawei.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 处理器 + 输出模块,传感层、决策层,安防科技,分布式,安防科技,https://www.securitytech.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 编码器 + 信号处理单元,物理层、信号层,飞利浦,集成式,飞利浦官网,https://www.philips.com,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 处理单元 + 通讯模块,探测层、输出层,中兴通讯,集成式,中兴通讯,https://www.zte.com.cn,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + GPS模块 + 数据处理单元,输入层、处理层,深圳航天科技,混合式,航天科技,https://www.space-tech.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 放大器 + 数据采集单元,信号采集层、分析层,宏碁科技,模块式,宏碁官网,https://www.acer.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号处理器 + 通信接口,监测层、分析层,ABB,集成式,ABB官网,https://global.abb,2024-09-14,,,,,,,,,,,,
电磁传感器,敏感元件 + 处理单元 + 输出模块,感知层、执行层,新威科技,分布式,新威科技,https://www.newwave.com,2024-09-14,,,,,,,,,,,,
海洋传感器,敏感元件 + 数据收集单元 + 处理器,物理层、分析层,深海科技,集成式,海洋科技,https://www.oceantech.com,2024-09-14,,,,,,,,,,,,
光压力传感器,敏感元件 + 转换元件 + 增益调节,采集层、输出层,长电科技,混合式,长电科技,https://www.jiangsu-cte.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 转换电路 + 数据接口,采集层、处理层、传输层,浙江优特科技,模块式,科技日报,http://www.stdaily.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 处理电路 + 无线模块,传感层、计算层、输出层,阿里巴巴智能农业,集成式,中国农业网,https://www.chinaagri.org/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 数据处理单元 + 通讯接口,环境层、数据层、应用层,华为云,混合式,天气在线,https://www.weather.com.cn/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 放大电路 + 模拟数字转换器,物理层、信号处理层、分析层,博世传感器,集成式,传感器技术网,http://www.sensortech.com/,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 存储电路 + 通信模块,输入层、处理层、输出层,中科院生物研究所,模块式,新华网,http://www.xinhuanet.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换电路 + 校准模块,监测层、控制层、反馈层,深圳海洋科技,集成式,中国水利网,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 放大器 + 信号处理电路,数据采集层、处理层、输出层,美国赛米控,混合式,IEEE电子出版社,https://ieeexplore.ieee.org/,2024-09-14,,,,,,,,,,,,
医疗监测传感器,敏感元件 + 数据处理单元 + 远程通信模块,监测层、分析层、反馈层,深圳医疗科技,模块式,医疗器械网,http://www.medicaldevice.com/,2024-09-14,,,,,,,,,,,,
气味传感器,敏感元件 + 广义智能处理器 + 连接模块,检测层、处理层、应用层,小米科技,集成式,科技创新网,http://www.innovationtec.com/,2024-09-14,,,,,,,,,,,,
智能温控传感器,敏感元件 + 微处理器 + 无线通讯,采集层、分析层、控制层,格力电器,模块式,人民邮电报,http://www.ptd.net.cn/,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 信号调理电路,采集层、处理层、应用层,日立电子,集成式,日立官方网站,https://www.hitachi.com/products/technologies/sensors/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 转换电路 + 信号调理电路,感知层、控制层,乐鑫科技,模块式,乐鑫科技,https://www.espressif.com/en/products/sensors,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 微处理器 + 接口电路,物理层、数据层,高通技术,混合式,高通官方网站,https://www.qualcomm.com/products/sensors,2024-09-14,,,,,,,,,,,,
氧气传感器,敏感元件 + 信号调理电路,传感层、分析层,阿尔法科技,集成式,阿尔法科技,https://www.alpha-sensor.com/products/oxygen-sensor,2024-09-14,,,,,,,,,,,,
RFID传感器,敏感元件 + 微处理器 + 通信接口,数据采集层、信号处理层,物联网科技,模块式,物联网科技,https://www.iotworld.com/rfid,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 转换电路,硬件层、响应层,博世传感器,混合式,博世电子,https://www.bosch-sensors.com/current-sensors,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、应用层,汽车电子,集成式,汽车电子官方网站,https://www.auto-electronics.com/sensors,2024-09-14,,,,,,,,,,,,
磁力传感器,敏感元件 + 转换元件 + 信号调理电路,数据层、输出层,飞思卡尔半导体,模块式,飞思卡尔官网,https://www.nxp.com/products/sensors/magnetic-sensors:MC_51827,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 微处理器 + 信号转换电路,采集层、处理层、输出层,水科技公司,集成式,水科技官方,https://www.watertech.com/products/flow-sensors,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 微处理器 + 信号调理电路,监测层、警告层,核科学研究院,混合式,核科学研究院,https://www.nuclear.gov/products/radiation-sensors,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,智能城市科技,集成式,智能城市科技,https://www.smartcitytech.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 转换电路 + 数据处理单元,数据采集层、信号分析层,伟创力,模块式,伟创力,https://www.flex.com,2024-09-14,,,,,,,,,,,,
智能水质传感器,敏感元件 + 微处理器 + 传输模块,感知层、管理层,水科技有限公司,混合式,水科技有限公司,https://www.watertech.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 放大器 + 信号处理单元,硬件层、应用层,安防科技,集成式,安防科技,https://www.securitytech.com,2024-09-14,,,,,,,,,,,,
多功能传感器,敏感元件 + 配置模块 + 数据分析层,物理层、数据层、决策层,全景智能,模块式,全景智能,https://www.perspectivetech.com,2024-09-14,,,,,,,,,,,,
声级传感器,敏感元件 + A/D转换器 + 处理电路,信号采集层、处理层,城市环境监测局,集成式,城市环境监测局,https://www.cemetrogov.org,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 监测模块 + 处理工具,传感层、分析层,农业科技创新院,混合式,农业科技创新院,https://www.agritechinnovation.org,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 信号调理电路 + 输出模块,探测层、处理层,核能研究中心,组装式,核能研究中心,https://www.nuclearresearch.org,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 转换设备 + 数据线,检测层、管理层,电能监测技术公司,集成式,电能监测技术公司,https://www.energy-monitor-tech.com,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 微处理器 + 通信模块,环境层、数据分析层,气象局,模块式,气象局,https://www.nationalweather.gov,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、控制层、输出层,瑞萨电子,集成式,瑞萨电子,https://www.renesas.com/jp/solutions/sensors.html,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 接口电路,采集层、处理层、应用层,博世传感器,模块式,博世官方,https://www.bosch-sensortec.com/products/vibration-sensors/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 处理器 + 通信模块,感知层、网络层、应用层,传感器网络研究中心,混合式,传感器网络研究中心,https://www.sensor-network.org/,2024-09-14,,,,,,,,,,,,
气体分析传感器,敏感元件 + 信号处理电路,硬件层、数据层、应用层,安森美半导体,集成式,安森美半导体,https://www.onsemi.com/products/sensors/gas-sensors,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 处理单元 + 输出电路,输入层、处理层、输出层,艾默生,模块式,艾默生,https://www.emerson.com/en-us/solutions/instrumentation/sensors,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 控制电路 + 通讯接口,物理层、数据层、控制层,伟创力,集成式,伟创力,https://www.flex.com/solutions/sensors/liquid-level-sensors,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 模拟电路 + 微控制器,感应层、处理层、应用层,农业科技研究所,混合式,农业科技研究所,https://www.agriculturetech.org/sensors-soil-moisture,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 处理器 + 输出装置,采集层、处理层、应用层,霍尼韦尔,集成式,霍尼韦尔,https://sensing.honeywell.com/products/flow-sensors,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 信号增强电路 + 通信模块,生理层、数据层、应用层,心脏健康科技,集成式,心脏健康科技,https://www.hearthealthtech.com/products/heart-rate-sensors,2024-09-14,,,,,,,,,,,,
噪音传感器,敏感元件 + 信号调理电路 + 接口电路,信号采集层、处理层、展示层,声学研究中心,模块式,声学研究中心,https://www.acousticresearch.org/noise-sensors,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,感知层、处理层、应用层,华为技术有限公司,集成式,华为官网,https://www.huawei.com/cn/technology/solutions/553679,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 模拟转换器 + 数字处理单元,采集层、分析层、数据传输层,农科院,模块式,农业科技网,http://www.agri-tech.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 无线传输模块,检测层、传输层、显示层,小米科技,集成式,小米官网,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号放大器 + 数据处理单元,感应层、信号处理层,意法半导体,模块式,意法半导体官网,https://www.st.com/content/st_com/en.html,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 定位模块 + 数据接口,感知层、处理层、输出层,高通技术,集成式,高通官网,https://www.qualcomm.com/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 信号调理电路,感测层、数据处理层、输出层,诺基亚,模块式,诺基亚官网,https://www.nokia.com/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 数字化处理电路,信号采集层、处理层,德州仪器,集成式,德州仪器官网,https://www.ti.com/,2024-09-14,,,,,,,,,,,,
防盗传感器,敏感元件 + 通讯模块 + 中控系统,感知层、控制层,海康威视,混合式,海康威视官网,https://www.hikvision.com/,2024-09-14,,,,,,,,,,,,
